Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_05bis11_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-01-04,Deutschland,00,150983426,61813677,473375,59371059,33376080,74.3,60.2,84.5,77.7,88.3,71.4,53.3,82.1,79.3,87.3,40.1,6.9,47.6,39.4,63.1
2022-01-04,Schleswig-Holstein,01,5582377,2272349,17418,2204249,1239228,78.1,75.0,89.2,83.7,91.0,75.7,66.1,87.7,85.5,91.6,42.6,4.2,50.6,40.2,68.9
2022-01-04,Hamburg,02,3431222,1472220,10782,1429104,636449,79.5,60.5,91.2,86.7,89.6,77.1,55.6,89.4,89.8,88.4,34.4,5.2,41.0,34.7,57.0
2022-01-04,Niedersachsen,03,14994908,6085201,42458,5837957,3502758,76.0,65.9,86.2,77.3,91.0,72.9,59.0,83.6,80.3,89.5,43.8,8.2,52.0,44.5,65.8
2022-01-04,Bremen,04,1399732,594524,4108,567189,285454,87.4,62.3,100.0,97.7,96.5,83.4,56.4,96.3,97.0,94.8,42.0,2.8,50.1,40.6,69.3
2022-01-04,Nordrhein-Westfalen,05,34206068,14015759,136550,13339343,7654366,78.2,66.1,88.7,81.6,91.6,74.4,59.4,85.4,83.1,90.1,42.7,6.9,50.9,42.2,67.6
2022-01-04,Hessen,06,11139339,4670655,31322,4419029,2299530,74.2,59.7,84.7,78.6,88.3,70.2,52.0,80.9,78.5,85.7,36.5,6.1,43.5,35.9,58.8
2022-01-04,Rheinland-Pfalz,07,7493950,3081343,19890,2892992,1685230,75.2,62.1,85.3,77.2,90.7,70.6,53.6,80.9,77.3,87.5,41.1,6.4,48.8,40.5,63.8
2022-01-04,Baden-Württemberg,08,19897580,7988160,58783,7752706,4632092,71.9,57.1,82.1,75.6,87.1,69.8,49.7,80.7,78.1,85.9,41.7,10.5,49.5,42.8,63.3
2022-01-04,Bayern,09,23400647,9467437,85359,9232617,5202714,72.0,61.7,81.6,75.6,86.2,70.3,54.6,80.6,78.3,85.3,39.6,6.7,47.0,38.5,64.4
2022-01-04,Saarland,10,1972341,790920,4362,763044,467219,80.4,64.1,90.1,82.8,91.9,77.5,56.2,87.8,85.5,91.3,47.5,8.9,55.3,46.2,69.8
2022-01-04,Berlin,11,6747731,2764513,34065,2639839,1469727,75.4,59.6,85.8,79.0,90.9,72.0,53.7,83.2,80.2,90.1,40.1,7.7,47.7,38.5,69.0
2022-01-04,Brandenburg,12,4088767,1708234,6615,1638598,853967,67.5,46.4,76.7,66.4,81.7,64.7,40.0,74.5,69.0,82.8,33.7,4.4,39.9,31.1,53.0
2022-01-04,Mecklenburg-Vorpommern,13,2811240,1163921,3180,1125624,587175,72.3,49.5,82.1,74.0,86.9,69.9,41.0,80.1,75.2,87.1,36.5,4.5,42.8,32.2,58.3
2022-01-04,Sachsen,14,6204379,2570974,7577,2459734,1274465,63.4,38.8,72.7,64.2,80.3,60.6,33.9,70.1,62.8,80.8,31.4,4.0,37.1,27.8,51.0
2022-01-04,Sachsen-Anhalt,15,3655147,1523054,3422,1486957,752641,69.8,44.3,79.2,69.6,84.0,68.2,37.1,77.9,71.8,86.4,34.5,4.1,40.3,29.1,55.9
2022-01-04,Thüringen,16,3477620,1444205,7465,1391907,734928,68.1,44.7,77.4,68.6,83.6,65.6,39.6,75.1,68.8,84.2,34.7,3.5,40.7,30.6,55.2
2022-01-04,Bundesressorts,17,480378,200208,19,190170,98137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
