Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-11-22,Deutschland,00,189277459,64817080,63503577,51983799,11267112,77.9,46.1,22.4,74.4,86.9,84.7,90.8,76.3,42.8,19.9,69.5,85.4,83.0,90.0,62.5,31.4,72.8,66.2,85.2,13.5,0.9,16.2,5.6,35.6
2022-11-22,Schleswig-Holstein,01,7328240,2356221,2326443,2053180,664893,80.6,60.6,30.9,94.2,87.8,85.1,92.3,79.6,57.6,30.0,88.6,87.0,84.4,91.4,70.3,48.3,80.6,74.6,90.9,22.8,1.4,27.1,9.3,57.8
2022-11-22,Hamburg,02,4613531,1606500,1564852,1239578,265267,86.7,52.3,29.7,80.1,97.0,96.6,98.0,84.4,46.9,24.2,75.4,95.1,94.0,97.7,66.9,29.3,78.7,73.1,92.5,14.3,1.2,17.2,7.0,42.3
2022-11-22,Niedersachsen,03,19107593,6403425,6228189,5376826,1378377,79.8,52.7,26.9,81.8,88.3,85.6,93.1,77.6,48.6,24.2,76.2,86.3,83.5,91.1,67.0,39.8,77.8,71.9,88.2,17.2,1.1,20.6,6.8,45.2
2022-11-22,Bremen,04,1793798,621346,597047,455846,134952,91.9,48.5,22.9,78.4,103.5,105.9,98.9,88.3,43.8,19.6,72.5,99.9,100.7,98.4,67.4,28.8,79.1,72.8,91.6,19.9,0.8,23.9,10.4,51.0
2022-11-22,Nordrhein-Westfalen,05,43120756,14654305,14242894,11800077,2982124,81.8,51.1,28.0,81.1,91.0,89.8,93.2,79.5,48.2,24.4,75.7,88.7,86.9,92.0,65.8,35.9,76.8,70.8,88.3,16.6,1.0,20.0,7.0,44.5
2022-11-22,Hessen,06,14187311,4935237,4741877,3832432,840548,78.4,48.2,23.9,75.7,87.4,85.7,90.7,75.3,43.0,20.9,68.4,84.4,82.4,88.5,60.9,31.2,71.2,64.8,83.7,13.4,1.0,16.0,6.1,35.4
2022-11-22,Rheinland-Pfalz,07,9428864,3241437,3103644,2610833,591477,78.9,48.2,23.6,76.6,87.8,84.7,93.2,75.6,44.2,21.4,70.6,84.3,81.2,89.7,63.6,33.9,73.9,67.5,85.2,14.4,0.9,17.2,5.6,37.7
2022-11-22,Baden-Württemberg,08,24439161,8416248,8285746,6814497,1190857,75.7,43.9,19.5,71.4,84.8,82.5,89.4,74.5,40.6,17.3,67.0,83.9,81.4,88.9,61.3,30.9,71.8,65.5,84.1,10.7,0.8,12.9,4.5,29.3
2022-11-22,Bayern,09,28723701,9907902,9897241,7793833,1415466,75.2,45.9,21.2,74.8,83.8,81.7,88.0,75.1,43.1,19.4,70.7,84.1,82.0,88.2,59.1,27.9,69.2,62.2,83.0,10.7,0.7,12.8,4.3,29.8
2022-11-22,Saarland,10,2431903,822852,809057,682375,151249,83.8,46.8,18.8,78.8,92.6,91.8,94.0,82.4,43.7,17.0,73.9,91.4,89.9,93.7,69.5,34.4,79.7,73.6,89.2,15.4,0.9,18.1,5.9,37.1
2022-11-22,Berlin,11,8528436,2899927,2868271,2346491,517698,78.9,45.4,26.1,71.0,88.4,84.5,97.4,78.0,42.6,24.1,66.7,87.8,83.6,97.5,63.8,30.7,74.8,67.9,90.8,14.1,1.1,16.8,6.7,40.2
2022-11-22,Brandenburg,12,5024551,1722829,1727580,1414090,255018,67.9,32.9,11.0,59.1,76.2,73.2,80.7,68.1,29.7,9.3,54.3,76.9,72.8,83.0,55.7,20.4,65.1,55.1,79.8,10.0,0.6,11.9,3.9,23.7
2022-11-22,Mecklenburg-Vorpommern,13,3542803,1218549,1203952,968314,193439,75.6,34.1,10.7,62.2,84.8,81.0,90.1,74.7,30.9,8.8,57.2,84.2,79.8,90.3,60.1,22.0,69.7,59.8,83.6,12.0,0.9,14.1,3.9,28.6
2022-11-22,Sachsen,14,7573087,2679918,2629089,2043125,293623,66.3,25.1,7.7,46.8,75.5,68.8,85.2,65.0,23.6,6.9,44.2,74.2,67.4,84.0,50.5,15.2,59.3,48.7,74.7,7.3,0.5,8.6,2.5,17.5
2022-11-22,Sachsen-Anhalt,15,4641372,1619886,1606542,1264781,220049,74.7,31.0,8.8,57.4,83.8,78.8,90.7,74.1,28.6,7.7,53.2,83.4,78.1,90.7,58.3,18.4,67.5,56.1,83.1,10.1,0.8,11.9,3.1,23.9
2022-11-22,Thüringen,16,4246230,1508403,1481119,1141984,163619,71.5,30.6,11.5,54.3,80.4,75.2,87.6,70.2,29.3,10.8,52.2,79.1,72.9,87.7,54.2,19.6,62.8,52.0,77.9,7.8,0.4,9.1,3.0,17.8
2022-11-22,Bundesressorts,17,546122,202095,190034,145537,8456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
