Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_05bis11_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-01-07,Deutschland,00,153234794,61987433,537077,59683677,35144664,74.5,60.8,84.6,77.8,88.3,71.8,54.3,82.4,79.8,87.4,42.3,8.5,50.1,42.0,65.3
2022-01-07,Schleswig-Holstein,01,5675292,2277903,20035,2215783,1315065,78.3,75.6,89.3,83.8,91.0,76.1,67.2,88.0,85.9,91.7,45.2,5.5,53.6,43.3,71.8
2022-01-07,Hamburg,02,3495178,1476497,13055,1434971,690537,79.7,60.9,91.3,86.9,89.6,77.5,56.5,89.7,90.1,88.6,37.3,6.2,44.5,38.3,59.9
2022-01-07,Niedersachsen,03,15264232,6103621,51070,5869499,3722334,76.3,66.4,86.3,77.5,91.1,73.3,60.0,83.9,80.8,89.7,46.5,10.2,55.1,47.8,68.7
2022-01-07,Bremen,04,1428197,596881,4626,571134,307762,87.8,63.1,100.3,98.1,96.6,84.0,57.4,96.8,97.7,95.0,45.3,3.8,53.9,44.8,72.5
2022-01-07,Nordrhein-Westfalen,05,34681623,14054057,154291,13401827,8029734,78.4,66.6,88.8,81.8,91.7,74.8,60.5,85.7,83.4,90.2,44.8,9.0,53.3,44.7,69.7
2022-01-07,Hessen,06,11304838,4685646,36941,4439368,2429930,74.5,60.2,84.8,78.8,88.4,70.5,52.8,81.2,78.9,85.8,38.6,6.9,46.0,38.5,61.0
2022-01-07,Rheinland-Pfalz,07,7643858,3092921,23228,2914525,1802585,75.5,62.7,85.5,77.5,90.8,71.1,55.0,81.4,78.0,87.6,44.0,8.2,52.1,44.2,66.3
2022-01-07,Baden-Württemberg,08,20129092,8006778,65069,7782639,4815558,72.1,57.7,82.2,75.7,87.1,70.1,50.5,80.9,78.4,86.0,43.4,12.5,51.4,44.9,64.6
2022-01-07,Bayern,09,23660685,9489307,94542,9274418,5399357,72.2,62.2,81.7,75.7,86.2,70.6,55.6,80.9,78.7,85.4,41.1,8.2,48.7,40.4,65.6
2022-01-07,Saarland,10,2011919,793550,5137,767770,499539,80.6,64.8,90.3,83.0,92.0,78.0,57.3,88.2,86.2,91.5,50.8,12.1,58.9,50.3,72.8
2022-01-07,Berlin,11,6858607,2772944,37151,2658685,1553613,75.7,60.1,86.0,79.2,91.0,72.6,54.7,83.6,80.7,90.3,42.4,9.3,50.3,41.4,71.1
2022-01-07,Brandenburg,12,4169770,1713692,7412,1651991,916196,67.7,47.0,76.9,66.7,81.8,65.3,41.2,75.0,69.7,83.0,36.2,5.1,42.7,34.0,56.0
2022-01-07,Mecklenburg-Vorpommern,13,2873958,1167645,3545,1135087,636740,72.5,50.3,82.3,74.2,87.0,70.5,42.7,80.6,76.1,87.3,39.5,5.5,46.3,35.6,62.0
2022-01-07,Sachsen,14,6313473,2579828,8436,2477923,1356628,63.6,39.3,72.9,64.4,80.4,61.1,34.9,70.5,63.4,81.1,33.4,4.5,39.5,29.9,53.7
2022-01-07,Sachsen-Anhalt,15,3696385,1526275,3883,1494237,783407,70.0,44.8,79.4,69.8,84.1,68.5,37.8,78.3,72.3,86.5,35.9,4.6,41.9,30.6,57.7
2022-01-07,Thüringen,16,3542036,1449566,8637,1403334,782699,68.4,45.4,77.5,68.8,83.7,66.2,40.9,75.6,69.5,84.4,36.9,4.6,43.3,33.1,57.9
2022-01-07,Bundesressorts,17,485651,200322,19,190486,102980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
