Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-02-08,Deutschland,00,167127258,63216004,62006104,45507206,76.0,40.1,19.4,64.2,85.5,78.9,88.7,74.6,34.2,12.2,60.0,84.6,82.6,88.3,54.7,24.2,64.0,57.8,75.6
2022-02-08,Schleswig-Holstein,01,6325327,2327144,2301652,1830221,79.9,51.7,26.2,80.2,89.9,84.6,91.3,79.1,43.2,16.3,73.2,90.1,88.7,92.5,62.9,33.1,72.9,65.9,85.2
2022-02-08,Hamburg,02,3873430,1508305,1484735,988094,81.4,42.1,25.0,63.7,92.1,87.9,89.9,80.1,35.1,14.4,61.2,91.6,92.5,89.4,53.3,21.2,62.9,59.0,72.7
2022-02-08,Niedersachsen,03,16613990,6230958,6087536,4727856,77.9,45.0,23.2,69.5,87.0,78.4,91.3,76.1,37.3,12.7,64.9,86.0,83.5,90.4,59.1,30.9,68.8,63.4,78.8
2022-02-08,Bremen,04,1571297,609279,594603,415469,89.6,41.5,19.5,67.3,101.6,99.8,97.0,87.4,35.2,11.4,63.2,99.8,101.8,95.9,61.1,21.3,71.8,65.8,84.0
2022-02-08,Nordrhein-Westfalen,05,37685819,14321702,13911170,10261385,79.9,45.6,24.3,69.8,89.5,82.7,91.9,77.6,39.1,15.9,65.5,87.7,86.0,90.9,57.2,26.9,67.0,60.8,79.0
2022-02-08,Hessen,06,12451748,4797062,4603323,3302972,76.2,40.8,20.4,64.4,85.8,80.1,88.7,73.1,33.1,11.4,58.1,83.2,81.5,86.5,52.5,24.0,61.5,56.3,72.0
2022-02-08,Rheinland-Pfalz,07,8267603,3154715,3021108,2258522,77.0,41.6,20.4,66.2,86.2,78.5,91.1,73.7,35.0,12.7,60.9,83.3,80.5,88.3,55.1,26.5,64.2,58.2,75.1
2022-02-08,Baden-Württemberg,08,21802043,8162246,8098948,6020780,73.5,37.7,17.2,61.0,83.0,76.8,87.4,72.9,32.5,10.9,57.2,83.1,81.3,86.9,54.2,25.8,63.6,58.6,73.7
2022-02-08,Bayern,09,25754207,9667130,9656706,6934582,73.6,40.4,19.1,65.4,82.5,76.8,86.5,73.5,35.6,12.9,62.1,83.1,81.5,86.3,52.8,21.4,61.9,55.5,74.8
2022-02-08,Saarland,10,2167535,807145,795953,613868,82.0,41.0,16.7,68.6,91.2,84.2,92.3,80.9,35.1,10.1,63.4,90.6,89.5,92.4,62.4,28.8,71.6,65.5,81.4
2022-02-08,Berlin,11,7516950,2825911,2775084,2045821,77.1,40.7,23.3,63.7,86.9,80.2,91.3,75.7,35.6,17.0,60.1,86.0,83.6,91.5,55.8,25.2,65.5,59.0,80.6
2022-02-08,Brandenburg,12,4557486,1745121,1714610,1210347,68.9,27.6,8.9,50.5,77.8,67.9,82.1,67.7,23.7,5.1,46.5,77.3,72.9,83.9,47.8,14.8,56.0,48.0,68.0
2022-02-08,Mecklenburg-Vorpommern,13,3152132,1189406,1176515,852031,73.8,29.4,8.9,54.5,83.3,75.6,87.3,73.0,24.4,4.1,49.2,83.0,79.4,88.2,52.9,15.7,61.5,51.9,75.5
2022-02-08,Sachsen,14,6897200,2633334,2566474,1798763,64.9,22.4,6.5,42.6,74.0,66.0,80.9,63.3,19.7,4.0,39.6,72.6,66.1,82.1,44.3,11.3,52.1,42.7,66.0
2022-02-08,Sachsen-Anhalt,15,4102816,1558374,1563962,1088369,71.5,26.1,6.9,49.5,80.6,71.5,84.5,71.7,22.2,3.8,44.6,81.4,76.7,87.8,49.9,12.6,57.9,47.0,73.0
2022-02-08,Thüringen,16,3864087,1476777,1459855,1021665,69.7,27.4,9.6,49.4,78.6,70.3,84.2,68.9,25.0,7.4,46.7,78.0,72.7,85.6,48.2,14.8,56.0,46.0,70.4
2022-02-08,Bundesressorts,17,523588,201395,193870,136461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
