Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-05-17,Deutschland,00,179522990,64526055,63066812,49522354,4679229,77.6,45.2,22.1,72.2,86.6,83.3,91.7,75.8,41.3,19.5,66.7,85.1,82.0,90.9,59.6,31.0,69.2,63.4,80.0,5.6,0.4,6.9,1.5,17.0
2022-05-17,Schleswig-Holstein,01,6952512,2352979,2321058,2122468,228911,80.8,59.8,30.5,92.5,88.4,85.2,93.8,79.7,56.1,29.5,85.9,87.8,84.8,93.0,72.9,44.4,79.1,72.5,90.7,7.9,0.3,14.5,2.3,35.9
2022-05-17,Hamburg,02,4350940,1600087,1551567,1138250,123507,86.4,50.9,29.4,78.0,96.9,95.9,98.1,83.8,44.9,23.7,71.6,94.6,93.4,97.4,61.4,28.9,72.1,68.5,81.1,6.7,0.5,8.0,2.2,22.6
2022-05-17,Niedersachsen,03,18067204,6367013,6179102,5152333,646964,79.6,51.6,26.9,79.4,88.1,84.4,94.2,77.2,46.9,23.8,72.8,86.0,82.6,92.1,64.4,39.5,74.6,69.8,83.4,8.1,0.5,9.7,2.0,23.7
2022-05-17,Bremen,04,1694908,617481,592398,440047,60309,90.8,47.5,22.6,76.8,102.2,103.9,98.3,87.1,43.1,19.5,70.9,98.4,98.6,97.9,64.7,27.4,75.7,69.7,87.9,8.9,0.4,10.6,1.8,28.4
2022-05-17,Nordrhein-Westfalen,05,40883724,14619611,14166411,11177294,1477010,81.6,51.7,27.7,79.1,90.6,88.5,94.1,79.0,46.8,24.0,72.8,88.3,85.8,93.1,62.4,34.8,72.6,67.0,83.4,8.2,0.5,9.9,2.3,24.6
2022-05-17,Hessen,06,13343504,4884520,4690667,3597123,329628,77.6,46.3,23.5,72.8,86.7,83.9,91.3,74.5,41.1,20.4,65.1,83.7,80.9,89.2,57.2,31.1,66.7,61.7,76.5,5.2,0.3,6.3,1.6,15.7
2022-05-17,Rheinland-Pfalz,07,8871148,3211566,3075083,2447893,253865,78.4,46.7,23.5,73.5,87.2,83.0,94.2,75.0,42.5,21.3,67.1,83.8,79.9,90.9,59.7,33.6,69.2,63.8,79.1,6.2,0.4,7.4,1.6,17.8
2022-05-17,Baden-Württemberg,08,23111334,8345271,8197745,6402698,429871,75.2,42.3,19.3,68.5,84.4,81.0,90.2,73.8,38.6,16.9,63.3,83.3,80.1,89.9,57.7,30.8,67.4,62.5,77.2,3.9,0.3,4.6,1.0,12.0
2022-05-17,Bayern,09,27310318,9845999,9813419,7454511,484248,74.9,44.7,21.2,72.3,83.6,80.6,88.9,74.7,41.6,19.1,67.9,83.7,81.0,89.1,56.7,27.5,66.2,60.3,78.3,3.7,0.2,4.4,0.9,11.5
2022-05-17,Saarland,10,2311887,818840,804404,656437,65610,83.2,46.1,18.6,77.1,92.0,89.7,94.8,81.7,42.1,16.6,70.9,90.8,88.3,94.7,66.7,35.5,76.3,70.9,84.8,6.7,0.4,7.8,1.8,17.4
2022-05-17,Berlin,11,8098448,2909100,2869323,2234720,189053,79.4,45.6,25.7,72.0,89.0,84.2,98.0,78.3,42.2,23.6,66.7,88.2,83.9,98.0,61.0,31.0,71.3,65.5,85.0,5.2,0.3,6.2,1.3,17.6
2022-05-17,Brandenburg,12,4830210,1761110,1735433,1332043,92334,69.6,29.4,10.8,52.3,78.3,68.6,82.3,68.6,27.5,8.9,50.3,77.7,73.6,84.1,52.6,20.1,61.3,53.8,72.8,3.6,0.3,4.3,1.1,9.2
2022-05-17,Mecklenburg-Vorpommern,13,3384726,1212155,1196264,930334,86989,75.3,33.4,10.5,61.4,84.4,79.2,91.4,74.3,29.7,8.4,55.8,83.7,78.4,91.6,57.8,22.0,66.9,57.8,80.1,5.4,0.4,6.4,1.1,14.1
2022-05-17,Sachsen,14,7277830,2669781,2616135,1981729,82087,65.8,24.7,7.6,46.3,74.9,67.7,85.0,64.5,22.8,6.6,43.3,73.6,66.6,83.9,48.8,15.6,57.2,47.6,71.3,2.0,0.2,2.4,0.4,5.3
2022-05-17,Sachsen-Anhalt,15,4418019,1609038,1598574,1206308,73328,73.8,29.9,8.6,55.8,82.9,76.7,90.7,73.3,26.9,7.3,50.7,82.7,76.6,91.2,55.3,18.3,63.9,53.4,78.5,3.4,0.3,4.0,0.8,8.4
2022-05-17,Thüringen,16,4082346,1499606,1469777,1106267,54832,70.7,30.2,11.3,53.6,79.5,73.2,87.8,69.3,28.8,10.6,51.3,78.0,71.2,87.8,52.2,19.4,60.4,50.3,75.0,2.6,0.2,3.0,0.9,6.1
2022-05-17,Bundesressorts,17,533932,201898,189452,141899,683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
