Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-04-03,Deutschland,00,172143096,63688050,63186837,48878207,76.6,41.9,21.8,65.4,85.9,79.5,88.9,76.0,39.1,18.8,62.9,85.6,83.9,88.8,58.8,29.8,68.3,62.6,78.9
2022-04-03,Schleswig-Holstein,01,6655946,2343194,2350934,2095599,80.5,54.4,30.0,81.6,90.2,84.9,91.4,80.8,51.6,28.4,77.4,90.9,89.8,92.9,72.0,42.7,78.1,71.6,89.7
2022-04-03,Hamburg,02,4083374,1540340,1538980,1112506,83.2,45.0,27.4,67.2,93.8,89.7,91.2,83.1,41.7,22.8,65.5,94.2,95.3,91.4,60.1,27.5,70.6,67.0,79.5
2022-04-03,Niedersachsen,03,17144214,6281857,6217137,5078036,78.5,47.3,26.5,70.7,87.4,79.0,91.5,77.7,44.1,22.9,67.8,86.9,84.8,90.8,63.4,38.2,73.6,68.8,82.3
2022-04-03,Bremen,04,1613697,614567,606770,440605,90.4,43.6,22.2,68.8,102.2,100.6,97.2,89.2,40.9,18.9,66.7,101.2,103.5,96.5,64.8,26.4,75.9,70.4,87.1
2022-04-03,Nordrhein-Westfalen,05,38778882,14423547,14151579,11013805,80.5,47.7,27.3,70.9,89.9,83.2,92.1,78.9,44.1,23.0,68.1,88.6,87.2,91.3,61.4,33.5,71.6,66.1,82.3
2022-04-03,Hessen,06,12840434,4832903,4696710,3562766,76.8,42.8,23.1,65.6,86.2,80.6,88.9,74.6,38.8,19.5,61.2,84.1,82.8,87.0,56.6,30.0,66.1,61.3,75.6
2022-04-03,Rheinland-Pfalz,07,8509239,3180336,3081605,2414640,77.6,43.6,23.1,67.4,86.7,79.1,91.3,75.2,40.6,20.6,63.8,84.3,81.8,88.8,58.9,32.5,68.3,63.0,78.0
2022-04-03,Baden-Württemberg,08,22307045,8214353,8235958,6338355,74.0,39.1,19.0,62.0,83.4,77.2,87.7,74.2,36.5,16.1,59.8,84.1,82.4,87.3,57.1,30.0,66.7,62.0,76.3
2022-04-03,Bayern,09,26435346,9729069,9826884,7384301,74.0,41.9,21.0,66.3,82.9,77.2,86.7,74.8,39.8,18.5,64.8,84.1,82.7,86.8,56.2,26.4,65.6,59.8,77.5
2022-04-03,Saarland,10,2221240,811620,809673,649477,82.5,42.4,18.4,69.7,91.6,84.7,92.4,82.3,39.8,16.1,66.6,91.7,91.0,92.8,66.0,34.2,75.5,70.2,84.0
2022-04-03,Berlin,11,7726592,2846503,2823921,2186535,77.7,42.4,25.3,64.9,87.4,80.8,91.6,77.1,40.0,22.6,62.9,87.0,84.8,92.0,59.7,29.7,69.8,63.9,83.6
2022-04-03,Brandenburg,12,4703967,1757435,1747493,1311909,69.4,29.1,10.6,51.9,78.2,68.4,82.2,69.0,26.9,8.4,49.7,78.4,74.4,84.4,51.8,19.1,60.5,52.8,72.0
2022-04-03,Mecklenburg-Vorpommern,13,3247043,1197929,1199097,915946,74.4,30.9,10.3,56.1,83.7,76.2,87.4,74.4,28.0,7.7,52.9,84.2,81.1,88.7,56.9,20.8,65.9,56.9,79.1
2022-04-03,Sachsen,14,7121470,2653387,2618235,1951355,65.4,23.5,7.4,43.9,74.5,66.6,81.1,64.5,22.3,6.3,42.5,73.7,67.7,82.7,48.1,14.9,56.3,46.9,70.3
2022-04-03,Sachsen-Anhalt,15,4242270,1569971,1596707,1183564,72.0,27.6,8.4,51.1,81.0,72.2,84.7,73.2,25.7,6.9,48.5,82.7,78.6,88.5,54.3,17.2,62.7,52.3,77.3
2022-04-03,Thüringen,16,3981316,1489012,1490165,1096662,70.2,28.9,11.2,51.0,79.1,70.9,84.3,70.3,28.1,10.2,50.2,79.3,74.4,86.2,51.7,18.7,60.0,50.0,74.2
2022-04-03,Bundesressorts,17,531021,202027,194989,142146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
