Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_05bis11_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-12-27,Deutschland,00,147288410,61471933,323157,58957258,30428966,73.9,59.3,84.3,77.4,88.2,70.9,51.9,81.6,78.7,87.1,36.6,4.9,43.5,34.9,59.8
2021-12-27,Schleswig-Holstein,01,5430710,2261030,10985,2190502,1112590,77.7,74.1,89.1,83.5,90.9,75.3,65.0,87.2,84.9,91.4,38.2,2.7,45.5,34.6,64.6
2021-12-27,Hamburg,02,3351031,1464591,6706,1421262,571312,79.1,59.7,91.0,86.5,89.5,76.7,54.5,89.0,89.3,88.3,30.8,4.2,36.9,30.2,53.6
2021-12-27,Niedersachsen,03,14600994,6057715,28546,5806220,3167663,75.7,65.3,86.0,77.1,91.0,72.5,58.1,83.1,79.7,89.4,39.6,6.2,47.1,39.3,61.5
2021-12-27,Bremen,04,1360121,590547,2702,562781,254017,86.8,61.4,99.6,97.2,96.4,82.7,55.3,95.6,96.1,94.6,37.3,2.2,44.6,34.8,64.5
2021-12-27,Nordrhein-Westfalen,05,33473038,13938913,93535,13262119,7074242,77.8,65.3,88.5,81.4,91.5,74.0,58.3,85.0,82.5,89.9,39.5,5.1,47.1,38.1,64.6
2021-12-27,Hessen,06,10854275,4640035,18791,4390025,2072923,73.7,58.8,84.4,78.2,88.2,69.8,51.0,80.5,77.9,85.6,32.9,4.7,39.3,31.4,55.1
2021-12-27,Rheinland-Pfalz,07,7322647,3069532,14698,2875378,1543176,74.9,61.4,85.2,77.1,90.6,70.2,52.2,80.5,76.7,87.4,37.7,5.2,44.7,35.9,60.6
2021-12-27,Baden-Württemberg,08,19299396,7935347,40424,7692118,4145730,71.5,55.9,81.8,75.2,87.0,69.3,48.1,80.2,77.4,85.7,37.3,6.5,44.5,37.0,59.8
2021-12-27,Bayern,09,22829619,9412794,59571,9155592,4762648,71.6,60.6,81.4,75.3,86.1,69.7,52.7,80.1,77.6,85.1,36.2,4.5,43.1,34.1,61.5
2021-12-27,Saarland,10,1923903,787467,2766,758442,426775,80.0,63.2,90.0,82.5,91.8,77.1,54.9,87.3,84.9,91.2,43.4,6.4,50.6,41.0,66.0
2021-12-27,Berlin,11,6588017,2744059,24713,2616440,1353016,74.9,58.6,85.5,78.7,90.8,71.4,52.4,82.5,79.4,89.9,36.9,5.1,44.0,34.4,66.4
2021-12-27,Brandenburg,12,4000509,1701554,5027,1626534,784269,67.2,45.6,76.5,66.1,81.6,64.3,38.6,74.0,68.3,82.6,31.0,3.5,36.6,27.8,50.0
2021-12-27,Mecklenburg-Vorpommern,13,2742967,1159327,1896,1115720,533299,72.0,48.6,81.9,73.7,86.8,69.3,39.2,79.4,74.3,86.9,33.1,3.7,38.9,28.3,54.3
2021-12-27,Sachsen,14,6067224,2557088,4771,2440565,1170162,63.0,37.9,72.4,63.8,80.1,60.2,32.9,69.6,62.1,80.6,28.8,3.5,34.1,24.8,47.9
2021-12-27,Sachsen-Anhalt,15,3578481,1516715,2479,1474523,694597,69.6,43.5,79.0,69.3,84.0,67.6,35.9,77.3,70.9,86.2,31.9,3.6,37.2,26.1,52.7
2021-12-27,Thüringen,16,3397141,1436650,5528,1379752,673944,67.8,43.8,77.1,68.3,83.4,65.1,38.2,74.6,68.0,83.9,31.8,2.3,37.4,27.1,52.1
2021-12-27,Bundesressorts,17,468337,198569,19,189285,88603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
