Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_00bis04_min1,Impfungen_gesamt_gi,Impfungen_gesamt_00bis04_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfungen_gesamt_boost3,Impfungen_gesamt_boost4,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2023-03-02,Deutschland,00,192124646,64872659,2617,63558848,1552,52130291,12608810,1132181,115404,77.9,46.1,22.4,74.5,86.9,84.8,90.9,76.4,42.8,20.0,69.6,85.5,83.0,90.1,62.6,31.6,73.0,66.4,85.3,15.1,1.0,18.1,6.8,38.9
2023-03-02,Schleswig-Holstein,01,7510200,2356773,525,2327212,464,2058150,732422,106892,1236,80.7,60.6,30.7,94.3,87.8,85.1,92.3,79.6,57.6,29.8,88.7,87.0,84.4,91.4,70.4,48.6,80.8,74.8,91.1,25.1,1.7,29.8,11.3,61.8
2023-03-02,Hamburg,02,4693507,1607194,49,1565831,22,1244304,299108,37832,1897,86.7,52.4,29.7,80.1,97.1,96.7,98.0,84.5,47.0,24.3,75.4,95.2,94.1,97.8,67.1,29.5,79.0,73.3,92.9,16.1,1.4,19.3,8.6,46.0
2023-03-02,Niedersachsen,03,19421890,6405269,163,6229802,106,5387329,1524186,150740,3749,79.8,52.7,27.0,81.8,88.3,85.6,93.2,77.6,48.6,24.2,76.3,86.3,83.5,91.2,67.1,40.0,77.9,72.1,88.4,19.0,1.3,22.7,8.2,48.8
2023-03-02,Bremen,04,1825343,621560,5,597360,NA,457013,147105,17550,147,91.9,48.6,23.0,78.6,103.6,105.9,98.9,88.3,43.9,19.6,72.7,99.9,100.7,98.4,67.6,29.0,79.3,73.1,91.7,21.7,0.8,26.1,12.1,53.9
2023-03-02,Nordrhein-Westfalen,05,43861592,14660003,659,14249264,358,11835089,3276317,315764,83670,81.8,51.2,28.1,81.1,91.0,89.8,93.2,79.5,48.2,24.5,75.8,88.7,86.9,92.1,66.0,36.2,77.0,71.0,88.5,18.3,1.2,21.9,8.3,47.6
2023-03-02,Hessen,06,14490534,4968090,145,4772491,43,3854043,948846,106315,3457,78.9,48.4,24.1,76.0,88.0,86.2,91.4,75.8,43.2,21.0,68.7,85.0,82.9,89.2,61.2,31.5,71.6,65.2,84.1,15.1,1.1,18.1,7.4,38.9
2023-03-02,Rheinland-Pfalz,07,9563134,3242607,46,3104733,22,2616411,663916,51910,2063,79.0,48.2,23.6,76.7,87.8,84.7,93.2,75.6,44.2,21.5,70.6,84.3,81.3,89.8,63.7,34.0,74.1,67.7,85.3,16.2,1.1,19.3,6.7,41.4
2023-03-02,Baden-Württemberg,08,24743051,8421787,345,8291612,176,6834355,1349507,107070,6810,75.7,43.9,19.6,71.4,84.9,82.6,89.4,74.5,40.6,17.3,67.0,84.0,81.5,88.9,61.4,31.0,72.0,65.7,84.4,12.1,1.0,14.5,5.4,32.6
2023-03-02,Bayern,09,29022097,9910913,411,9900359,219,7807307,1579134,110055,4989,75.2,45.9,21.2,74.9,83.8,81.7,88.0,75.1,43.1,19.4,70.7,84.1,82.1,88.2,59.2,28.0,69.3,62.3,83.1,12.0,0.8,14.3,5.1,32.6
