Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-11-10,Deutschland,00,188627782,64810607,63496986,51940865,10673433,77.9,46.0,22.3,74.4,86.9,84.7,90.8,76.3,42.8,19.9,69.5,85.4,83.0,90.0,62.4,31.4,72.8,66.1,85.1,12.8,0.9,15.3,5.2,34.0
2022-11-10,Schleswig-Holstein,01,7297924,2356049,2326216,2051483,636673,80.6,60.6,30.9,94.2,87.8,85.1,92.3,79.6,57.6,29.9,88.5,87.0,84.4,91.4,70.2,48.2,80.5,74.6,90.8,21.8,1.3,25.9,8.5,56.1
2022-11-10,Hamburg,02,4599556,1606321,1564620,1238214,253067,86.6,52.3,29.6,80.1,97.0,96.6,98.0,84.4,46.9,24.2,75.3,95.1,94.0,97.7,66.8,29.2,78.6,73.0,92.4,13.7,1.2,16.4,6.5,40.8
2022-11-10,Niedersachsen,03,19040378,6402783,6227513,5373053,1316253,79.8,52.7,26.9,81.8,88.3,85.5,93.1,77.6,48.6,24.1,76.2,86.2,83.5,91.1,66.9,39.8,77.7,71.9,88.2,16.4,1.1,19.6,6.3,43.5
2022-11-10,Bremen,04,1788336,621028,596969,455441,130291,91.8,48.5,22.9,78.4,103.5,105.8,98.9,88.2,43.8,19.5,72.5,99.9,100.6,98.3,67.3,28.8,79.0,72.7,91.6,19.3,0.7,23.1,9.8,49.7
2022-11-10,Nordrhein-Westfalen,05,42988935,14653222,14241654,11791616,2861087,81.7,51.1,28.0,81.1,91.0,89.8,93.2,79.5,48.1,24.4,75.7,88.7,86.9,92.0,65.8,35.9,76.8,70.7,88.2,16.0,1.0,19.2,6.5,43.0
2022-11-10,Hessen,06,14137174,4934548,4741410,3829185,794814,78.4,48.2,23.9,75.7,87.4,85.7,90.7,75.3,43.0,20.8,68.3,84.4,82.4,88.5,60.8,31.1,71.1,64.8,83.7,12.6,0.9,15.1,5.6,33.8
2022-11-10,Rheinland-Pfalz,07,9394083,3241054,3103273,2608819,559464,78.9,48.2,23.6,76.6,87.8,84.6,93.2,75.6,44.1,21.4,70.6,84.3,81.2,89.7,63.5,33.8,73.9,67.4,85.2,13.6,0.9,16.2,5.1,35.9
2022-11-10,Baden-Württemberg,08,24351249,8415389,8284838,6808593,1110616,75.6,43.9,19.5,71.4,84.8,82.5,89.4,74.5,40.6,17.2,67.0,83.9,81.4,88.8,61.2,30.9,71.7,65.4,84.1,10.0,0.8,12.0,4.1,27.6
2022-11-10,Bayern,09,28633967,9907084,9896161,7788069,1333394,75.2,45.9,21.2,74.8,83.8,81.7,88.0,75.1,43.1,19.4,70.7,84.1,82.0,88.2,59.1,27.8,69.1,62.2,82.9,10.1,0.7,12.1,4.0,28.3
2022-11-10,Saarland,10,2424648,822773,808991,681991,144523,83.8,46.8,18.8,78.8,92.6,91.7,94.0,82.4,43.7,17.0,73.9,91.4,89.9,93.7,69.4,34.4,79.6,73.5,89.2,14.7,0.9,17.3,5.6,35.5
2022-11-10,Berlin,11,8491166,2899298,2867912,2343361,484546,78.8,45.4,26.1,71.0,88.4,84.5,97.4,78.0,42.6,24.1,66.7,87.8,83.6,97.5,63.7,30.6,74.7,67.7,90.8,13.2,1.0,15.8,6.1,38.1
2022-11-10,Brandenburg,12,5003341,1722714,1727424,1412518,235651,67.9,32.9,11.0,59.1,76.2,73.2,80.7,68.1,29.7,9.3,54.2,76.9,72.8,83.0,55.7,20.3,65.0,55.0,79.7,9.3,0.6,11.0,3.6,22.0
2022-11-10,Mecklenburg-Vorpommern,13,3532308,1218504,1203841,967631,183783,75.6,34.1,10.7,62.2,84.8,81.0,90.1,74.7,30.9,8.8,57.2,84.1,79.8,90.3,60.1,21.9,69.6,59.7,83.6,11.4,0.9,13.4,3.6,27.3
2022-11-10,Sachsen,14,7544990,2679729,2628820,2041007,268102,66.3,25.1,7.7,46.8,75.4,68.8,85.2,65.0,23.6,6.9,44.2,74.2,67.4,84.0,50.5,15.1,59.2,48.6,74.7,6.6,0.5,7.9,2.2,16.1
2022-11-10,Sachsen-Anhalt,15,4622713,1619698,1606361,1263474,203066,74.7,31.0,8.8,57.4,83.8,78.8,90.7,74.1,28.6,7.7,53.1,83.4,78.1,90.7,58.2,18.3,67.5,56.0,83.0,9.4,0.7,11.0,2.8,22.1
2022-11-10,Thüringen,16,4232042,1508325,1480966,1141023,150623,71.5,30.6,11.5,54.3,80.4,75.2,87.6,70.2,29.3,10.8,52.2,79.0,72.9,87.7,54.1,19.5,62.8,52.0,77.8,7.1,0.4,8.4,2.7,16.4
2022-11-10,Bundesressorts,17,544972,202088,190017,145387,7480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
