Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-05-09,Deutschland,00,179085581,64513729,63042307,49429820,4371185,77.6,45.2,22.1,72.2,86.6,83.3,91.6,75.8,41.2,19.4,66.6,85.0,81.9,90.9,59.4,30.8,69.0,63.3,79.9,5.3,0.3,6.5,1.4,16.0
2022-05-09,Schleswig-Holstein,01,6931117,2352588,2320250,2118627,212556,80.8,59.7,30.4,92.5,88.4,85.1,93.8,79.7,56.0,29.3,85.8,87.8,84.8,93.0,72.8,44.2,78.9,72.4,90.5,7.3,0.3,13.8,2.1,34.4
2022-05-09,Hamburg,02,4338313,1599771,1550665,1134960,115388,86.4,50.9,29.3,78.0,96.9,95.9,98.1,83.7,44.8,23.6,71.5,94.5,93.4,97.4,61.3,28.7,71.9,68.3,80.9,6.2,0.4,7.5,2.0,21.3
2022-05-09,Niedersachsen,03,18016152,6365969,6176795,5143288,608308,79.5,51.6,26.8,79.3,88.1,84.4,94.2,77.2,46.8,23.7,72.7,85.9,82.6,92.1,64.3,39.4,74.5,69.7,83.3,7.6,0.5,9.1,1.9,22.4
2022-05-09,Bremen,04,1690554,617336,592154,439155,57236,90.8,47.5,22.5,76.8,102.2,103.9,98.3,87.1,43.1,19.4,70.8,98.3,98.5,97.9,64.6,27.3,75.6,69.6,87.8,8.4,0.4,10.0,1.6,27.1
2022-05-09,Nordrhein-Westfalen,05,40755912,14615667,14159917,11155754,1381176,81.5,51.7,27.7,79.0,90.6,88.5,94.1,79.0,46.7,23.9,72.7,88.3,85.8,93.1,62.2,34.6,72.5,66.9,83.3,7.7,0.5,9.2,2.1,23.1
2022-05-09,Hessen,06,13309203,4883732,4689040,3591839,303026,77.6,46.3,23.4,72.8,86.6,83.9,91.3,74.5,41.0,20.3,65.0,83.7,80.9,89.2,57.1,30.9,66.6,61.6,76.5,4.8,0.3,5.8,1.4,14.5
2022-05-09,Rheinland-Pfalz,07,8847662,3210983,3074031,2443117,236790,78.3,46.6,23.5,73.5,87.2,83.0,94.2,75.0,42.4,21.2,67.0,83.8,79.8,90.9,59.6,33.4,69.1,63.7,79.0,5.8,0.4,6.9,1.5,16.6
2022-05-09,Baden-Württemberg,08,23074665,8343795,8195291,6395167,404663,75.1,42.3,19.3,68.4,84.4,81.0,90.2,73.8,38.5,16.8,63.3,83.3,80.1,89.8,57.6,30.7,67.3,62.5,77.1,3.6,0.3,4.4,1.0,11.3
2022-05-09,Bayern,09,27263055,9844750,9810032,7442215,453917,74.9,44.7,21.2,72.3,83.5,80.6,88.9,74.7,41.5,19.1,67.8,83.7,81.0,89.1,56.6,27.3,66.1,60.1,78.2,3.5,0.2,4.1,0.9,10.8
2022-05-09,Saarland,10,2306777,818748,804170,655331,61932,83.2,46.0,18.6,77.1,92.0,89.7,94.8,81.7,42.0,16.5,70.9,90.7,88.3,94.7,66.6,35.3,76.2,70.8,84.7,6.3,0.4,7.4,1.7,16.5
2022-05-09,Berlin,11,8076888,2908260,2867817,2227440,177119,79.4,45.6,25.6,71.9,89.0,84.2,98.0,78.3,42.1,23.5,66.6,88.1,83.9,98.0,60.8,30.8,71.1,65.2,84.9,4.8,0.3,5.8,1.2,16.5
2022-05-09,Brandenburg,12,4818634,1760710,1734629,1328701,85304,69.6,29.3,10.8,52.2,78.3,68.6,82.3,68.5,27.4,8.9,50.2,77.7,73.5,84.1,52.5,19.9,61.2,53.6,72.7,3.4,0.2,4.0,1.0,8.5
2022-05-09,Mecklenburg-Vorpommern,13,3373443,1211952,1195736,928448,78323,75.2,33.3,10.5,61.3,84.4,79.2,91.4,74.2,29.6,8.2,55.8,83.7,78.4,91.6,57.6,21.8,66.7,57.7,80.0,4.9,0.3,5.7,1.0,12.7
2022-05-09,Sachsen,14,7265706,2669286,2615099,1977183,76040,65.8,24.7,7.6,46.3,74.9,67.7,85.0,64.5,22.8,6.6,43.2,73.6,66.6,83.9,48.7,15.5,57.0,47.5,71.2,1.9,0.1,2.2,0.4,4.9
2022-05-09,Sachsen-Anhalt,15,4408027,1608821,1598045,1203117,67273,73.8,29.8,8.6,55.8,82.9,76.7,90.7,73.3,26.8,7.3,50.7,82.7,76.5,91.2,55.2,18.2,63.7,53.3,78.4,3.1,0.3,3.6,0.7,7.7
2022-05-09,Thüringen,16,4075725,1499468,1469205,1103697,51491,70.7,30.2,11.3,53.5,79.5,73.2,87.8,69.3,28.8,10.6,51.3,78.0,71.2,87.8,52.1,19.3,60.3,50.1,74.9,2.4,0.1,2.9,0.8,5.7
2022-05-09,Bundesressorts,17,533748,201893,189431,141781,643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
