Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-09-27,Deutschland,00,185491009,64782867,63461677,51694439,7846135,77.9,46.5,22.7,74.5,86.8,83.9,92.1,76.3,43.2,20.2,69.5,85.3,82.2,91.2,62.2,31.1,72.4,65.2,86.0,9.4,0.6,11.3,3.2,26.5
2022-09-27,Schleswig-Holstein,01,7156946,2355257,2324899,2041791,507496,80.9,61.0,31.3,93.8,88.0,84.7,93.9,79.9,58.0,30.4,88.1,87.2,83.9,92.9,70.1,47.4,80.5,73.8,92.2,17.4,0.8,20.8,5.3,48.1
2022-09-27,Hamburg,02,4530718,1605379,1562806,1227091,198108,86.7,53.0,30.1,80.7,96.9,96.2,98.7,84.4,47.5,24.6,75.9,94.9,93.6,98.4,66.2,29.1,77.9,72.1,92.2,10.7,0.9,12.8,4.2,34.4
2022-09-27,Niedersachsen,03,18704780,6399376,6223930,5349767,1010931,80.0,53.1,27.4,81.3,88.4,84.9,94.7,77.8,48.9,24.6,75.7,86.3,82.9,92.7,66.8,39.1,77.5,71.0,89.5,12.6,0.8,15.1,4.0,35.5
2022-09-27,Bremen,04,1755127,620555,596427,452779,100759,91.2,49.2,23.3,79.0,102.5,104.3,98.9,87.7,44.4,19.9,73.0,98.9,99.2,98.4,66.6,28.4,77.9,71.2,91.4,14.8,0.6,17.7,5.9,41.6
2022-09-27,Nordrhein-Westfalen,05,42377380,14648167,14235215,11747779,2304863,81.7,51.5,28.5,80.7,90.8,89.0,94.4,79.4,48.5,24.8,75.3,88.5,86.1,93.2,65.5,35.4,76.4,69.8,89.1,12.9,0.8,15.4,4.6,36.3
2022-09-27,Hessen,06,13894140,4937753,4743864,3814549,560757,78.5,48.7,24.3,75.9,87.3,85.0,92.0,75.4,43.5,21.1,68.5,84.4,81.7,89.8,60.6,30.9,70.8,63.9,84.6,8.9,0.6,10.7,3.3,25.5
2022-09-27,Rheinland-Pfalz,07,9227136,3239422,3101530,2596744,407967,79.0,48.7,24.1,76.3,87.7,83.8,94.8,75.7,44.6,21.9,70.3,84.3,80.4,91.3,63.4,33.3,73.6,66.4,86.5,10.0,0.7,11.9,3.1,27.7
2022-09-27,Baden-Württemberg,08,23922391,8408491,8277365,6774070,730652,75.7,44.2,19.8,71.0,84.8,81.8,90.9,74.6,40.9,17.5,66.7,83.9,80.7,90.4,61.0,30.5,71.4,64.6,85.2,6.6,0.5,7.9,2.1,19.6
2022-09-27,Bayern,09,28138305,9901931,9889587,7750285,887243,75.4,46.3,21.6,74.5,83.9,81.1,89.5,75.3,43.4,19.8,70.3,84.1,81.4,89.7,59.0,27.4,68.9,61.4,84.0,6.8,0.5,8.1,2.2,20.0
2022-09-27,Saarland,10,2379996,822535,808641,679656,102794,83.6,47.2,19.1,78.7,92.3,90.4,95.2,82.2,44.0,17.2,73.8,91.0,88.6,95.0,69.1,34.0,79.1,72.2,90.2,10.4,0.7,12.2,3.4,26.5
2022-09-27,Berlin,11,8319130,2896478,2865275,2325547,335781,79.1,46.3,26.4,72.7,88.5,84.3,98.1,78.2,43.4,24.4,68.3,87.9,83.4,98.2,63.5,31.0,74.3,67.1,91.0,9.2,0.6,11.0,3.2,29.0
2022-09-27,Brandenburg,12,4924314,1722134,1726506,1405751,164889,68.0,33.6,11.2,60.3,76.3,72.4,82.1,68.2,30.3,9.5,55.3,76.9,72.0,84.5,55.5,20.4,64.8,54.1,80.9,6.5,0.4,7.7,2.3,16.0
2022-09-27,Mecklenburg-Vorpommern,13,3481746,1218075,1203169,963300,138653,75.6,34.5,10.8,63.4,84.7,79.8,91.8,74.7,31.2,8.8,58.3,84.1,78.6,92.0,59.8,22.0,69.3,58.6,85.0,8.6,0.7,10.1,2.2,21.7
2022-09-27,Sachsen,14,7418767,2678546,2627227,2029657,156005,66.0,25.5,7.8,47.7,75.1,68.0,85.5,64.8,23.9,7.0,45.0,73.8,66.7,84.3,50.0,15.1,58.6,47.8,74.6,3.8,0.3,4.6,1.0,9.9
2022-09-27,Sachsen-Anhalt,15,4549577,1618924,1605356,1256277,138906,74.2,31.4,8.8,58.4,83.2,77.4,91.2,73.6,28.9,7.8,54.0,82.8,76.7,91.3,57.6,18.3,66.6,54.7,83.2,6.4,0.6,7.5,1.7,15.6
2022-09-27,Thüringen,16,4173334,1507775,1480146,1135649,98659,71.1,31.0,11.6,54.8,79.9,73.9,88.3,69.8,29.6,10.9,52.8,78.5,71.6,88.3,53.6,19.5,62.1,50.9,78.1,4.7,0.3,5.5,1.6,11.0
2022-09-27,Bundesressorts,17,537222,202069,189734,143747,1672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
