Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_05bis11_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-01-11,Deutschland,00,155365945,62158449,608729,60004889,36786897,74.8,61.2,84.7,78.0,88.4,72.2,55.1,82.7,80.2,87.6,44.2,10.4,52.3,44.6,66.9
2022-01-11,Schleswig-Holstein,01,5788498,2284701,23792,2230249,1407043,78.5,76.2,89.4,83.9,91.1,76.6,68.1,88.4,86.4,91.9,48.3,8.6,57.1,47.5,74.2
2022-01-11,Hamburg,02,3559088,1481580,16273,1439613,744883,80.0,61.3,91.4,87.0,89.6,77.7,57.2,89.9,90.4,88.7,40.2,7.6,47.9,42.2,62.2
2022-01-11,Niedersachsen,03,15469915,6117001,57547,5894688,3889579,76.4,66.7,86.4,77.6,91.1,73.7,60.6,84.1,81.1,89.8,48.6,12.4,57.5,50.4,70.5
2022-01-11,Bremen,04,1454212,598767,4978,574637,328496,88.0,63.6,100.5,98.4,96.7,84.5,58.1,97.3,98.4,95.2,48.3,5.8,57.5,48.9,74.9
2022-01-11,Nordrhein-Westfalen,05,35147257,14095600,175393,13475988,8380303,78.6,67.0,88.9,81.9,91.7,75.2,61.3,86.0,83.8,90.3,46.8,11.5,55.4,47.2,71.3
2022-01-11,Hessen,06,11458955,4699445,42867,4458072,2551709,74.7,60.7,84.9,78.9,88.4,70.8,53.5,81.5,79.3,85.9,40.5,8.0,48.2,41.0,62.7
2022-01-11,Rheinland-Pfalz,07,7750235,3102902,28447,2928137,1885614,75.7,63.2,85.6,77.6,90.8,71.4,56.0,81.7,78.4,87.7,46.0,10.8,54.3,46.8,68.0
2022-01-11,Baden-Württemberg,08,20391136,8030373,73337,7825606,5011860,72.3,58.2,82.3,75.9,87.1,70.5,51.5,81.2,78.8,86.1,45.1,14.5,53.4,47.2,65.9
2022-01-11,Bayern,09,23967919,9511377,103097,9330481,5628700,72.4,62.6,81.8,75.8,86.2,71.0,56.7,81.2,79.1,85.6,42.8,9.6,50.7,42.7,67.0
2022-01-11,Saarland,10,2041737,795610,5726,771536,523614,80.9,65.4,90.4,83.2,92.0,78.4,58.4,88.6,86.7,91.7,53.2,14.9,61.6,53.5,74.7
2022-01-11,Berlin,11,6965535,2780478,40280,2676717,1635266,75.9,60.6,86.1,79.3,91.0,73.1,55.6,83.9,81.1,90.4,44.6,11.8,52.8,44.3,72.7
2022-01-11,Brandenburg,12,4228420,1718493,9016,1661334,960804,67.9,47.4,77.0,66.8,81.8,65.6,42.2,75.3,70.2,83.1,38.0,6.1,44.8,36.1,57.9
2022-01-11,Mecklenburg-Vorpommern,13,2913774,1170155,4011,1140367,668839,72.6,50.7,82.4,74.4,87.0,70.8,43.5,80.9,76.5,87.4,41.5,6.2,48.7,38.0,64.2
2022-01-11,Sachsen,14,6398883,2588408,10244,2490611,1420811,63.8,39.9,73.1,64.7,80.4,61.4,35.6,70.8,63.8,81.2,35.0,5.1,41.4,31.8,55.5
2022-01-11,Sachsen-Anhalt,15,3744762,1529815,4495,1503450,819108,70.2,45.3,79.5,70.0,84.1,68.9,38.8,78.6,72.9,86.7,37.6,5.1,43.8,32.5,59.6
2022-01-11,Thüringen,16,3595961,1453341,9207,1412615,823664,68.5,46.0,77.7,69.0,83.7,66.6,41.8,76.0,70.0,84.6,38.8,6.9,45.4,35.4,59.9
2022-01-11,Bundesressorts,17,489658,200403,19,190788,106604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
