Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-10-05,Deutschland,00,108331178,56769068,53907281,859169,68.3,42.4,79.1,70.8,86.3,64.8,35.5,75.4,70.6,84.5
2021-10-05,Schleswig-Holstein,01,4082995,2123780,2035228,51489,73.0,56.8,84.8,77.8,89.4,69.9,50.1,81.4,77.4,88.6
2021-10-05,Hamburg,02,2547059,1338722,1279345,11799,72.3,41.3,84.4,78.4,87.6,69.1,34.1,81.0,79.2,85.5
2021-10-05,Niedersachsen,03,10665004,5676128,5356976,38022,70.9,50.1,81.8,71.6,89.7,66.9,42.3,77.5,72.3,87.1
2021-10-05,Bremen,04,1023097,539283,514217,11035,79.3,45.9,92.0,87.3,93.8,75.6,38.1,88.1,86.4,91.7
2021-10-05,Nordrhein-Westfalen,05,24774110,13057293,12239831,222672,72.8,50.7,84.2,76.0,89.9,68.3,43.1,79.2,74.9,87.5
2021-10-05,Hessen,06,8160659,4284750,4031350,70070,68.1,42.8,79.0,71.5,86.4,64.1,35.5,74.7,70.4,83.3
2021-10-05,Rheinland-Pfalz,07,5429191,2868159,2659789,50403,70.0,44.7,80.8,71.4,89.2,64.9,35.3,75.3,69.9,85.2
2021-10-05,Baden-Württemberg,08,13991151,7274211,6993514,136030,65.5,38.9,76.2,68.4,84.9,63.0,32.7,73.7,69.1,82.9
2021-10-05,Bayern,09,16423113,8544168,8208638,103519,65.0,38.6,75.4,67.8,84.0,62.5,32.0,72.8,68.2,82.1
2021-10-05,Saarland,10,1401965,733105,702760,8823,74.5,45.5,84.8,75.7,90.4,71.4,37.3,81.7,77.0,89.2
2021-10-05,Berlin,11,4812697,2481495,2371100,67439,67.7,38.9,78.9,71.2,88.0,64.7,34.0,75.6,71.0,86.5
2021-10-05,Brandenburg,12,2968715,1564080,1489663,14853,61.8,29.5,71.3,59.4,79.7,58.9,24.0,68.5,61.0,79.8
2021-10-05,Mecklenburg-Vorpommern,13,2032638,1061549,1017889,11283,65.9,28.6,76.1,65.6,85.0,63.2,22.3,73.3,65.9,84.1
2021-10-05,Sachsen,14,4512410,2351897,2236194,18369,58.0,25.8,67.3,57.1,77.7,55.1,20.6,64.3,55.3,77.7
2021-10-05,Sachsen-Anhalt,15,2649065,1387107,1337314,23186,63.6,26.7,73.1,61.0,82.1,61.3,20.5,70.8,62.1,83.0
2021-10-05,Thüringen,16,2487730,1290434,1248887,19975,60.9,27.5,70.2,59.1,80.6,58.9,23.3,68.2,59.3,80.9
2021-10-05,Bundesressorts,17,369579,192907,184586,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
