Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_00bis04_min1,Impfungen_gesamt_gi,Impfungen_gesamt_00bis04_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfungen_gesamt_boost3,Impfungen_gesamt_boost4,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2023-01-08,Deutschland,00,191607802,64851020,2329,63538432,1468,52089347,12324201,994781,103856,77.9,46.1,22.4,74.5,86.9,84.7,90.9,76.3,42.8,19.9,69.5,85.5,83.0,90.0,62.6,31.6,73.0,66.3,85.3,14.8,1.0,17.7,6.5,38.2
2023-01-08,Schleswig-Holstein,01,7476006,2356571,518,2326924,464,2056675,714729,92555,1047,80.6,60.5,30.7,94.2,87.8,85.1,92.3,79.6,57.5,29.7,88.6,87.0,84.4,91.4,70.4,48.5,80.7,74.8,91.0,24.5,1.6,29.1,10.7,60.8
2023-01-08,Hamburg,02,4678283,1606910,42,1565606,21,1243465,291255,32204,1507,86.7,52.4,29.7,80.1,97.1,96.7,98.0,84.4,46.9,24.2,75.4,95.1,94.1,97.8,67.1,29.4,78.9,73.3,92.8,15.7,1.3,18.8,8.2,45.2
2023-01-08,Niedersachsen,03,19368616,6404635,140,6229570,102,5384311,1493565,132477,3267,79.8,52.7,27.0,81.8,88.3,85.6,93.2,77.6,48.6,24.2,76.3,86.3,83.5,91.2,67.1,40.0,77.9,72.0,88.3,18.6,1.2,22.3,7.9,48.1
2023-01-08,Bremen,04,1818838,621460,5,597245,NA,456653,143765,14976,131,91.9,48.6,23.0,78.5,103.6,105.9,98.9,88.3,43.9,19.6,72.6,99.9,100.7,98.4,67.5,28.9,79.2,73.0,91.7,21.3,0.8,25.5,11.6,53.2
2023-01-08,Nordrhein-Westfalen,05,43729918,14658847,564,14247761,344,11826436,3206569,273186,75710,81.8,51.2,28.1,81.1,91.0,89.8,93.2,79.5,48.2,24.5,75.8,88.7,86.9,92.1,66.0,36.1,77.0,70.9,88.4,17.9,1.2,21.5,8.0,46.9
2023-01-08,Hessen,06,14416723,4954278,127,4759627,41,3846478,922203,93763,3097,78.7,48.3,24.0,75.9,87.7,86.0,91.1,75.6,43.2,21.0,68.5,84.8,82.6,88.9,61.1,31.4,71.5,65.0,84.0,14.6,1.1,17.6,7.0,38.2
2023-01-08,Rheinland-Pfalz,07,9537065,3242200,40,3104337,18,2614565,647570,45092,1820,79.0,48.2,23.6,76.7,87.8,84.7,93.2,75.6,44.2,21.5,70.6,84.3,81.2,89.8,63.7,34.0,74.0,67.6,85.3,15.8,1.0,18.8,6.4,40.6
2023-01-08,Baden-Württemberg,08,24686847,8419237,317,8289028,156,6827033,1317333,96509,5842,75.7,43.9,19.6,71.4,84.9,82.5,89.4,74.5,40.6,17.3,67.0,83.9,81.4,88.9,61.4,31.0,71.9,65.6,84.3,11.8,0.9,14.2,5.2,32.0
2023-01-08,Bayern,09,28977298,9909622,375,9899453,195,7804030,1549849,100585,4460,75.2,45.9,21.2,74.9,83.8,81.7,88.0,75.1,43.1,19.4,70.7,84.1,82.0,88.2,59.2,28.0,69.3,62.3,83.1,11.8,0.8,14.1,4.9,32.2
