Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-12-02,Deutschland,00,125515042,59611429,57195032,12187212,71.7,53.7,82.4,75.1,87.4,68.8,46.9,79.4,75.8,86.2,14.7,1.5,17.5,10.9,29.9
2021-12-02,Schleswig-Holstein,01,4698245,2205278,2139888,485472,75.8,66.9,87.7,81.7,90.4,73.5,60.7,85.5,82.5,90.6,16.7,0.6,19.9,11.0,35.5
2021-12-02,Hamburg,02,2946871,1427149,1384818,236123,77.0,54.9,89.3,84.5,88.9,74.8,49.9,86.9,86.7,87.5,12.7,1.6,15.2,10.1,28.2
2021-12-02,Niedersachsen,03,12266674,5910985,5651979,1126211,73.9,60.6,84.6,75.2,90.5,70.6,53.5,81.2,77.1,88.7,14.1,1.6,16.8,10.4,28.4
2021-12-02,Bremen,04,1173592,567516,547045,104957,83.4,56.4,96.4,93.1,95.0,80.4,51.6,93.0,92.8,93.5,15.4,0.6,18.4,10.2,35.1
2021-12-02,Nordrhein-Westfalen,05,28466921,13516742,12879976,2855400,75.4,60.3,86.6,79.1,90.6,71.9,54.1,82.8,79.7,88.7,15.9,1.5,19.1,12.1,32.5
2021-12-02,Hessen,06,9315145,4503261,4269550,784821,71.6,53.5,82.5,75.9,87.5,67.8,46.5,78.5,75.3,84.9,12.5,1.4,14.9,9.2,26.2
2021-12-02,Rheinland-Pfalz,07,6212344,2987723,2804810,581414,72.9,55.8,83.6,75.0,90.0,68.4,47.5,78.8,74.4,86.7,14.2,1.7,16.9,10.2,28.9
2021-12-02,Baden-Württemberg,08,16151543,7673463,7436149,1500337,69.1,49.4,79.8,72.9,86.1,67.0,43.0,77.8,74.4,84.7,13.5,1.4,16.2,10.2,28.4
2021-12-02,Bayern,09,19492343,9110173,8817486,2053244,69.3,53.6,79.6,73.2,85.3,67.1,44.9,77.5,74.3,84.1,15.6,1.5,18.6,12.1,31.8
2021-12-02,Saarland,10,1627719,767729,740129,167314,78.0,57.5,88.3,80.3,91.3,75.2,50.1,85.4,82.2,90.6,17.0,2.1,19.9,11.6,33.1
2021-12-02,Berlin,11,5723606,2653885,2548069,643114,72.4,53.0,83.7,76.6,90.1,69.5,46.8,80.7,77.1,89.1,17.6,1.8,21.0,11.9,42.2
2021-12-02,Brandenburg,12,3436209,1645804,1578951,319755,65.0,40.1,74.5,63.4,80.9,62.4,34.3,72.1,65.6,81.8,12.6,1.1,15.0,9.1,23.8
2021-12-02,Mecklenburg-Vorpommern,13,2365273,1126168,1082580,220781,69.9,41.9,80.0,71.1,86.2,67.2,33.9,77.3,71.4,86.0,13.7,1.2,16.1,9.4,25.9
2021-12-02,Sachsen,14,5218221,2472031,2368237,476795,60.9,33.5,70.3,61.1,79.1,58.4,29.3,67.7,59.6,79.6,11.8,1.3,13.9,7.9,22.8
2021-12-02,Sachsen-Anhalt,15,3080969,1469605,1423657,292828,67.4,37.9,76.9,66.3,83.3,65.3,31.2,74.8,67.5,85.1,13.4,1.5,15.7,9.1,24.9
2021-12-02,Thüringen,16,2940720,1378013,1334019,315474,65.0,38.5,74.4,64.8,82.2,62.9,33.6,72.3,64.8,83.0,14.9,0.8,17.5,9.9,28.5
2021-12-02,Bundesressorts,17,398647,195904,187689,23172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
