Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_00bis04_min1,Impfungen_gesamt_gi,Impfungen_gesamt_00bis04_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfungen_gesamt_boost3,Impfungen_gesamt_boost4,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-11-25,Deutschland,00,190296691,64819022,1912,63505632,1403,51997658,11467061,719300,82075,77.9,46.1,22.3,74.4,86.9,84.7,90.8,76.3,42.8,19.9,69.5,85.4,83.0,90.0,62.5,31.5,72.9,66.2,85.2,13.8,0.9,16.5,5.8,36.1
2022-11-25,Schleswig-Holstein,01,7405326,2356266,503,2326512,464,2053799,674001,66382,863,80.6,60.5,30.7,94.2,87.8,85.1,92.3,79.6,57.5,29.7,88.6,87.0,84.4,91.4,70.3,48.3,80.6,74.7,90.9,23.1,1.4,27.5,9.5,58.4
2022-11-25,Hamburg,02,4641031,1606550,28,1564990,20,1240100,269458,21568,1031,86.7,52.3,29.6,80.1,97.0,96.7,98.0,84.4,46.9,24.2,75.4,95.1,94.0,97.7,66.9,29.3,78.7,73.1,92.6,14.5,1.2,17.4,7.2,42.8
2022-11-25,Niedersachsen,03,19227225,6403622,114,6228394,100,5378059,1400723,93332,2317,79.8,52.7,26.9,81.8,88.3,85.6,93.2,77.6,48.6,24.1,76.2,86.3,83.5,91.1,67.0,39.9,77.8,72.0,88.3,17.5,1.2,20.9,7.0,45.8
2022-11-25,Bremen,04,1806432,621356,5,597095,NA,455988,136438,10857,90,91.9,48.5,22.9,78.4,103.5,105.9,98.9,88.3,43.8,19.6,72.5,99.9,100.7,98.4,67.4,28.8,79.1,72.9,91.6,20.2,0.8,24.2,10.6,51.4
2022-11-25,Nordrhein-Westfalen,05,43416366,14654690,443,14243257,330,11802746,3021172,193809,59325,81.8,51.1,28.0,81.1,91.0,89.8,93.2,79.5,48.1,24.4,75.7,88.7,86.9,92.0,65.8,35.9,76.8,70.8,88.3,16.9,1.1,20.2,7.1,44.9
2022-11-25,Hessen,06,14274972,4935327,56,4741994,36,3833405,855280,69077,2660,78.4,48.2,23.9,75.7,87.4,85.7,90.7,75.3,43.0,20.9,68.4,84.4,82.4,88.5,60.9,31.2,71.2,64.8,83.7,13.6,1.0,16.3,6.2,36.0
2022-11-25,Rheinland-Pfalz,07,9475562,3241579,33,3103775,18,2611558,603426,32408,1342,78.9,48.2,23.6,76.6,87.8,84.7,93.2,75.6,44.2,21.4,70.6,84.3,81.2,89.7,63.6,33.9,73.9,67.5,85.2,14.7,0.9,17.5,5.7,38.3
2022-11-25,Baden-Württemberg,08,24544612,8416576,243,8286003,128,6816168,1216001,73070,4974,75.7,43.9,19.5,71.4,84.8,82.5,89.4,74.5,40.6,17.2,67.0,83.9,81.4,88.9,61.3,30.9,71.8,65.5,84.2,10.9,0.8,13.1,4.7,29.9
2022-11-25,Bayern,09,28832821,9908173,328,9897521,185,7795432,1441312,77535,3583,75.2,45.8,21.2,74.8,83.8,81.7,88.0,75.1,43.1,19.4,70.7,84.1,82.0,88.2,59.2,27.9,69.2,62.2,83.0,10.9,0.7,13.1,4.4,30.3
