Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-11-19,Deutschland,00,117286226,58580138,56492149,5589718,70.4,50.1,81.2,73.4,87.1,67.9,44.8,78.5,74.7,85.8,6.7,0.6,8.0,3.9,15.8
2021-11-19,Schleswig-Holstein,01,4383838,2175045,2106012,233400,74.7,63.9,86.7,80.3,90.0,72.3,57.7,84.3,81.1,89.8,8.0,0.3,9.6,4.0,19.3
2021-11-19,Hamburg,02,2787979,1397238,1361436,121810,75.4,51.7,87.5,82.3,88.5,73.5,47.3,85.5,84.9,87.2,6.6,0.7,7.9,4.4,16.7
2021-11-19,Niedersachsen,03,11519845,5818276,5584959,532642,72.7,57.4,83.4,73.7,90.2,69.8,51.6,80.3,75.9,88.3,6.7,0.7,7.9,3.9,15.3
2021-11-19,Bremen,04,1117179,557992,541327,62753,82.0,54.3,94.8,91.0,94.6,79.6,49.8,92.2,91.7,93.1,9.2,0.4,11.0,5.2,22.9
2021-11-19,Nordrhein-Westfalen,05,26684425,13381518,12787042,1285994,74.7,57.3,85.9,78.1,90.6,71.3,52.2,82.3,78.9,88.7,7.2,0.7,8.6,4.3,16.8
2021-11-19,Hessen,06,8790178,4421566,4219187,385385,70.3,50.3,81.1,74.1,87.1,67.0,44.6,77.6,74.2,84.5,6.1,0.6,7.3,3.5,15.1
2021-11-19,Rheinland-Pfalz,07,5824531,2939666,2773521,268234,71.7,52.2,82.4,73.5,89.7,67.7,45.5,78.0,73.3,86.4,6.5,0.8,7.8,3.5,15.5
2021-11-19,Baden-Württemberg,08,15043077,7510364,7330875,641924,67.6,45.4,78.3,71.0,85.6,66.0,41.2,76.7,73.0,84.3,5.8,0.5,6.9,3.1,14.6
2021-11-19,Bayern,09,18017226,8920448,8676980,891771,67.9,48.7,78.2,71.4,84.9,66.0,42.4,76.4,72.9,83.6,6.8,0.6,8.1,4.4,15.7
2021-11-19,Saarland,10,1516620,753798,731739,76255,76.6,54.0,86.8,78.4,90.9,74.4,48.2,84.5,81.0,90.2,7.7,0.9,9.0,4.0,17.2
2021-11-19,Berlin,11,5333465,2595554,2511081,343848,70.8,49.0,82.0,74.7,89.5,68.5,44.2,79.6,75.8,88.6,9.4,0.9,11.2,4.1,27.7
2021-11-19,Brandenburg,12,3205333,1613739,1559419,137462,63.8,36.8,73.2,61.7,80.5,61.6,32.5,71.3,64.5,81.4,5.4,0.5,6.4,3.3,11.1
2021-11-19,Mecklenburg-Vorpommern,13,2207493,1099533,1068237,102065,68.3,37.5,78.4,68.6,85.7,66.3,31.6,76.4,70.1,85.6,6.3,0.4,7.5,3.6,13.1
2021-11-19,Sachsen,14,4872716,2427998,2340195,201996,59.8,31.1,69.2,59.6,78.6,57.7,27.8,66.9,58.7,79.2,5.0,0.5,5.9,2.5,10.9
2021-11-19,Sachsen-Anhalt,15,2860950,1432634,1402315,128201,65.7,34.3,75.1,63.7,82.8,64.3,29.3,73.8,66.1,84.5,5.9,0.6,6.9,3.2,11.9
2021-11-19,Thüringen,16,2744711,1340599,1311286,171909,63.2,35.3,72.6,62.2,81.5,61.8,31.5,71.1,63.2,82.5,8.1,0.4,9.5,4.5,16.7
2021-11-19,Bundesressorts,17,376660,194170,186538,4069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
