Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-11-08,Deutschland,00,113339981,57986934,55851774,2830847,69.7,47.4,80.5,72.6,86.8,67.2,42.9,77.7,73.6,85.5,3.4,0.3,4.1,1.7,8.5
2021-11-08,Schleswig-Holstein,01,4258970,2160388,2090274,138411,74.2,61.5,86.2,79.6,89.9,71.8,56.2,83.7,80.4,89.5,4.8,0.2,5.7,2.0,12.1
2021-11-08,Hamburg,02,2697989,1381862,1342885,63648,74.6,49.0,86.7,81.3,88.3,72.5,44.8,84.5,83.6,86.8,3.4,0.4,4.1,2.1,9.2
2021-11-08,Niedersachsen,03,11134597,5772828,5524551,250908,72.1,55.0,82.9,73.0,90.0,69.0,49.6,79.5,74.9,87.9,3.1,0.3,3.7,1.7,7.6
2021-11-08,Bremen,04,1080615,553631,535942,35326,81.4,52.2,94.2,90.2,94.3,78.8,47.5,91.4,90.7,92.7,5.2,0.2,6.2,3.0,12.8
2021-11-08,Nordrhein-Westfalen,05,25841841,13283945,12659418,663120,74.1,55.2,85.4,77.5,90.3,70.6,50.5,81.5,78.0,88.4,3.7,0.4,4.4,2.1,9.0
2021-11-08,Hessen,06,8518496,4373903,4173139,204291,69.5,47.8,80.4,73.2,86.8,66.3,42.7,76.9,73.2,84.2,3.2,0.3,3.9,1.6,8.5
2021-11-08,Rheinland-Pfalz,07,5654271,2919538,2746678,143318,71.2,50.0,81.9,72.9,89.5,67.0,43.4,77.3,72.5,86.1,3.5,0.4,4.2,1.6,8.8
2021-11-08,Baden-Württemberg,08,14584212,7432195,7245202,338822,66.9,43.2,77.6,70.1,85.4,65.3,39.5,75.9,72.0,83.9,3.1,0.3,3.7,1.3,8.4
2021-11-08,Bayern,09,17281897,8778739,8551981,409873,66.8,44.3,77.2,70.1,84.5,65.1,40.2,75.4,71.6,83.2,3.1,0.3,3.7,1.7,7.7
2021-11-08,Saarland,10,1461128,747446,724797,33461,76.0,51.2,86.2,77.5,90.8,73.7,46.0,83.8,80.0,90.0,3.4,0.3,4.0,1.3,8.3
2021-11-08,Berlin,11,5124720,2555663,2473732,209539,69.7,45.4,80.9,73.4,89.1,67.5,42.0,78.5,74.4,88.1,5.7,0.4,6.8,1.7,18.8
2021-11-08,Brandenburg,12,3097616,1598608,1543062,59842,63.2,34.5,72.6,61.0,80.2,61.0,30.8,70.6,63.7,81.0,2.4,0.2,2.8,1.4,4.8
2021-11-08,Mecklenburg-Vorpommern,13,2126045,1087149,1055394,44855,67.5,34.5,77.6,67.6,85.5,65.5,29.5,75.6,69.0,85.2,2.8,0.2,3.3,1.4,6.0
2021-11-08,Sachsen,14,4719326,2405651,2318942,91426,59.3,29.5,68.6,58.9,78.3,57.2,26.7,66.4,58.0,78.9,2.3,0.2,2.7,0.8,5.4
2021-11-08,Sachsen-Anhalt,15,2760887,1416842,1384468,60906,65.0,31.5,74.4,62.7,82.6,63.5,27.3,73.0,65.0,84.1,2.8,0.3,3.3,1.3,5.9
2021-11-08,Thüringen,16,2624701,1324730,1295255,82184,62.5,32.9,71.8,61.2,81.2,61.1,29.3,70.4,62.2,82.1,3.9,0.2,4.6,1.8,8.6
2021-11-08,Bundesressorts,17,372670,193816,186054,917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
