Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-12-07,Deutschland,00,129593970,60028427,57519846,15555364,72.2,55.0,82.9,75.7,87.6,69.2,47.7,79.8,76.3,86.4,18.7,2.0,22.3,15.1,35.8
2021-12-07,Schleswig-Holstein,01,4840649,2217843,2149345,606343,76.2,68.4,88.2,82.2,90.6,73.8,61.3,85.8,83.0,90.8,20.8,0.8,24.8,15.5,41.3
2021-12-07,Hamburg,02,3016755,1436324,1392498,291282,77.5,56.1,89.8,85.1,89.1,75.2,50.8,87.4,87.2,87.7,15.7,2.1,18.8,13.3,32.5
2021-12-07,Niedersachsen,03,12651162,5939426,5674725,1461872,74.2,61.7,84.9,75.7,90.6,70.9,54.2,81.5,77.5,88.8,18.3,2.3,21.8,15.1,34.0
2021-12-07,Bremen,04,1200253,572061,549396,125047,84.1,57.2,97.1,94.1,95.2,80.8,52.1,93.4,93.3,93.6,18.4,0.7,22.0,13.2,39.8
2021-12-07,Nordrhein-Westfalen,05,29488953,13639669,12984345,3656573,76.1,61.5,87.4,80.0,91.1,72.4,54.7,83.4,80.4,89.2,20.4,2.0,24.4,16.8,39.0
2021-12-07,Hessen,06,9576592,4529429,4288047,1003440,72.0,54.6,82.9,76.4,87.6,68.1,47.1,78.8,75.7,85.0,15.9,2.0,19.0,12.9,31.3
2021-12-07,Rheinland-Pfalz,07,6409385,3004425,2814815,752927,73.3,57.1,84.0,75.5,90.2,68.7,48.3,79.0,74.7,86.8,18.4,2.2,21.8,14.6,34.9
2021-12-07,Baden-Württemberg,08,16726694,7724414,7473570,1991804,69.6,50.9,80.3,73.4,86.2,67.3,43.7,78.1,74.8,84.8,17.9,2.0,21.5,14.9,34.8
2021-12-07,Bayern,09,20149698,9171146,8874042,2597261,69.8,55.4,80.1,73.7,85.5,67.5,46.3,78.0,74.9,84.3,19.8,2.0,23.6,16.2,38.4
2021-12-07,Saarland,10,1681257,771626,742699,214776,78.4,58.6,88.7,80.8,91.4,75.5,50.7,85.7,82.6,90.7,21.8,3.2,25.4,16.6,39.7
2021-12-07,Berlin,11,5888038,2669920,2562630,778064,72.9,54.5,84.1,77.1,90.3,69.9,48.0,81.1,77.6,89.2,21.2,2.2,25.3,15.9,47.5
2021-12-07,Brandenburg,12,3542600,1659040,1586301,406624,65.5,41.4,75.0,64.2,81.0,62.7,35.0,72.4,66.0,81.9,16.1,1.7,19.0,12.3,29.1
2021-12-07,Mecklenburg-Vorpommern,13,2435526,1134156,1086764,279216,70.4,43.4,80.5,71.8,86.3,67.5,34.5,77.6,71.8,86.1,17.3,1.7,20.4,12.8,31.4
2021-12-07,Sachsen,14,5368656,2487599,2377997,602374,61.3,34.3,70.8,61.6,79.3,58.6,29.8,67.9,59.9,79.8,14.8,1.7,17.6,10.8,27.6
2021-12-07,Sachsen-Anhalt,15,3189663,1484140,1432311,379204,68.1,39.4,77.6,67.3,83.5,65.7,31.9,75.3,68.1,85.3,17.4,1.9,20.3,12.6,31.1
2021-12-07,Thüringen,16,3019136,1390911,1342481,375664,65.6,39.4,75.1,65.7,82.5,63.3,34.3,72.7,65.5,83.1,17.7,1.0,20.9,12.6,32.7
2021-12-07,Bundesressorts,17,408953,196298,187880,32893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
