Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-12-17,Deutschland,00,140915301,60888551,58411151,25171551,73.2,59.5,83.9,76.9,88.1,70.2,50.3,80.9,77.8,86.9,30.3,3.4,36.0,27.2,52.6
2021-12-17,Schleswig-Holstein,01,5226713,2242262,2175589,942184,77.0,73.1,88.9,83.2,90.8,74.7,63.9,86.7,84.2,91.2,32.4,1.8,38.5,27.5,58.0
2021-12-17,Hamburg,02,3219754,1451630,1408923,464573,78.4,60.4,90.5,86.0,89.3,76.1,53.4,88.3,88.4,88.0,25.1,3.1,30.0,23.3,46.8
2021-12-17,Niedersachsen,03,13887402,6011428,5754638,2550824,75.1,65.8,85.7,76.7,90.9,71.9,56.6,82.5,78.8,89.2,31.9,4.1,38.0,30.0,52.7
2021-12-17,Bremen,04,1295561,584112,557420,201015,85.9,61.9,98.9,96.3,96.1,82.0,54.2,94.7,94.9,94.2,29.6,1.4,35.3,25.3,55.6
2021-12-17,Nordrhein-Westfalen,05,32091432,13803420,13151759,5936130,77.0,65.9,88.2,81.0,91.4,73.4,57.0,84.4,81.6,89.7,33.1,3.7,39.6,30.2,57.6
2021-12-17,Hessen,06,10379957,4595783,4349152,1682690,73.0,58.8,83.9,77.6,88.1,69.1,49.7,79.8,77.0,85.4,26.7,3.3,31.9,24.2,47.4
2021-12-17,Rheinland-Pfalz,07,6991895,3042929,2849472,1264330,74.2,61.4,84.8,76.6,90.5,69.5,50.7,79.9,75.8,87.1,30.8,3.9,36.6,27.7,52.8
2021-12-17,Baden-Württemberg,08,18295519,7840339,7595935,3329844,70.6,55.0,81.3,74.6,86.7,68.4,46.1,79.3,76.3,85.4,30.0,3.9,35.9,28.1,51.6
2021-12-17,Bayern,09,21834984,9314378,9040709,3979526,70.9,61.2,81.0,74.9,85.9,68.8,50.3,79.2,76.5,84.8,30.3,3.3,36.1,26.9,54.7
2021-12-17,Saarland,10,1834154,780918,751928,349816,79.4,62.9,89.5,81.9,91.7,76.4,53.3,86.6,83.9,91.0,35.6,4.7,41.5,31.4,57.7
2021-12-17,Berlin,11,6373672,2727187,2637542,1134321,74.4,60.8,85.6,78.9,90.8,72.0,51.2,83.3,80.4,90.2,31.0,3.5,36.9,26.7,60.9
2021-12-17,Brandenburg,12,3841214,1687229,1610580,654788,66.7,45.2,76.1,65.6,81.5,63.6,37.4,73.4,67.4,82.4,25.9,2.6,30.6,21.9,43.8
2021-12-17,Mecklenburg-Vorpommern,13,2642828,1151885,1104234,451925,71.5,47.7,81.6,73.2,86.7,68.6,37.4,78.7,73.3,86.7,28.1,2.9,32.9,22.6,48.1
2021-12-17,Sachsen,14,5826430,2530638,2412505,983538,62.4,37.0,71.8,63.0,79.9,59.5,31.6,68.8,61.1,80.3,24.2,2.8,28.7,19.6,42.1
2021-12-17,Sachsen-Anhalt,15,3448022,1505312,1456084,593733,69.0,42.4,78.6,68.7,83.8,66.8,34.1,76.4,69.7,85.9,27.2,3.0,31.8,21.1,46.8
2021-12-17,Thüringen,16,3268400,1420674,1365682,574255,67.0,44.1,76.5,67.4,83.1,64.4,37.0,73.9,67.0,83.6,27.1,1.9,31.9,21.8,46.3
2021-12-17,Bundesressorts,17,457364,198427,188999,78059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
