Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-09-04,Deutschland,00,184775956,64766079,63436971,51576361,7290654,77.9,46.4,22.6,74.4,86.8,83.9,92.1,76.3,43.1,20.2,69.4,85.3,82.2,91.2,62.0,30.9,72.3,65.0,85.9,8.8,0.6,10.5,2.9,24.8
2022-09-04,Schleswig-Holstein,01,7129465,2354643,2324210,2038536,484573,80.9,60.9,31.1,93.7,88.0,84.7,93.9,79.8,57.9,30.3,88.1,87.2,83.9,92.9,70.0,47.2,80.3,73.7,92.1,16.6,0.7,19.8,4.9,46.2
2022-09-04,Hamburg,02,4511366,1604920,1561957,1221193,185962,86.6,53.0,30.1,80.7,96.9,96.2,98.7,84.3,47.5,24.5,75.8,94.9,93.5,98.3,65.9,28.9,77.5,71.7,92.0,10.0,0.8,12.0,3.8,32.6
2022-09-04,Niedersachsen,03,18639418,6397963,6221996,5341058,957625,79.9,53.0,27.4,81.2,88.4,84.9,94.7,77.7,48.9,24.5,75.6,86.3,82.9,92.7,66.7,39.0,77.4,70.9,89.4,12.0,0.8,14.3,3.7,33.7
2022-09-04,Bremen,04,1745886,620369,596107,451509,93294,91.2,49.1,23.2,78.9,102.5,104.2,98.9,87.6,44.4,19.9,73.0,98.8,99.1,98.3,66.4,28.3,77.7,71.0,91.3,13.7,0.6,16.4,5.0,39.4
2022-09-04,Nordrhein-Westfalen,05,42207268,14645062,14229506,11720888,2170456,81.7,51.4,28.4,80.6,90.8,89.0,94.4,79.4,48.4,24.7,75.2,88.5,86.0,93.2,65.4,35.2,76.2,69.6,89.0,12.1,0.7,14.5,4.2,34.4
2022-09-04,Hessen,06,13847802,4936029,4742415,3805589,526552,78.4,48.6,24.2,75.9,87.3,84.9,92.0,75.4,43.4,21.1,68.5,84.4,81.6,89.8,60.5,30.8,70.6,63.7,84.5,8.4,0.6,10.0,3.0,24.0
2022-09-04,Rheinland-Pfalz,07,9194701,3238866,3100675,2592989,380698,79.0,48.6,24.0,76.3,87.7,83.8,94.8,75.7,44.6,21.8,70.2,84.3,80.4,91.3,63.3,33.2,73.5,66.3,86.4,9.3,0.6,11.1,2.8,26.0
2022-09-04,Baden-Württemberg,08,23844439,8405406,8273326,6762291,671603,75.7,44.1,19.7,71.0,84.8,81.8,90.9,74.5,40.8,17.4,66.6,83.8,80.6,90.3,60.9,30.4,71.3,64.5,85.1,6.0,0.5,7.3,1.9,18.2
2022-09-04,Bayern,09,28022033,9899354,9885605,7733721,794094,75.3,46.2,21.5,74.5,83.8,81.1,89.4,75.2,43.4,19.7,70.2,84.1,81.4,89.6,58.9,27.2,68.8,61.3,83.9,6.0,0.4,7.2,1.8,18.2
2022-09-04,Saarland,10,2371617,822436,808445,678428,95938,83.6,47.2,19.1,78.7,92.3,90.4,95.2,82.2,44.0,17.2,73.7,91.0,88.5,95.0,68.9,33.9,79.0,72.0,90.1,9.7,0.6,11.4,3.1,24.9
2022-09-04,Berlin,11,8274647,2895509,2863956,2314504,304629,79.0,46.2,26.3,72.7,88.5,84.3,98.1,78.2,43.4,24.4,68.2,87.8,83.4,98.2,63.2,30.8,73.9,66.7,90.8,8.3,0.5,9.9,2.8,26.6
2022-09-04,Brandenburg,12,4901583,1721731,1725916,1402058,146844,68.0,33.5,11.2,60.3,76.3,72.4,82.1,68.2,30.2,9.4,55.2,76.9,71.9,84.5,55.4,20.2,64.6,53.9,80.8,5.8,0.4,6.9,2.0,14.3
2022-09-04,Mecklenburg-Vorpommern,13,3469090,1217845,1202745,961079,128872,75.6,34.4,10.7,63.3,84.7,79.8,91.8,74.7,31.2,8.8,58.2,84.0,78.6,92.0,59.7,21.8,69.1,58.4,84.8,8.0,0.7,9.4,2.0,20.3
2022-09-04,Sachsen,14,7391024,2677872,2626006,2023055,136759,66.0,25.4,7.7,47.6,75.0,68.0,85.5,64.7,23.8,6.9,44.9,73.7,66.6,84.3,49.9,14.9,58.4,47.6,74.5,3.4,0.3,4.0,0.8,8.7
2022-09-04,Sachsen-Anhalt,15,4528794,1618614,1604772,1252790,122504,74.2,31.4,8.8,58.3,83.2,77.4,91.2,73.6,28.8,7.7,53.9,82.8,76.7,91.3,57.4,18.1,66.4,54.5,83.1,5.6,0.5,6.6,1.4,13.8
2022-09-04,Thüringen,16,4160545,1507470,1479695,1133527,88748,71.1,30.9,11.5,54.8,79.9,73.9,88.3,69.8,29.6,10.9,52.7,78.5,71.6,88.3,53.5,19.4,62.0,50.8,78.0,4.2,0.3,4.9,1.5,9.8
2022-09-04,Bundesressorts,17,536278,201990,189639,143146,1503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
