Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_05bis11_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-12-31,Deutschland,00,149469843,61682745,416992,59189767,32172329,74.2,59.9,84.4,77.6,88.3,71.2,52.7,81.9,79.0,87.2,38.7,5.9,46.0,37.5,61.8
2021-12-31,Schleswig-Holstein,01,5517424,2267110,14169,2197603,1186178,77.9,74.6,89.2,83.6,91.0,75.5,65.6,87.5,85.2,91.5,40.7,3.5,48.4,37.8,67.2
2021-12-31,Hamburg,02,3402508,1469885,9545,1426300,612724,79.3,60.3,91.1,86.7,89.5,77.0,55.2,89.2,89.6,88.4,33.1,4.8,39.5,33.0,55.8
2021-12-31,Niedersachsen,03,14847802,6075725,38101,5824977,3377948,75.9,65.6,86.1,77.2,91.0,72.8,58.6,83.4,80.1,89.5,42.2,7.2,50.2,42.5,64.2
2021-12-31,Bremen,04,1382893,593049,3645,565105,272077,87.2,62.0,99.9,97.5,96.5,83.1,55.9,95.9,96.6,94.7,40.0,2.6,47.7,38.0,67.5
2021-12-31,Nordrhein-Westfalen,05,33904157,13983301,118645,13303709,7420077,78.0,65.7,88.6,81.5,91.6,74.2,58.9,85.2,82.8,90.0,41.4,5.8,49.4,40.5,66.5
2021-12-31,Hessen,06,11020198,4660325,27738,4406645,2202941,74.1,59.3,84.6,78.5,88.3,70.0,51.6,80.7,78.2,85.7,35.0,5.4,41.7,33.9,57.4
2021-12-31,Rheinland-Pfalz,07,7426839,3076644,17778,2885274,1630491,75.1,61.8,85.2,77.2,90.7,70.4,53.0,80.7,77.0,87.4,39.8,5.8,47.2,38.7,62.6
2021-12-31,Baden-Württemberg,08,19662771,7970541,52713,7728339,4438662,71.8,56.7,82.0,75.5,87.0,69.6,49.0,80.5,77.9,85.8,40.0,8.7,47.6,40.4,62.1
2021-12-31,Bayern,09,23167169,9446486,75305,9198934,5023681,71.9,61.3,81.5,75.5,86.1,70.0,53.8,80.4,78.0,85.2,38.2,5.4,45.5,36.7,63.4
2021-12-31,Saarland,10,1951684,789501,3747,760696,450297,80.2,63.7,90.1,82.7,91.9,77.3,55.5,87.5,85.2,91.3,45.8,7.4,53.3,44.0,68.3
2021-12-31,Berlin,11,6671902,2756320,30156,2628676,1413005,75.2,59.2,85.7,78.9,90.9,71.7,53.0,82.9,79.8,90.0,38.6,6.2,45.9,36.5,67.8
2021-12-31,Brandenburg,12,4051481,1705779,6079,1632619,825065,67.4,46.1,76.7,66.3,81.7,64.5,39.3,74.3,68.7,82.7,32.6,4.0,38.5,29.8,51.7
2021-12-31,Mecklenburg-Vorpommern,13,2782346,1162087,2682,1120987,564713,72.1,49.2,82.0,73.8,86.9,69.6,40.2,79.8,74.8,87.0,35.1,4.2,41.1,30.5,56.6
2021-12-31,Sachsen,14,6144671,2565660,6507,2451517,1228255,63.2,38.5,72.6,64.0,80.2,60.4,33.5,69.8,62.5,80.7,30.3,3.7,35.8,26.4,49.7
2021-12-31,Sachsen-Anhalt,15,3622150,1520113,3182,1482076,727391,69.7,44.0,79.1,69.4,84.0,68.0,36.6,77.7,71.5,86.3,33.4,3.9,38.9,27.8,54.5
2021-12-31,Thüringen,16,3440735,1441303,6981,1386722,706083,68.0,44.2,77.2,68.4,83.5,65.4,39.0,74.9,68.5,84.1,33.3,2.6,39.2,29.0,53.7
2021-12-31,Bundesressorts,17,473113,198916,19,189588,92741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
