Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-11-25,Deutschland,00,120376028,59018263,56795142,7981435,71.0,51.5,81.7,74.1,87.2,68.3,45.7,78.9,75.2,86.0,9.6,0.9,11.4,6.2,21.3
2021-11-25,Schleswig-Holstein,01,4476709,2187755,2113758,306800,75.2,65.1,87.1,80.9,90.2,72.6,58.5,84.5,81.5,89.9,10.5,0.3,12.6,6.0,24.2
2021-11-25,Hamburg,02,2849740,1410015,1371397,164664,76.1,52.9,88.3,83.3,88.6,74.0,48.5,86.1,85.6,87.3,8.9,1.1,10.6,6.3,21.5
2021-11-25,Niedersachsen,03,11800947,5856585,5613878,748550,73.2,58.7,83.9,74.3,90.3,70.1,52.4,80.7,76.4,88.5,9.4,1.0,11.2,6.0,20.6
2021-11-25,Bremen,04,1140738,562167,543806,80024,82.7,55.1,95.5,92.0,94.7,80.0,50.6,92.5,92.2,93.3,11.8,0.5,14.1,7.0,28.5
2021-11-25,Nordrhein-Westfalen,05,27360951,13447374,12838448,1850983,75.0,58.5,86.3,78.6,90.7,71.6,53.1,82.5,79.3,88.8,10.3,1.0,12.3,6.9,22.9
2021-11-25,Hessen,06,8990268,4456366,4241163,531825,70.8,51.7,81.7,74.9,87.3,67.4,45.4,78.0,74.7,84.7,8.5,0.9,10.1,5.4,19.5
2021-11-25,Rheinland-Pfalz,07,5959867,2957266,2786767,374723,72.2,53.4,82.8,74.0,89.8,68.0,46.4,78.3,73.8,86.5,9.1,1.1,10.9,5.5,20.5
2021-11-25,Baden-Württemberg,08,15423925,7573673,7374131,924137,68.2,46.8,78.9,71.7,85.8,66.4,42.0,77.2,73.6,84.4,8.3,0.8,10.0,5.2,19.6
2021-11-25,Bayern,09,18593935,9002287,8735431,1335733,68.5,50.8,78.8,72.1,85.1,66.5,43.4,76.9,73.5,83.8,10.2,0.9,12.1,7.2,22.2
2021-11-25,Saarland,10,1560311,760872,735825,109994,77.3,55.6,87.6,79.4,91.1,74.8,49.2,84.9,81.6,90.4,11.2,1.2,13.1,6.5,23.5
2021-11-25,Berlin,11,5488942,2620248,2526217,461183,71.5,50.6,82.8,75.5,89.7,68.9,45.3,80.0,76.3,88.8,12.6,1.2,15.0,6.9,34.0
2021-11-25,Brandenburg,12,3294124,1626073,1567530,206972,64.2,38.1,73.7,62.4,80.6,61.9,33.3,71.6,65.0,81.5,8.2,0.8,9.7,5.3,16.2
2021-11-25,Mecklenburg-Vorpommern,13,2268129,1110893,1074521,146095,69.0,39.1,79.1,69.7,85.9,66.7,32.5,76.8,70.7,85.8,9.1,0.6,10.7,5.6,18.1
2021-11-25,Sachsen,14,5003436,2445570,2351886,303958,60.3,32.1,69.7,60.2,78.8,58.0,28.5,67.2,59.1,79.4,7.5,0.7,8.9,4.3,15.6
2021-11-25,Sachsen-Anhalt,15,2953901,1450062,1412577,194687,66.5,36.0,76.0,65.0,83.0,64.8,30.3,74.3,66.8,84.8,8.9,1.0,10.4,5.5,17.3
2021-11-25,Thüringen,16,2826653,1356545,1320893,230964,64.0,36.8,73.4,63.3,81.8,62.3,32.5,71.6,63.9,82.7,10.9,0.5,12.8,6.6,21.8
2021-11-25,Bundesressorts,17,383452,194512,186914,10143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
