Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-09-19,Deutschland,00,105667332,55869314,52502558,371869,67.2,39.0,78.0,69.4,85.9,63.1,29.1,73.8,68.5,83.8
2021-09-19,Schleswig-Holstein,01,3972519,2095467,1976384,25002,72.0,53.7,83.7,76.3,89.1,67.9,40.4,79.4,74.6,87.9
2021-09-19,Hamburg,02,2470380,1308535,1235626,3838,70.6,36.6,82.7,76.5,87.0,66.7,26.4,78.7,76.3,84.5
2021-09-19,Niedersachsen,03,10424524,5591414,5210521,11142,69.9,46.6,80.7,70.3,89.4,65.1,34.2,75.9,70.1,86.5
2021-09-19,Bremen,04,997577,529909,501082,6064,77.9,42.0,90.6,85.5,93.5,73.7,30.9,86.3,83.8,91.3
2021-09-19,Nordrhein-Westfalen,05,24102725,12857666,11863279,101262,71.7,47.3,83.1,74.5,89.6,66.2,34.3,77.3,72.3,86.8
2021-09-19,Hessen,06,7952183,4212195,3924615,32057,66.9,39.4,77.8,70.1,85.9,62.4,28.4,73.1,68.3,82.7
2021-09-19,Rheinland-Pfalz,07,5279100,2819144,2589640,12264,68.8,40.2,79.6,69.9,88.8,63.2,27.4,73.8,67.8,84.6
2021-09-19,Baden-Württemberg,08,13695662,7163901,6860198,69107,64.5,35.6,75.2,67.1,84.6,61.8,29.1,72.5,67.5,82.5
2021-09-19,Bayern,09,16041635,8401351,8008455,45581,63.9,35.0,74.4,66.5,83.6,60.9,27.3,71.3,66.2,81.5
2021-09-19,Saarland,10,1371703,722148,686522,3625,73.4,41.2,83.8,74.2,90.1,69.8,29.8,80.2,74.9,88.7
2021-09-19,Berlin,11,4676840,2445636,2309845,25140,66.7,35.7,77.9,70.1,87.7,63.0,27.8,74.0,68.9,86.0
2021-09-19,Brandenburg,12,2890777,1534481,1445937,5880,60.6,26.0,70.1,58.3,78.9,57.1,18.7,66.8,58.9,78.7
2021-09-19,Mecklenburg-Vorpommern,13,1985454,1046031,991446,3528,64.9,25.4,75.1,64.4,84.6,61.6,18.1,71.6,63.6,83.2
2021-09-19,Sachsen,14,4412099,2313139,2183289,6628,57.0,22.9,66.3,56.0,77.2,53.8,17.1,63.0,53.6,76.8
2021-09-19,Sachsen-Anhalt,15,2588288,1364870,1307191,10961,62.6,23.4,72.1,59.6,81.8,59.9,16.5,69.4,60.2,82.3
2021-09-19,Thüringen,16,2437724,1271044,1224735,9712,59.9,25.0,69.3,57.9,80.2,57.8,20.5,67.0,57.7,80.2
2021-09-19,Bundesressorts,17,368142,192383,183793,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
