Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-11-10,Deutschland,00,114067035,58103317,56002360,3300010,69.9,48.0,80.6,72.7,86.9,67.3,43.4,77.9,73.9,85.6,4.0,0.4,4.7,2.0,9.9
2021-11-10,Schleswig-Holstein,01,4285047,2163131,2094181,157896,74.3,62.0,86.3,79.8,89.9,71.9,56.5,83.8,80.6,89.6,5.4,0.2,6.5,2.4,13.7
2021-11-10,Hamburg,02,2716817,1386537,1348284,72832,74.8,49.6,87.0,81.6,88.3,72.8,45.3,84.8,84.0,86.9,3.9,0.4,4.7,2.4,10.6
2021-11-10,Niedersachsen,03,11206086,5781242,5538868,299984,72.2,55.5,83.0,73.1,90.0,69.2,50.1,79.7,75.2,88.0,3.7,0.4,4.5,2.0,9.1
2021-11-10,Bremen,04,1088088,554557,537422,40559,81.5,52.8,94.3,90.4,94.4,79.0,48.1,91.6,91.0,92.8,6.0,0.2,7.1,3.3,14.8
2021-11-10,Nordrhein-Westfalen,05,26003808,13305029,12691561,772974,74.2,55.7,85.5,77.6,90.4,70.8,51.0,81.7,78.2,88.5,4.3,0.5,5.2,2.4,10.5
2021-11-10,Hessen,06,8569719,4382906,4184266,236028,69.6,48.3,80.5,73.4,86.9,66.5,43.1,77.1,73.5,84.3,3.8,0.3,4.5,1.8,9.8
2021-11-10,Rheinland-Pfalz,07,5688794,2924746,2753663,166128,71.4,50.5,82.1,73.1,89.6,67.2,43.9,77.5,72.7,86.2,4.1,0.5,4.8,1.9,10.2
2021-11-10,Baden-Württemberg,08,14661198,7446393,7264028,384135,67.1,43.6,77.8,70.3,85.5,65.4,39.9,76.1,72.2,84.0,3.5,0.3,4.1,1.5,9.5
2021-11-10,Bayern,09,17407355,8805281,8578887,484787,67.0,45.1,77.4,70.3,84.6,65.3,40.6,75.6,71.9,83.3,3.7,0.3,4.4,2.1,9.1
2021-11-10,Saarland,10,1471749,748793,726683,40954,76.1,51.8,86.3,77.7,90.8,73.9,46.6,84.0,80.2,90.1,4.2,0.5,4.9,1.7,9.9
2021-11-10,Berlin,11,5162519,2562556,2482000,232779,69.9,46.1,81.1,73.6,89.3,67.7,42.6,78.8,74.7,88.3,6.4,0.5,7.6,2.0,20.6
2021-11-10,Brandenburg,12,3116419,1601478,1546631,72429,63.3,34.9,72.7,61.1,80.3,61.1,31.2,70.7,63.9,81.1,2.9,0.3,3.4,1.7,5.9
2021-11-10,Mecklenburg-Vorpommern,13,2138195,1089094,1057685,52923,67.6,35.0,77.7,67.8,85.5,65.7,29.9,75.7,69.2,85.2,3.3,0.2,3.9,1.7,7.1
2021-11-10,Sachsen,14,4751980,2410714,2324649,113485,59.4,29.9,68.8,59.0,78.4,57.3,27.0,66.5,58.2,79.0,2.8,0.3,3.3,1.1,6.6
2021-11-10,Sachsen-Anhalt,15,2778391,1419609,1388510,71769,65.1,32.0,74.6,62.9,82.6,63.7,27.8,73.2,65.3,84.2,3.3,0.4,3.8,1.6,7.0
2021-11-10,Thüringen,16,2647777,1327375,1298896,99160,62.6,33.3,71.9,61.3,81.2,61.3,29.8,70.6,62.4,82.2,4.7,0.2,5.5,2.2,10.2
2021-11-10,Bundesressorts,17,373093,193876,186146,1188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
