Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-10-06,Deutschland,00,108590966,56846361,54038360,920992,68.4,42.7,79.1,70.9,86.3,65.0,36.1,75.6,70.8,84.5
2021-10-06,Schleswig-Holstein,01,4091024,2125773,2038252,54562,73.0,57.0,84.8,77.9,89.4,70.0,50.4,81.6,77.5,88.6
2021-10-06,Hamburg,02,2555832,1342178,1284356,13119,72.5,41.9,84.6,78.7,87.6,69.3,34.9,81.3,79.6,85.6
2021-10-06,Niedersachsen,03,10683907,5682238,5366552,41601,71.0,50.4,81.8,71.7,89.7,67.1,42.7,77.6,72.4,87.1
2021-10-06,Bremen,04,1027779,541021,516364,12315,79.5,46.4,92.3,87.7,93.9,75.9,39.3,88.4,86.8,91.8
2021-10-06,Nordrhein-Westfalen,05,24830182,13069919,12270870,236349,72.9,50.9,84.2,76.1,90.0,68.5,43.8,79.4,75.1,87.5
2021-10-06,Hessen,06,8180603,4290738,4041484,74409,68.2,43.2,79.1,71.6,86.4,64.2,36.1,74.8,70.6,83.3
2021-10-06,Rheinland-Pfalz,07,5441674,2872353,2665450,53647,70.1,45.1,80.9,71.5,89.2,65.0,35.8,75.5,70.1,85.3
2021-10-06,Baden-Württemberg,08,14044809,7290626,7020875,148994,65.7,39.2,76.4,68.6,85.0,63.2,33.6,73.9,69.4,83.0
2021-10-06,Bayern,09,16455458,8556002,8224140,110014,65.1,38.8,75.5,67.9,84.0,62.6,32.3,72.9,68.4,82.2
2021-10-06,Saarland,10,1404546,734006,703989,9391,74.6,45.9,84.9,75.8,90.4,71.5,37.8,81.8,77.2,89.3
2021-10-06,Berlin,11,4825048,2484158,2375831,72692,67.8,39.1,79.0,71.3,88.0,64.8,34.4,75.8,71.1,86.6
2021-10-06,Brandenburg,12,2976168,1566568,1493705,16171,61.9,29.8,71.4,59.6,79.7,59.0,24.5,68.7,61.2,79.9
2021-10-06,Mecklenburg-Vorpommern,13,2035117,1062492,1019264,11584,66.0,28.8,76.2,65.7,85.0,63.3,22.5,73.4,66.0,84.1
2021-10-06,Sachsen,14,4520893,2354531,2240736,19806,58.0,25.9,67.4,57.2,77.7,55.2,20.8,64.4,55.5,77.8
2021-10-06,Sachsen-Anhalt,15,2655116,1389044,1340070,24770,63.7,26.9,73.2,61.1,82.2,61.5,20.9,70.9,62.3,83.0
2021-10-06,Thüringen,16,2493133,1291779,1251776,21356,60.9,27.7,70.3,59.1,80.6,59.0,23.7,68.3,59.5,80.9
2021-10-06,Bundesressorts,17,369677,192935,184646,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
