Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-10-22,Deutschland,00,110785298,57468294,55044392,1555422,69.1,45.1,79.9,71.8,86.6,66.2,40.0,76.8,72.4,85.0
2021-10-22,Schleswig-Holstein,01,4164803,2142419,2067200,84071,73.6,59.0,85.5,78.7,89.6,71.0,53.7,82.7,79.1,89.1
2021-10-22,Hamburg,02,2619092,1362921,1314783,28839,73.6,45.4,85.7,80.1,88.0,71.0,40.3,82.9,81.7,86.2
2021-10-22,Niedersachsen,03,10879209,5734281,5452452,103555,71.6,52.9,82.4,72.4,89.9,68.1,46.6,78.6,73.8,87.5
2021-10-22,Bremen,04,1052824,549176,527679,19434,80.7,49.9,93.5,89.4,94.2,77.6,44.6,90.1,89.1,92.1
2021-10-22,Nordrhein-Westfalen,05,25291503,13186015,12483989,379235,73.6,53.1,84.9,76.9,90.2,69.6,47.5,80.5,76.7,88.0
2021-10-22,Hessen,06,8325718,4334382,4110120,111127,68.9,45.5,79.8,72.4,86.6,65.3,39.6,75.9,72.0,83.7
2021-10-22,Rheinland-Pfalz,07,5537993,2899061,2708294,83922,70.7,47.8,81.5,72.3,89.4,66.1,39.9,76.4,71.4,85.7
2021-10-22,Baden-Württemberg,08,14318343,7365824,7152356,223999,66.3,41.3,77.0,69.4,85.2,64.4,37.3,75.1,70.9,83.5
2021-10-22,Bayern,09,16858623,8679184,8410724,217784,66.1,41.5,76.5,69.1,84.3,64.0,37.1,74.3,70.2,82.7
2021-10-22,Saarland,10,1432366,742387,716314,17707,75.4,48.9,85.7,76.9,90.6,72.8,42.7,83.0,78.8,89.7
2021-10-22,Berlin,11,4955446,2522215,2425262,119218,68.8,42.0,80.0,72.4,88.8,66.2,38.0,77.2,72.7,87.5
2021-10-22,Brandenburg,12,3025440,1582573,1517941,27429,62.5,32.1,72.0,60.3,79.9,60.0,27.3,69.6,62.5,80.4
2021-10-22,Mecklenburg-Vorpommern,13,2079569,1076626,1041244,22136,66.8,31.7,77.0,66.8,85.3,64.6,27.0,74.7,67.9,84.7
2021-10-22,Sachsen,14,4610800,2382101,2285668,38834,58.7,27.6,68.1,58.1,78.1,56.3,24.3,65.5,56.9,78.4
2021-10-22,Sachsen-Anhalt,15,2709812,1405140,1367155,37992,64.4,29.4,73.9,62.0,82.4,62.7,24.9,72.2,63.9,83.7
2021-10-22,Thüringen,16,2552674,1310571,1277919,39650,61.8,30.3,71.2,60.3,80.9,60.3,27.2,69.5,61.1,81.6
2021-10-22,Bundesressorts,17,371083,193418,185292,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
