Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-09-19,Deutschland,00,185178548,64777630,63454096,51657286,7583645,77.9,46.5,22.7,74.5,86.8,83.9,92.1,76.3,43.2,20.2,69.5,85.3,82.2,91.2,62.1,31.0,72.4,65.2,85.9,9.1,0.6,10.9,3.0,25.7
2022-09-19,Schleswig-Holstein,01,7144459,2355035,2324687,2040629,496605,80.9,60.9,31.2,93.8,88.0,84.7,93.9,79.9,57.9,30.4,88.1,87.2,83.9,92.9,70.1,47.4,80.4,73.8,92.1,17.1,0.8,20.3,5.1,47.2
2022-09-19,Hamburg,02,4524124,1605329,1562598,1225894,192969,86.7,53.0,30.1,80.7,96.9,96.2,98.7,84.4,47.5,24.6,75.9,94.9,93.5,98.4,66.2,29.1,77.8,72.1,92.1,10.4,0.8,12.5,4.1,33.6
2022-09-19,Niedersachsen,03,18677033,6398940,6223303,5346831,987183,80.0,53.1,27.4,81.3,88.4,84.9,94.7,77.8,48.9,24.6,75.7,86.3,82.9,92.7,66.8,39.1,77.5,71.0,89.4,12.3,0.8,14.8,3.9,34.7
2022-09-19,Bremen,04,1750549,620491,596282,452233,96936,91.2,49.1,23.3,79.0,102.5,104.3,98.9,87.7,44.4,19.9,73.0,98.9,99.1,98.3,66.5,28.4,77.8,71.1,91.3,14.3,0.6,17.0,5.5,40.5
2022-09-19,Nordrhein-Westfalen,05,42301962,14647192,14233635,11739709,2240070,81.7,51.5,28.4,80.7,90.8,89.0,94.4,79.4,48.5,24.8,75.3,88.5,86.1,93.2,65.5,35.3,76.3,69.7,89.1,12.5,0.8,15.0,4.4,35.4
2022-09-19,Hessen,06,13874782,4937152,4743462,3812394,544557,78.5,48.7,24.3,75.9,87.3,85.0,92.0,75.4,43.4,21.1,68.5,84.4,81.6,89.8,60.6,30.8,70.8,63.9,84.6,8.7,0.6,10.4,3.2,24.8
2022-09-19,Rheinland-Pfalz,07,9211746,3239204,3101237,2595098,394734,79.0,48.7,24.1,76.3,87.7,83.8,94.8,75.7,44.6,21.9,70.3,84.3,80.4,91.3,63.3,33.3,73.5,66.4,86.4,9.6,0.7,11.5,3.0,26.9
2022-09-19,Baden-Württemberg,08,23882158,8407383,8275879,6768923,698160,75.7,44.2,19.8,71.0,84.8,81.8,90.9,74.5,40.8,17.5,66.6,83.9,80.7,90.4,61.0,30.4,71.3,64.5,85.1,6.3,0.5,7.5,2.0,18.9
2022-09-19,Bayern,09,28093829,9901276,9888603,7745664,849027,75.4,46.2,21.6,74.5,83.9,81.1,89.5,75.3,43.4,19.8,70.3,84.1,81.4,89.6,58.9,27.3,68.9,61.4,84.0,6.5,0.4,7.7,2.1,19.2
2022-09-19,Saarland,10,2375706,822503,808574,679277,98982,83.6,47.2,19.1,78.7,92.3,90.4,95.2,82.2,44.0,17.2,73.8,91.0,88.5,95.0,69.0,34.0,79.1,72.1,90.2,10.1,0.7,11.8,3.2,25.6
2022-09-19,Berlin,11,8298461,2896100,2864749,2321814,319749,79.0,46.3,26.4,72.7,88.5,84.3,98.1,78.2,43.4,24.4,68.2,87.9,83.4,98.2,63.4,30.9,74.2,67.0,90.9,8.7,0.6,10.4,3.0,27.8
2022-09-19,Brandenburg,12,4914033,1722023,1726288,1404345,156343,68.0,33.5,11.2,60.3,76.3,72.4,82.1,68.2,30.2,9.5,55.3,76.9,72.0,84.5,55.5,20.3,64.7,54.1,80.8,6.2,0.4,7.3,2.1,15.2
2022-09-19,Mecklenburg-Vorpommern,13,3476159,1218011,1203021,962556,134022,75.6,34.5,10.7,63.4,84.7,79.8,91.8,74.7,31.2,8.8,58.3,84.0,78.6,92.0,59.8,22.0,69.2,58.5,84.9,8.3,0.7,9.8,2.1,21.0
2022-09-19,Sachsen,14,7407533,2678384,2626881,2028122,146814,66.0,25.5,7.8,47.7,75.1,68.0,85.5,64.8,23.9,7.0,44.9,73.8,66.7,84.3,50.0,15.0,58.6,47.8,74.6,3.6,0.3,4.3,0.9,9.3
2022-09-19,Sachsen-Anhalt,15,4540845,1618845,1605158,1255159,131569,74.2,31.4,8.8,58.4,83.2,77.4,91.2,73.6,28.9,7.8,53.9,82.8,76.7,91.3,57.6,18.2,66.5,54.6,83.2,6.0,0.6,7.1,1.6,14.8
2022-09-19,Thüringen,16,4168078,1507697,1480009,1134943,94324,71.1,30.9,11.6,54.8,79.9,73.9,88.3,69.8,29.6,10.9,52.7,78.5,71.6,88.3,53.5,19.5,62.0,50.9,78.1,4.4,0.3,5.2,1.6,10.5
2022-09-19,Bundesressorts,17,537091,202065,189730,143695,1601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
