Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_00bis04_min1,Impfungen_gesamt_gi,Impfungen_gesamt_00bis04_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfungen_gesamt_boost3,Impfungen_gesamt_boost4,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2023-11-13,Deutschland,00,194587784,64912762,2945,63571396,1949,52177979,13060796,2656922,501289,78.0,46.1,22.4,74.5,87.0,84.8,91.0,76.4,42.9,20.0,69.6,85.5,83.0,90.1,62.7,31.7,73.1,66.4,85.4,15.7,1.1,18.7,7.1,40.2
2023-11-13,Schleswig-Holstein,01,7662860,2357189,530,2327448,474,2060439,755884,206668,27710,80.7,60.6,30.8,94.3,87.8,85.1,92.3,79.7,57.6,29.8,88.7,87.0,84.4,91.4,70.5,48.7,80.9,74.9,91.2,25.9,1.8,30.8,11.8,63.5
2023-11-13,Hamburg,02,4754915,1608169,54,1565951,30,1245495,309877,76721,11361,86.7,52.4,29.8,80.1,97.1,96.7,98.1,84.5,47.0,24.3,75.4,95.2,94.1,97.8,67.2,29.5,79.0,73.4,93.0,16.7,1.5,20.0,8.9,47.5
2023-11-13,Niedersachsen,03,19706018,6409227,201,6230453,135,5391286,1572793,343057,38375,79.8,52.7,27.0,81.8,88.4,85.6,93.3,77.6,48.6,24.2,76.3,86.3,83.5,91.2,67.2,40.0,78.0,72.1,88.5,19.6,1.4,23.4,8.5,50.3
2023-11-13,Bremen,04,1847469,622097,5,597438,NA,457314,150413,32565,3034,92.0,48.6,23.0,78.6,103.7,105.9,99.1,88.3,43.9,19.6,72.7,99.9,100.7,98.4,67.6,29.0,79.3,73.1,91.8,22.2,0.8,26.7,12.4,55.1
2023-11-13,Nordrhein-Westfalen,05,44612130,14666749,746,14251340,432,11847431,3383592,748721,272758,81.8,51.2,28.1,81.1,91.1,89.9,93.3,79.5,48.2,24.5,75.8,88.7,86.9,92.1,66.1,36.2,77.1,71.0,88.6,18.9,1.3,22.6,8.6,49.1
2023-11-13,Hessen,06,14639064,4971034,170,4773032,50,3856764,976418,199838,24665,79.0,48.5,24.1,76.0,88.0,86.2,91.5,75.8,43.3,21.0,68.7,85.0,82.9,89.2,61.3,31.6,71.6,65.2,84.2,15.5,1.2,18.6,7.6,40.0
2023-11-13,Rheinland-Pfalz,07,9697015,3246860,60,3107379,33,2619475,688629,136525,16651,79.1,48.3,23.7,76.7,87.9,84.7,93.4,75.7,44.2,21.5,70.7,84.4,81.3,89.8,63.8,34.1,74.1,67.7,85.4,16.8,1.1,20.0,7.0,42.8
2023-11-13,Baden-Württemberg,08,24991502,8428042,378,8293865,275,6841394,1406331,259594,30339,75.8,43.9,19.6,71.4,85.0,82.6,89.6,74.6,40.6,17.3,67.0,84.0,81.5,89.0,61.5,31.0,72.0,65.7,84.5,12.6,1.0,15.2,5.7,34.0
2023-11-13,Bayern,09,29357190,9917585,469,9902576,314,7814336,1656018,319816,37491,75.3,45.9,21.2,74.9,83.9,81.7,88.1,75.2,43.1,19.5,70.7,84.1,82.1,88.2,59.3,28.0,69.3,62.4,83.2,12.6,0.9,15.0,5.4,34.2
2023-11-13,Saarland,10,2479914,823448,13,809237,12,683485,168851,26069,2454,83.8,46.8,18.8,78.9,92.7,91.8,94.1,82.4,43.7,17.0,73.9,91.4,89.9,93.7,69.6,34.5,79.8,73.7,89.4,17.2,1.0,20.2,6.9,40.9
2023-11-13,Berlin,11,8821484,2905037,206,2870980,125,2361562,626833,138471,22440,79.0,45.5,26.2,71.1,88.6,84.6,97.6,78.1,42.7,24.2,66.8,87.9,83.7,97.6,64.2,31.0,75.3,68.3,91.3,17.0,1.3,20.4,9.0,46.7
2023-11-13,Brandenburg,12,5124196,1724339,21,1728199,12,1417773,302868,42161,3814,67.9,32.9,11.0,59.2,76.3,73.2,80.8,68.1,29.7,9.3,54.3,76.9,72.8,83.0,55.9,20.5,65.3,55.3,79.9,11.9,0.8,14.2,4.9,27.7
2023-11-13,Mecklenburg-Vorpommern,13,3600521,1219431,18,1204294,NA,970650,218731,26846,2020,75.7,34.1,10.7,62.2,84.9,81.0,90.2,74.7,30.9,8.8,57.3,84.2,79.8,90.3,60.2,22.2,69.8,59.9,83.8,13.6,1.0,16.0,4.7,31.8
2023-11-13,Sachsen,14,7720759,2681093,37,2630183,21,2049834,375342,51682,5280,66.3,25.1,7.7,46.9,75.5,68.8,85.2,65.1,23.6,7.0,44.3,74.2,67.5,84.0,50.7,15.3,59.5,48.9,74.9,9.3,0.7,11.0,3.5,21.9
2023-11-13,Sachsen-Anhalt,15,4722427,1621274,22,1607266,27,1269938,263591,28803,1438,74.7,31.0,8.8,57.5,83.9,78.8,90.8,74.1,28.6,7.8,53.2,83.5,78.1,90.8,58.5,18.5,67.8,56.3,83.4,12.2,0.9,14.2,4.0,28.3
2023-11-13,Thüringen,16,4300860,1509011,10,1481580,NA,1144558,194650,18623,1333,71.6,30.6,11.5,54.3,80.4,75.2,87.7,70.3,29.3,10.8,52.3,79.1,72.9,87.7,54.3,19.6,62.9,52.2,78.0,9.2,0.5,10.9,3.6,21.0
2023-11-13,Bundesressorts,17,549460,202177,5,190175,NA,146245,9975,762,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
