Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_05bis11_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-12-22,Deutschland,00,145615377,61313890,257476,58782729,29084094,73.7,58.9,84.2,77.2,88.2,70.7,51.4,81.4,78.4,87.1,35.0,4.3,41.6,32.8,58.2
2021-12-22,Schleswig-Holstein,01,5400948,2257248,8219,2188135,1088968,77.5,74.0,89.1,83.4,90.9,75.2,64.9,87.2,84.8,91.4,37.4,2.5,44.5,33.5,63.8
2021-12-22,Hamburg,02,3317534,1462004,5624,1418032,543486,78.9,59.4,90.9,86.4,89.4,76.5,54.2,88.8,89.0,88.2,29.3,3.8,35.1,28.3,52.0
2021-12-22,Niedersachsen,03,14407127,6044729,22288,5791148,3001626,75.5,64.9,85.9,77.0,91.0,72.4,57.7,83.0,79.5,89.3,37.5,5.3,44.7,36.7,59.3
2021-12-22,Bremen,04,1344914,588913,2180,561230,241901,86.6,61.0,99.4,97.0,96.3,82.5,55.0,95.3,95.7,94.5,35.6,2.0,42.5,32.6,62.5
2021-12-22,Nordrhein-Westfalen,05,33138831,13904677,75737,13229956,6805419,77.6,64.9,88.4,81.3,91.5,73.8,57.9,84.8,82.2,89.9,38.0,4.6,45.3,36.1,63.2
2021-12-22,Hessen,06,10735841,4626548,13100,4379535,1978165,73.5,58.4,84.2,78.1,88.2,69.6,50.7,80.3,77.7,85.5,31.4,4.3,37.5,29.6,53.4
2021-12-22,Rheinland-Pfalz,07,7239045,3060235,9062,2868185,1475816,74.7,61.0,85.1,76.9,90.6,70.0,51.7,80.3,76.5,87.3,36.0,4.7,42.8,33.8,59.0
2021-12-22,Baden-Württemberg,08,19029636,7911829,32706,7664615,3926054,71.3,55.4,81.7,75.1,86.9,69.0,47.5,79.9,77.1,85.6,35.4,5.2,42.2,34.5,57.9
2021-12-22,Bayern,09,22542104,9386728,50090,9118616,4537362,71.4,60.0,81.3,75.2,86.0,69.4,51.8,79.8,77.2,85.0,34.5,4.0,41.1,31.9,59.9
2021-12-22,Saarland,10,1901505,785938,2158,756721,407559,79.9,62.7,89.9,82.4,91.8,76.9,54.4,87.1,84.6,91.1,41.4,5.8,48.3,38.5,64.1
2021-12-22,Berlin,11,6503431,2733261,19858,2605785,1289680,74.6,58.1,85.4,78.5,90.8,71.1,51.8,82.2,79.0,89.8,35.2,4.5,42.0,32.1,65.1
2021-12-22,Brandenburg,12,3961171,1698282,4246,1622323,752286,67.1,45.2,76.5,66.0,81.6,64.1,38.2,73.8,68.1,82.6,29.7,3.3,35.1,26.2,48.7
2021-12-22,Mecklenburg-Vorpommern,13,2717735,1157724,1696,1112207,513158,71.9,48.1,81.9,73.6,86.8,69.0,38.6,79.2,74.0,86.8,31.9,3.4,37.4,26.7,53.0
2021-12-22,Sachsen,14,6016281,2551312,4052,2433642,1131830,62.9,37.6,72.3,63.6,80.1,60.0,32.6,69.4,61.9,80.5,27.9,3.3,33.0,23.7,46.8
2021-12-22,Sachsen-Anhalt,15,3531980,1513191,2231,1467944,658158,69.4,42.9,78.9,69.0,83.9,67.3,35.2,77.0,70.5,86.1,30.2,3.4,35.2,23.9,51.0
2021-12-22,Thüringen,16,3360853,1432699,4210,1375384,645908,67.6,43.3,77.0,68.1,83.4,64.9,37.7,74.3,67.7,83.9,30.5,2.3,35.8,25.4,50.7
2021-12-22,Bundesressorts,17,466441,198572,19,189271,86718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
