Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-08-31,Deutschland,00,184696526,64763257,63433115,51561843,7232420,77.9,46.4,22.6,74.4,86.8,83.9,92.1,76.3,43.1,20.1,69.4,85.3,82.2,91.2,62.0,30.9,72.2,65.0,85.9,8.7,0.6,10.4,2.8,24.6
2022-08-31,Schleswig-Holstein,01,7126317,2354552,2324093,2038051,482118,80.9,60.8,31.1,93.7,88.0,84.7,93.9,79.8,57.9,30.3,88.0,87.2,83.9,92.9,70.0,47.2,80.3,73.6,92.1,16.6,0.7,19.7,4.8,46.0
2022-08-31,Hamburg,02,4508745,1604784,1561794,1220532,184301,86.6,53.0,30.0,80.6,96.9,96.2,98.7,84.3,47.4,24.5,75.8,94.9,93.5,98.3,65.9,28.9,77.4,71.7,92.0,9.9,0.8,11.9,3.8,32.4
2022-08-31,Niedersachsen,03,18631678,6397794,6221673,5339767,951668,79.9,53.0,27.4,81.2,88.4,84.9,94.7,77.7,48.9,24.5,75.6,86.3,82.9,92.7,66.7,39.0,77.4,70.9,89.4,11.9,0.8,14.2,3.7,33.6
2022-08-31,Bremen,04,1745071,620347,596060,451346,92711,91.2,49.1,23.2,78.9,102.5,104.2,98.9,87.6,44.4,19.9,73.0,98.8,99.1,98.3,66.4,28.2,77.6,70.9,91.3,13.6,0.6,16.3,5.0,39.2
2022-08-31,Nordrhein-Westfalen,05,42192615,14644755,14229098,11718818,2158588,81.7,51.4,28.4,80.6,90.8,89.0,94.4,79.4,48.4,24.7,75.2,88.5,86.0,93.2,65.4,35.2,76.2,69.6,89.0,12.0,0.7,14.4,4.2,34.2
2022-08-31,Hessen,06,13843980,4935832,4742228,3804922,523781,78.4,48.6,24.2,75.9,87.3,84.9,92.0,75.4,43.4,21.1,68.5,84.4,81.6,89.8,60.5,30.8,70.6,63.7,84.5,8.3,0.6,10.0,3.0,23.9
2022-08-31,Rheinland-Pfalz,07,9191746,3238766,3100562,2592502,378443,79.0,48.6,24.0,76.3,87.7,83.8,94.8,75.7,44.6,21.8,70.2,84.3,80.4,91.3,63.3,33.2,73.4,66.3,86.4,9.2,0.6,11.0,2.8,25.8
2022-08-31,Baden-Württemberg,08,23821719,8404183,8271678,6757528,656517,75.7,44.1,19.7,71.0,84.8,81.8,90.9,74.5,40.8,17.4,66.6,83.8,80.6,90.3,60.9,30.3,71.2,64.4,85.0,5.9,0.4,7.1,1.8,17.8
2022-08-31,Bayern,09,28015921,9899248,9885416,7732773,789225,75.3,46.2,21.5,74.4,83.8,81.1,89.4,75.2,43.4,19.7,70.2,84.1,81.4,89.6,58.8,27.2,68.8,61.3,83.9,6.0,0.4,7.2,1.8,18.0
2022-08-31,Saarland,10,2370932,822412,808421,678283,95446,83.6,47.2,19.0,78.7,92.3,90.4,95.2,82.2,44.0,17.2,73.7,91.0,88.5,95.0,68.9,33.9,78.9,72.0,90.1,9.7,0.6,11.4,3.0,24.7
2022-08-31,Berlin,11,8270331,2895349,2863780,2313589,301564,79.0,46.2,26.3,72.7,88.5,84.3,98.1,78.2,43.3,24.4,68.2,87.8,83.4,98.2,63.1,30.8,73.9,66.7,90.8,8.2,0.5,9.8,2.7,26.4
2022-08-31,Brandenburg,12,4899271,1721669,1725816,1401661,145091,68.0,33.5,11.2,60.3,76.3,72.4,82.1,68.2,30.2,9.4,55.2,76.9,71.9,84.5,55.4,20.2,64.6,53.9,80.8,5.7,0.4,6.8,2.0,14.1
2022-08-31,Mecklenburg-Vorpommern,13,3467585,1217807,1202689,960778,127762,75.6,34.4,10.7,63.3,84.7,79.8,91.8,74.7,31.2,8.8,58.2,84.0,78.6,92.0,59.6,21.8,69.1,58.4,84.8,7.9,0.7,9.3,2.0,20.1
2022-08-31,Sachsen,14,7389009,2677813,2625918,2022610,135336,66.0,25.4,7.7,47.6,75.0,68.0,85.5,64.7,23.8,6.9,44.9,73.7,66.6,84.3,49.9,14.9,58.4,47.6,74.5,3.3,0.3,4.0,0.8,8.6
2022-08-31,Sachsen-Anhalt,15,4526699,1618563,1604673,1252378,120971,74.2,31.4,8.8,58.3,83.2,77.4,91.2,73.6,28.8,7.7,53.8,82.8,76.6,91.3,57.4,18.1,66.4,54.5,83.1,5.5,0.5,6.5,1.4,13.6
2022-08-31,Thüringen,16,4158691,1507393,1479579,1133171,87443,71.1,30.9,11.5,54.8,79.8,73.9,88.3,69.8,29.6,10.9,52.7,78.5,71.6,88.3,53.4,19.3,61.9,50.7,78.0,4.1,0.3,4.9,1.5,9.7
2022-08-31,Bundesressorts,17,536216,201990,189637,143134,1455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
