Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_00bis04_min1,Impfungen_gesamt_gi,Impfungen_gesamt_00bis04_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfungen_gesamt_boost3,Impfungen_gesamt_boost4,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-12-08,Deutschland,00,190940845,64826560,2032,63513058,1424,52040431,11907624,855789,91401,77.9,46.1,22.4,74.5,86.9,84.7,90.8,76.3,42.8,19.9,69.5,85.4,83.0,90.0,62.5,31.5,72.9,66.2,85.2,14.3,1.0,17.1,6.1,37.3
2022-12-08,Schleswig-Holstein,01,7442182,2356385,504,2326680,464,2055235,695230,80194,955,80.6,60.5,30.7,94.2,87.8,85.1,92.3,79.6,57.5,29.7,88.6,87.0,84.4,91.4,70.3,48.4,80.7,74.7,91.0,23.8,1.5,28.3,10.1,59.8
2022-12-08,Hamburg,02,4658346,1606709,32,1565265,20,1241550,279817,26422,1249,86.7,52.4,29.7,80.1,97.0,96.7,98.0,84.4,46.9,24.2,75.4,95.1,94.1,97.8,67.0,29.4,78.8,73.2,92.7,15.1,1.3,18.1,7.7,44.0
2022-12-08,Niedersachsen,03,19295814,6404123,119,6228872,100,5380901,1446508,112039,2591,79.8,52.7,26.9,81.8,88.3,85.6,93.2,77.6,48.6,24.1,76.3,86.3,83.5,91.2,67.0,39.9,77.8,72.0,88.3,18.0,1.2,21.6,7.4,46.9
2022-12-08,Bremen,04,1811736,621390,5,597160,NA,456239,139598,12622,119,91.9,48.5,22.9,78.4,103.5,105.9,98.9,88.3,43.9,19.6,72.6,99.9,100.7,98.4,67.4,28.9,79.2,72.9,91.7,20.6,0.8,24.7,11.0,52.2
2022-12-08,Nordrhein-Westfalen,05,43580479,14657618,483,14245883,334,11818577,3116531,234021,66474,81.8,51.2,28.1,81.1,91.0,89.8,93.2,79.5,48.2,24.5,75.7,88.7,86.9,92.0,65.9,36.1,76.9,70.9,88.4,17.4,1.1,20.9,7.6,46.0
2022-12-08,Hessen,06,14323709,4935959,59,4742423,37,3835602,888673,80920,2903,78.4,48.2,23.9,75.7,87.4,85.7,90.7,75.3,43.0,20.9,68.4,84.5,82.4,88.5,60.9,31.2,71.3,64.9,83.8,14.1,1.0,16.9,6.6,37.1
2022-12-08,Rheinland-Pfalz,07,9508286,3241936,33,3104067,18,2613207,627178,38925,1499,78.9,48.2,23.6,76.6,87.8,84.7,93.2,75.6,44.2,21.4,70.6,84.3,81.2,89.8,63.6,33.9,74.0,67.6,85.3,15.3,1.0,18.2,6.1,39.6
2022-12-08,Baden-Württemberg,08,24615620,8417670,270,8287010,138,6820888,1268156,84698,5365,75.7,43.9,19.5,71.4,84.9,82.5,89.4,74.5,40.6,17.3,67.0,83.9,81.4,88.9,61.3,30.9,71.8,65.6,84.2,11.4,0.8,13.7,4.9,31.0
2022-12-08,Bayern,09,28905321,9908800,353,9898254,190,7799482,1496825,88730,3957,75.2,45.9,21.2,74.8,83.8,81.7,88.0,75.1,43.1,19.4,70.7,84.1,82.0,88.2,59.2,27.9,69.2,62.3,83.0,11.4,0.7,13.6,4.6,31.3
