Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-01-30,Deutschland,00,164798585,62999870,61501394,43895972,75.8,39.0,17.9,63.6,85.3,78.7,88.6,74.0,32.2,9.4,58.8,84.1,82.0,88.1,52.8,21.1,61.9,55.4,74.1
2022-01-30,Schleswig-Holstein,01,6225122,2316817,2283449,1758469,79.6,49.5,22.7,79.4,89.8,84.4,91.2,78.4,40.3,12.0,71.9,89.7,88.2,92.4,60.4,28.2,70.3,62.8,83.3
2022-01-30,Hamburg,02,3812182,1503406,1471266,945072,81.2,41.0,23.3,63.2,91.9,87.7,89.9,79.4,32.1,9.9,60.1,91.1,91.9,89.2,51.0,18.1,60.3,56.0,71.0
2022-01-30,Niedersachsen,03,16379705,6206212,6035989,4569671,77.5,43.4,20.6,68.9,86.9,78.2,91.3,75.4,34.9,9.0,63.9,85.5,83.0,90.2,57.1,26.3,66.8,60.9,77.5
2022-01-30,Bremen,04,1549941,607041,589865,401043,89.3,40.3,17.8,66.6,101.3,99.5,96.9,86.7,33.4,9.2,61.9,99.3,101.0,95.8,59.0,18.7,69.4,63.0,82.5
2022-01-30,Nordrhein-Westfalen,05,37143797,14272021,13795564,9883992,79.6,44.3,22.5,69.2,89.4,82.5,91.9,77.0,36.6,12.3,64.4,87.3,85.4,90.8,55.1,23.3,64.7,58.1,77.6
2022-01-30,Hessen,06,12260685,4777813,4565278,3169067,75.9,39.4,18.5,63.7,85.6,79.8,88.6,72.5,30.9,8.5,56.9,82.8,81.0,86.4,50.4,20.5,59.2,53.6,70.4
2022-01-30,Rheinland-Pfalz,07,8161756,3144267,2993475,2190695,76.7,40.4,18.7,65.6,86.1,78.3,91.0,73.0,32.2,8.5,59.6,82.9,79.9,88.2,53.5,23.1,62.4,56.1,73.9
2022-01-30,Baden-Württemberg,08,21552963,8137762,8037354,5856909,73.3,36.8,16.1,60.5,82.9,76.6,87.4,72.4,30.7,8.6,56.0,82.7,80.8,86.7,52.8,23.8,61.9,56.7,72.5
2022-01-30,Bayern,09,25408254,9637688,9582926,6691483,73.3,39.5,17.9,64.9,82.4,76.6,86.5,72.9,33.8,10.6,60.9,82.7,81.0,86.2,50.9,18.8,59.8,53.1,73.5
2022-01-30,Saarland,10,2142661,804996,788996,597897,81.8,40.2,15.7,68.0,91.1,84.0,92.2,80.2,32.8,6.9,62.1,90.1,88.8,92.2,60.8,25.8,69.9,63.4,80.3
2022-01-30,Berlin,11,7421715,2818369,2756614,1976412,76.9,40.0,22.5,63.2,86.7,80.0,91.3,75.2,34.1,15.0,59.2,85.6,83.1,91.3,53.9,23.0,63.4,56.6,79.2
2022-01-30,Brandenburg,12,4507187,1740732,1703735,1175214,68.8,27.1,8.5,50.0,77.7,67.7,82.1,67.3,22.8,4.3,45.6,76.9,72.3,83.8,46.4,13.3,54.4,46.2,66.8
2022-01-30,Mecklenburg-Vorpommern,13,3103304,1185060,1167182,816814,73.6,28.4,7.8,53.5,83.1,75.3,87.2,72.5,23.1,2.8,47.9,82.5,78.7,88.0,50.7,13.1,59.1,49.1,73.7
2022-01-30,Sachsen,14,6786106,2623692,2543282,1720386,64.7,21.8,5.8,42.0,73.8,65.7,80.8,62.7,18.5,2.8,38.3,72.0,65.4,81.8,42.4,9.5,49.9,40.4,63.9
2022-01-30,Sachsen-Anhalt,15,4016681,1551166,1546632,1026695,71.1,25.2,6.2,48.3,80.3,71.1,84.4,70.9,20.9,2.6,43.1,80.6,75.6,87.5,47.1,10.0,54.7,43.4,70.5
2022-01-30,Thüringen,16,3806761,1471558,1446309,982998,69.4,26.7,9.1,48.5,78.4,70.0,84.1,68.2,23.8,6.4,45.2,77.4,71.9,85.3,46.4,13.0,54.0,43.8,68.5
2022-01-30,Bundesressorts,17,519765,201270,193478,133155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
