Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-05-11,Deutschland,00,179256992,64518208,63050979,49465553,4493712,77.6,45.2,22.1,72.2,86.6,83.3,91.6,75.8,41.2,19.5,66.6,85.0,82.0,90.9,59.5,30.9,69.1,63.3,79.9,5.4,0.3,6.6,1.4,16.4
2022-05-11,Schleswig-Holstein,01,6940369,2352746,2320507,2120214,219806,80.8,59.7,30.4,92.5,88.4,85.1,93.8,79.7,56.0,29.4,85.8,87.8,84.8,93.0,72.8,44.3,79.0,72.4,90.6,7.6,0.3,14.1,2.2,35.1
2022-05-11,Hamburg,02,4344119,1599898,1551099,1136503,119090,86.4,50.9,29.4,78.0,96.9,95.9,98.1,83.7,44.8,23.6,71.5,94.5,93.4,97.4,61.4,28.8,72.0,68.4,81.0,6.4,0.4,7.7,2.1,21.8
2022-05-11,Niedersachsen,03,18036481,6366355,6177594,5146622,624118,79.5,51.6,26.8,79.3,88.1,84.4,94.2,77.2,46.8,23.8,72.7,85.9,82.6,92.1,64.3,39.4,74.5,69.7,83.3,7.8,0.5,9.3,1.9,23.0
2022-05-11,Bremen,04,1692031,617394,592220,439483,58261,90.8,47.5,22.6,76.8,102.2,103.9,98.3,87.1,43.1,19.5,70.8,98.3,98.6,97.9,64.6,27.3,75.6,69.6,87.8,8.6,0.4,10.2,1.7,27.6
2022-05-11,Nordrhein-Westfalen,05,40805192,14617210,14162513,11163787,1418284,81.5,51.7,27.7,79.0,90.6,88.5,94.1,79.0,46.7,23.9,72.7,88.3,85.8,93.1,62.3,34.7,72.5,66.9,83.4,7.9,0.5,9.5,2.1,23.7
2022-05-11,Hessen,06,13323170,4883975,4689604,3593625,314400,77.6,46.3,23.4,72.8,86.6,83.9,91.3,74.5,41.0,20.3,65.1,83.7,80.9,89.2,57.1,31.0,66.6,61.6,76.5,5.0,0.3,6.0,1.5,15.0
2022-05-11,Rheinland-Pfalz,07,8855992,3211124,3074302,2444655,243170,78.4,46.6,23.5,73.5,87.2,83.0,94.2,75.0,42.5,21.2,67.0,83.8,79.9,90.9,59.6,33.5,69.1,63.7,79.0,5.9,0.4,7.1,1.5,17.1
2022-05-11,Baden-Württemberg,08,23087722,8344266,8195990,6397649,414068,75.2,42.3,19.3,68.4,84.4,81.0,90.2,73.8,38.5,16.8,63.3,83.3,80.1,89.8,57.6,30.8,67.3,62.5,77.1,3.7,0.3,4.5,1.0,11.6
2022-05-11,Bayern,09,27280368,9845122,9810995,7446310,465800,74.9,44.7,21.2,72.3,83.6,80.6,88.9,74.7,41.5,19.1,67.8,83.7,81.0,89.1,56.7,27.4,66.1,60.2,78.3,3.5,0.2,4.2,0.9,11.1
2022-05-11,Saarland,10,2308720,818778,804261,655703,63382,83.2,46.0,18.6,77.1,92.0,89.7,94.8,81.7,42.0,16.6,70.9,90.7,88.3,94.7,66.6,35.4,76.2,70.9,84.8,6.4,0.4,7.5,1.8,16.9
2022-05-11,Berlin,11,8087863,2908787,2868616,2231841,182367,79.4,45.6,25.6,71.9,89.0,84.2,98.0,78.3,42.1,23.6,66.6,88.2,83.9,98.0,60.9,30.9,71.2,65.4,85.0,5.0,0.3,6.0,1.2,17.0
2022-05-11,Brandenburg,12,4822962,1760824,1734885,1330083,87880,69.6,29.4,10.8,52.2,78.3,68.6,82.3,68.5,27.4,8.9,50.2,77.7,73.5,84.1,52.6,20.0,61.3,53.7,72.7,3.5,0.2,4.1,1.1,8.7
2022-05-11,Mecklenburg-Vorpommern,13,3377613,1212013,1195872,929121,81623,75.2,33.3,10.5,61.3,84.4,79.2,91.4,74.2,29.6,8.2,55.8,83.7,78.4,91.6,57.7,21.9,66.8,57.7,80.1,5.1,0.3,6.0,1.0,13.2
2022-05-11,Sachsen,14,7270386,2669431,2615419,1978952,78486,65.8,24.7,7.6,46.3,74.9,67.7,85.0,64.5,22.8,6.6,43.2,73.6,66.6,83.9,48.8,15.6,57.1,47.5,71.2,1.9,0.1,2.3,0.4,5.1
2022-05-11,Sachsen-Anhalt,15,4411590,1608885,1598222,1204259,69453,73.8,29.8,8.6,55.8,82.9,76.7,90.7,73.3,26.9,7.3,50.7,82.7,76.5,91.2,55.2,18.2,63.8,53.3,78.4,3.2,0.3,3.7,0.7,8.0
2022-05-11,Thüringen,16,4078629,1499507,1469445,1104952,52861,70.7,30.2,11.3,53.5,79.5,73.2,87.8,69.3,28.8,10.6,51.3,78.0,71.2,87.8,52.1,19.3,60.4,50.2,75.0,2.5,0.1,2.9,0.9,5.9
2022-05-11,Bundesressorts,17,533785,201893,189435,141794,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
