Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-11-01,Deutschland,00,187924361,64803808,63489514,51893510,10031638,77.9,46.0,22.3,74.4,86.9,84.7,90.8,76.3,42.8,19.9,69.5,85.4,82.9,90.0,62.3,31.3,72.7,66.0,85.0,12.1,0.8,14.4,4.8,32.2
2022-11-01,Schleswig-Holstein,01,7259395,2355897,2325879,2048964,601152,80.6,60.6,30.8,94.2,87.7,85.1,92.3,79.6,57.6,29.9,88.5,86.9,84.4,91.4,70.1,48.1,80.5,74.5,90.8,20.6,1.2,24.5,7.6,53.7
2022-11-01,Hamburg,02,4583904,1606163,1564369,1236247,239791,86.6,52.3,29.6,80.1,97.0,96.6,98.0,84.4,46.9,24.1,75.3,95.1,94.0,97.7,66.7,29.2,78.5,72.9,92.3,12.9,1.1,15.5,6.0,39.0
2022-11-01,Niedersachsen,03,18960752,6402048,6226890,5368320,1242718,79.8,52.6,26.9,81.8,88.3,85.5,93.1,77.6,48.6,24.1,76.2,86.2,83.5,91.1,66.9,39.7,77.7,71.8,88.1,15.5,1.0,18.5,5.8,41.4
2022-11-01,Bremen,04,1782697,620979,596872,455022,125217,91.8,48.5,22.9,78.4,103.5,105.8,98.9,88.2,43.8,19.5,72.4,99.9,100.6,98.3,67.3,28.7,78.9,72.7,91.5,18.5,0.7,22.2,9.2,48.3
2022-11-01,Nordrhein-Westfalen,05,42838560,14652093,14240296,11782320,2722495,81.7,51.1,28.0,81.1,91.0,89.8,93.2,79.4,48.1,24.4,75.7,88.7,86.9,92.0,65.7,35.8,76.7,70.7,88.2,15.2,0.9,18.2,6.0,41.3
2022-11-01,Hessen,06,14081077,4933882,4740929,3826087,742962,78.4,48.1,23.9,75.7,87.4,85.7,90.7,75.3,43.0,20.8,68.3,84.4,82.3,88.5,60.8,31.0,71.1,64.7,83.6,11.8,0.8,14.2,5.1,31.8
2022-11-01,Rheinland-Pfalz,07,9357128,3240697,3102902,2606791,525265,78.9,48.1,23.5,76.6,87.7,84.6,93.2,75.6,44.1,21.4,70.5,84.3,81.2,89.7,63.5,33.8,73.8,67.4,85.1,12.8,0.8,15.3,4.6,34.0
2022-11-01,Baden-Württemberg,08,24269656,8413982,8283579,6802437,1037845,75.6,43.9,19.5,71.4,84.8,82.5,89.3,74.5,40.6,17.2,67.0,83.9,81.4,88.8,61.1,30.8,71.6,65.4,84.0,9.3,0.7,11.2,3.8,26.0
2022-11-01,Bayern,09,28543472,9906183,9895022,7781916,1251092,75.2,45.8,21.2,74.8,83.8,81.7,88.0,75.1,43.1,19.4,70.6,84.1,82.0,88.2,59.1,27.8,69.1,62.1,82.9,9.5,0.6,11.4,3.6,26.6
2022-11-01,Saarland,10,2416665,822704,808915,681604,137072,83.7,46.8,18.8,78.8,92.6,91.7,94.0,82.3,43.7,17.0,73.9,91.4,89.9,93.7,69.4,34.3,79.6,73.5,89.2,14.0,0.9,16.4,5.3,33.7
2022-11-01,Berlin,11,8457253,2898914,2867379,2340054,454857,78.8,45.4,26.0,71.0,88.4,84.4,97.4,78.0,42.5,24.0,66.6,87.8,83.6,97.5,63.6,30.5,74.6,67.6,90.7,12.4,0.9,14.8,5.6,36.1
2022-11-01,Brandenburg,12,4985438,1722645,1727286,1411366,219107,67.9,32.9,11.0,59.1,76.2,73.2,80.7,68.1,29.7,9.3,54.2,76.9,72.8,83.0,55.6,20.3,65.0,55.0,79.6,8.6,0.5,10.3,3.3,20.5
2022-11-01,Mecklenburg-Vorpommern,13,3519435,1218394,1203731,966820,171941,75.6,34.0,10.7,62.2,84.8,81.0,90.1,74.7,30.9,8.7,57.2,84.1,79.8,90.3,60.0,21.9,69.6,59.7,83.6,10.7,0.8,12.6,3.2,25.7
2022-11-01,Sachsen,14,7507358,2679412,2628483,2038388,233743,66.3,25.1,7.7,46.8,75.4,68.8,85.1,65.0,23.5,6.9,44.2,74.2,67.4,84.0,50.4,15.1,59.1,48.6,74.6,5.8,0.4,6.9,1.9,14.1
2022-11-01,Sachsen-Anhalt,15,4604267,1619512,1606188,1262094,186359,74.7,31.0,8.7,57.4,83.8,78.8,90.6,74.0,28.5,7.7,53.1,83.4,78.1,90.7,58.2,18.3,67.4,56.0,83.0,8.6,0.7,10.1,2.5,20.4
2022-11-01,Thüringen,16,4215491,1508218,1480800,1139817,135551,71.5,30.6,11.4,54.3,80.4,75.2,87.6,70.2,29.3,10.8,52.2,79.0,72.9,87.7,54.0,19.5,62.7,51.9,77.7,6.4,0.4,7.6,2.4,14.7
2022-11-01,Bundesressorts,17,541813,202085,189994,145263,4471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
