Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_05bis11_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-12-24,Deutschland,00,146580475,61406913,292126,58885787,29855906,73.8,59.2,84.2,77.3,88.2,70.8,51.7,81.5,78.6,87.1,35.9,4.6,42.7,34.0,59.2
2021-12-24,Schleswig-Holstein,01,5404069,2257692,8351,2188723,1091063,77.6,74.0,89.1,83.5,90.9,75.2,64.9,87.2,84.8,91.4,37.5,2.6,44.6,33.6,63.9
2021-12-24,Hamburg,02,3335385,1463792,6463,1419981,557663,79.0,59.5,91.0,86.5,89.5,76.7,54.4,88.9,89.2,88.2,30.1,4.0,36.0,29.2,53.0
2021-12-24,Niedersachsen,03,14529155,6053741,26525,5801715,3104258,75.6,65.2,86.0,77.1,91.0,72.5,58.0,83.1,79.7,89.4,38.8,5.8,46.2,38.2,60.8
2021-12-24,Bremen,04,1354392,589874,2465,562128,249567,86.7,61.2,99.5,97.1,96.4,82.7,55.2,95.5,95.9,94.5,36.7,2.2,43.8,33.9,63.8
2021-12-24,Nordrhein-Westfalen,05,33333442,13924494,85764,13249340,6961500,77.7,65.2,88.4,81.4,91.5,73.9,58.1,84.9,82.4,89.9,38.8,4.9,46.4,37.2,64.1
2021-12-24,Hessen,06,10806006,4634033,15689,4385893,2034715,73.6,58.6,84.3,78.2,88.2,69.7,50.9,80.4,77.8,85.6,32.3,4.5,38.6,30.7,54.4
2021-12-24,Rheinland-Pfalz,07,7295753,3067414,13578,2872393,1521345,74.8,61.2,85.1,77.0,90.6,70.1,52.0,80.4,76.6,87.3,37.1,5.0,44.1,35.2,60.1
2021-12-24,Baden-Württemberg,08,19175584,7924549,36398,7680978,4043306,71.4,55.7,81.7,75.2,86.9,69.2,47.9,80.1,77.3,85.7,36.4,5.7,43.5,35.8,59.0
2021-12-24,Bayern,09,22709669,9402693,54717,9139820,4668451,71.6,60.4,81.4,75.3,86.1,69.6,52.3,80.0,77.5,85.1,35.5,4.2,42.3,33.1,60.9
2021-12-24,Saarland,10,1913315,786714,2413,757652,417681,80.0,63.0,89.9,82.5,91.8,77.0,54.7,87.2,84.8,91.2,42.4,6.1,49.5,39.8,65.2
2021-12-24,Berlin,11,6544668,2739048,21936,2611014,1320021,74.8,58.4,85.5,78.6,90.8,71.3,52.1,82.4,79.2,89.8,36.0,4.8,42.9,33.2,65.8
2021-12-24,Brandenburg,12,3984045,1700265,4644,1624763,770749,67.2,45.4,76.5,66.1,81.6,64.2,38.4,73.9,68.2,82.6,30.5,3.4,36.0,27.1,49.5
2021-12-24,Mecklenburg-Vorpommern,13,2732070,1158759,1810,1114272,524417,71.9,48.4,81.9,73.6,86.8,69.2,38.9,79.3,74.2,86.9,32.6,3.5,38.2,27.6,53.8
2021-12-24,Sachsen,14,6041921,2554123,4229,2437091,1151258,63.0,37.8,72.4,63.7,80.1,60.1,32.8,69.5,62.0,80.5,28.4,3.4,33.6,24.2,47.4
2021-12-24,Sachsen-Anhalt,15,3568111,1516088,2367,1472916,686453,69.5,43.3,79.0,69.2,84.0,67.5,35.8,77.2,70.8,86.2,31.5,3.5,36.7,25.6,52.3
2021-12-24,Thüringen,16,3384759,1435063,4758,1377828,665059,67.7,43.7,77.1,68.2,83.4,65.0,38.0,74.5,67.9,83.9,31.4,2.3,36.9,26.6,51.7
2021-12-24,Bundesressorts,17,468131,198571,19,189280,88400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
