Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-03-06,Deutschland,00,170487423,63515372,62847041,47732256,76.4,41.4,21.1,65.0,85.7,79.2,88.8,75.6,37.9,17.2,62.1,85.3,83.5,88.6,57.4,28.0,66.9,61.1,77.7
2022-03-06,Schleswig-Holstein,01,6533937,2337818,2338321,1991564,80.3,53.7,29.0,81.2,90.1,84.8,91.4,80.3,49.7,25.8,76.3,90.6,89.4,92.8,68.4,39.8,76.4,69.7,88.3
2022-03-06,Hamburg,02,4034409,1533290,1527373,1081921,82.8,44.4,26.9,66.5,93.4,89.3,90.9,82.5,40.5,21.4,64.7,93.6,94.6,91.0,58.4,25.7,68.7,65.0,78.0
2022-03-06,Niedersachsen,03,16974591,6263249,6180788,4963268,78.3,46.7,25.7,70.3,87.2,78.7,91.4,77.2,42.5,20.6,67.0,86.6,84.4,90.6,62.0,35.9,72.0,67.1,81.1
2022-03-06,Bremen,04,1599219,612469,603273,431653,90.1,43.0,21.6,68.2,101.9,100.3,97.1,88.7,39.7,17.5,65.8,100.8,103.0,96.3,63.5,24.7,74.4,68.8,85.9
2022-03-06,Nordrhein-Westfalen,05,38406543,14383490,14078104,10754121,80.2,47.0,26.4,70.5,89.7,83.0,92.0,78.5,42.8,21.3,67.3,88.3,86.8,91.2,60.0,31.3,70.0,64.3,81.0
2022-03-06,Hessen,06,12705280,4819038,4669234,3468738,76.6,42.1,22.3,65.1,86.0,80.4,88.8,74.2,37.3,17.5,60.3,83.8,82.4,86.8,55.1,27.9,64.4,59.6,74.1
2022-03-06,Rheinland-Pfalz,07,8428749,3171824,3062100,2362076,77.4,43.0,22.4,67.0,86.5,78.9,91.2,74.7,39.1,18.5,63.0,83.9,81.3,88.6,57.6,30.6,66.9,61.4,76.9
2022-03-06,Baden-Württemberg,08,22144254,8194970,8198330,6232111,73.8,38.7,18.5,61.7,83.2,77.0,87.5,73.8,35.6,14.9,59.1,83.8,82.1,87.2,56.1,28.7,65.7,60.9,75.4
2022-03-06,Bayern,09,26214512,9704757,9778714,7235777,73.9,41.4,20.5,66.0,82.7,77.0,86.6,74.4,38.8,17.2,64.0,83.8,82.4,86.6,55.1,24.9,64.4,58.4,76.5
2022-03-06,Saarland,10,2202261,810109,805647,636015,82.3,42.1,18.0,69.3,91.4,84.5,92.4,81.9,38.7,14.8,65.7,91.3,90.5,92.6,64.6,32.4,74.0,68.5,82.9
2022-03-06,Berlin,11,7659570,2838065,2809838,2141834,77.5,41.8,24.7,64.4,87.1,80.5,91.5,76.7,39.0,21.4,62.2,86.7,84.5,91.8,58.5,28.2,68.5,62.4,82.6
2022-03-06,Brandenburg,12,4659567,1753311,1738872,1280213,69.3,28.7,10.2,51.5,78.1,68.3,82.2,68.7,26.0,7.5,48.8,78.1,74.0,84.3,50.6,17.6,59.1,51.3,70.7
2022-03-06,Mecklenburg-Vorpommern,13,3214428,1194748,1191916,893645,74.2,30.4,9.8,55.7,83.5,76.0,87.4,74.0,26.9,6.7,51.7,83.8,80.5,88.6,55.5,18.9,64.4,55.2,77.8
2022-03-06,Sachsen,14,7043126,2645711,2602756,1896122,65.2,23.2,7.2,43.5,74.3,66.3,81.0,64.2,21.5,5.6,41.7,73.4,67.2,82.5,46.7,13.8,54.8,45.4,68.6
2022-03-06,Sachsen-Anhalt,15,4194910,1565716,1586038,1151118,71.8,27.2,8.0,50.6,80.8,71.9,84.6,72.7,24.5,6.0,47.2,82.3,78.0,88.3,52.8,15.5,61.1,50.5,75.9
2022-03-06,Thüringen,16,3943428,1485054,1481076,1071714,70.0,28.5,10.7,50.5,78.9,70.7,84.3,69.9,27.1,9.3,49.2,78.9,73.9,86.0,50.5,17.3,58.6,48.7,72.9
2022-03-06,Bundesressorts,17,528639,201753,194661,140366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
