Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-10-13,Deutschland,00,109521772,57128110,54486100,1155000,68.7,43.7,79.5,71.3,86.5,65.5,37.8,76.1,71.5,84.8
2021-10-13,Schleswig-Holstein,01,4116710,2132320,2048159,64463,73.3,57.7,85.1,78.2,89.5,70.4,51.4,82.0,78.1,88.8
2021-10-13,Hamburg,02,2579419,1350443,1295787,18639,72.9,43.2,85.0,79.2,87.8,69.9,36.5,82.0,80.4,85.8
2021-10-13,Niedersachsen,03,10764170,5706352,5405094,61089,71.3,51.6,82.1,72.0,89.8,67.5,44.6,78.1,73.0,87.3
2021-10-13,Bremen,04,1038494,545133,521546,14617,80.2,48.1,92.9,88.6,94.0,76.7,41.6,89.2,87.8,91.9
2021-10-13,Nordrhein-Westfalen,05,25042248,13126863,12374229,294096,73.2,51.9,84.6,76.4,90.1,69.0,45.7,79.9,75.9,87.8
2021-10-13,Hessen,06,8243881,4310418,4072928,88212,68.5,44.2,79.4,72.0,86.5,64.7,37.9,75.3,71.2,83.5
2021-10-13,Rheinland-Pfalz,07,5483685,2884454,2685008,65731,70.4,46.3,81.2,71.9,89.3,65.5,37.7,75.9,70.7,85.4
2021-10-13,Baden-Württemberg,08,14148443,7321383,7071994,174142,65.9,40.1,76.6,68.9,85.1,63.7,35.0,74.4,70.0,83.2
2021-10-13,Bayern,09,16619221,8609759,8304126,146840,65.5,40.0,76.0,68.4,84.1,63.2,34.3,73.5,69.2,82.4
2021-10-13,Saarland,10,1417157,738107,709998,12572,75.0,47.3,85.3,76.3,90.5,72.2,40.2,82.4,78.0,89.5
2021-10-13,Berlin,11,4889912,2504037,2401951,93421,68.3,40.4,79.5,71.8,88.7,65.6,36.3,76.5,71.9,87.3
2021-10-13,Brandenburg,12,3000302,1574600,1506231,20916,62.2,30.9,71.7,59.9,79.8,59.5,26.0,69.2,61.8,80.2
2021-10-13,Mecklenburg-Vorpommern,13,2051794,1068081,1028288,14591,66.3,29.8,76.5,66.1,85.1,63.8,24.1,73.9,66.8,84.4
2021-10-13,Sachsen,14,4562326,2367544,2262265,27529,58.4,26.7,67.7,57.7,77.9,55.8,22.5,65.0,56.1,78.1
2021-10-13,Sachsen-Anhalt,15,2676487,1395829,1350504,29730,64.0,27.9,73.5,61.5,82.3,61.9,22.2,71.4,62.9,83.3
2021-10-13,Thüringen,16,2517374,1299673,1263102,28150,61.3,28.7,70.7,59.6,80.8,59.6,25.2,68.8,60.2,81.2
2021-10-13,Bundesressorts,17,370149,193114,184890,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
