Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-09-28,Deutschland,00,185622356,64784357,63463822,51708946,7959340,77.8,46.0,22.2,74.4,86.8,84.7,90.8,76.2,42.7,19.8,69.4,85.4,82.9,90.0,62.1,31.0,72.5,65.8,84.8,9.6,0.6,11.4,3.3,26.4
2022-09-28,Schleswig-Holstein,01,7166039,2355315,2324997,2042814,515410,80.6,60.5,30.7,94.1,87.7,85.1,92.3,79.6,57.5,29.8,88.5,86.9,84.4,91.3,69.9,47.7,80.2,74.2,90.6,17.6,0.8,21.0,5.4,47.9
2022-09-28,Hamburg,02,4533145,1605595,1563044,1227550,199622,86.6,52.2,29.4,80.0,97.0,96.6,97.9,84.3,46.8,24.0,75.2,95.0,93.9,97.6,66.2,28.9,77.9,72.4,91.5,10.8,0.9,12.9,4.3,34.3
2022-09-28,Niedersachsen,03,18719948,6399470,6224142,5351413,1024147,79.7,52.6,26.8,81.7,88.2,85.5,93.1,77.5,48.5,24.1,76.1,86.2,83.5,91.1,66.7,39.4,77.4,71.6,88.0,12.8,0.8,15.3,4.1,35.3
2022-09-28,Bremen,04,1756079,620566,596443,452888,101575,91.7,48.4,22.8,78.3,103.4,105.7,98.8,88.2,43.7,19.5,72.4,99.8,100.5,98.3,66.9,28.2,78.6,72.2,91.3,15.0,0.6,18.0,6.1,41.8
2022-09-28,Nordrhein-Westfalen,05,42400298,14648340,14235538,11750007,2325057,81.7,51.0,27.9,81.0,91.0,89.8,93.2,79.4,48.1,24.3,75.6,88.6,86.9,92.0,65.6,35.6,76.5,70.4,88.0,13.0,0.8,15.6,4.7,36.1
2022-09-28,Hessen,06,13905514,4937930,4743995,3815572,570800,78.4,48.1,23.8,75.7,87.5,85.8,90.7,75.4,42.9,20.7,68.3,84.5,82.4,88.6,60.6,30.8,70.9,64.5,83.4,9.1,0.6,10.9,3.4,25.5
2022-09-28,Rheinland-Pfalz,07,9239728,3239442,3101634,2597957,419222,78.9,48.1,23.5,76.6,87.7,84.6,93.1,75.5,44.1,21.3,70.5,84.3,81.2,89.7,63.3,33.5,73.6,67.1,84.9,10.2,0.7,12.2,3.3,27.9
2022-09-28,Baden-Württemberg,08,23932464,8408830,8277608,6775014,739199,75.6,43.8,19.4,71.3,84.8,82.5,89.3,74.4,40.5,17.2,66.9,83.8,81.3,88.8,60.9,30.6,71.4,65.1,83.7,6.6,0.5,8.0,2.2,19.5
2022-09-28,Bayern,09,28162975,9902115,9889947,7753372,908282,75.1,45.8,21.1,74.8,83.8,81.6,87.9,75.1,43.0,19.3,70.6,84.0,82.0,88.1,58.8,27.5,68.8,61.9,82.6,6.9,0.5,8.2,2.3,20.1
2022-09-28,Saarland,10,2383802,822550,808651,679841,106390,83.7,46.7,18.7,78.8,92.6,91.7,94.0,82.3,43.6,16.9,73.8,91.3,89.9,93.7,69.2,34.1,79.4,73.2,89.0,10.8,0.7,12.7,3.6,27.0
2022-09-28,Berlin,11,8324110,2896551,2865398,2326337,339775,78.8,45.3,25.9,70.9,88.3,84.4,97.3,77.9,42.4,24.0,66.6,87.7,83.5,97.5,63.3,30.2,74.2,67.2,90.3,9.2,0.6,11.1,3.3,29.0
2022-09-28,Brandenburg,12,4926613,1722149,1726539,1406021,166870,67.9,32.8,11.0,59.1,76.2,73.2,80.7,68.0,29.6,9.3,54.1,76.9,72.7,83.0,55.4,20.0,64.8,54.7,79.4,6.6,0.4,7.8,2.3,15.9
2022-09-28,Mecklenburg-Vorpommern,13,3484689,1218102,1203218,963663,141157,75.6,34.0,10.7,62.2,84.8,81.0,90.1,74.7,30.8,8.7,57.1,84.1,79.8,90.2,59.8,21.6,69.4,59.4,83.4,8.8,0.7,10.3,2.3,21.6
2022-09-28,Sachsen,14,7422178,2678581,2627306,2030102,158857,66.3,25.1,7.7,46.8,75.4,68.8,85.1,65.0,23.5,6.9,44.1,74.1,67.4,84.0,50.2,14.8,58.9,48.3,74.4,3.9,0.3,4.7,1.0,10.0
2022-09-28,Sachsen-Anhalt,15,4552340,1618950,1605432,1256717,141127,74.6,30.9,8.7,57.3,83.8,78.8,90.6,74.0,28.5,7.7,53.0,83.4,78.0,90.7,57.9,18.0,67.1,55.7,82.7,6.5,0.6,7.6,1.7,15.7
2022-09-28,Thüringen,16,4175209,1507801,1480195,1135930,100178,71.5,30.6,11.4,54.2,80.4,75.2,87.6,70.2,29.3,10.7,52.2,79.0,72.8,87.7,53.9,19.3,62.5,51.7,77.5,4.8,0.3,5.6,1.7,11.0
2022-09-28,Bundesressorts,17,537225,202070,189735,143748,1672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
