Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-08-22,Deutschland,00,184458243,64750747,63418940,51525704,7056961,77.9,46.4,22.6,74.4,86.8,83.9,92.1,76.3,43.1,20.1,69.4,85.3,82.2,91.2,62.0,30.8,72.2,65.0,85.8,8.5,0.6,10.1,2.7,24.0
2022-08-22,Schleswig-Holstein,01,7114165,2354378,2323791,2036558,471935,80.9,60.8,31.1,93.7,88.0,84.7,93.9,79.8,57.8,30.2,88.0,87.2,83.9,92.9,70.0,47.1,80.3,73.6,92.1,16.2,0.7,19.3,4.6,45.2
2022-08-22,Hamburg,02,4502909,1604687,1561560,1219311,180017,86.6,52.9,30.0,80.6,96.9,96.2,98.7,84.3,47.4,24.5,75.8,94.9,93.5,98.3,65.8,28.8,77.4,71.6,91.9,9.7,0.8,11.6,3.7,31.7
2022-08-22,Niedersachsen,03,18605193,6397174,6220723,5336194,930326,79.9,53.0,27.3,81.2,88.4,84.9,94.7,77.7,48.8,24.5,75.6,86.3,82.8,92.7,66.7,38.9,77.3,70.8,89.3,11.6,0.7,13.9,3.6,32.9
2022-08-22,Bremen,04,1742370,620231,595906,450872,90754,91.2,49.0,23.2,78.8,102.5,104.2,98.9,87.6,44.3,19.9,72.9,98.8,99.1,98.3,66.3,28.2,77.6,70.8,91.2,13.3,0.6,15.9,4.8,38.5
2022-08-22,Nordrhein-Westfalen,05,42128249,14643447,14227248,11710556,2105642,81.7,51.4,28.3,80.6,90.8,89.0,94.4,79.4,48.4,24.7,75.2,88.5,86.0,93.2,65.3,35.1,76.2,69.5,88.9,11.7,0.7,14.1,4.0,33.5
2022-08-22,Hessen,06,13815712,4928710,4736204,3801723,511858,78.3,48.6,24.2,75.8,87.2,84.8,91.9,75.3,43.4,21.1,68.4,84.2,81.5,89.7,60.4,30.7,70.6,63.6,84.5,8.1,0.5,9.7,2.9,23.4
2022-08-22,Rheinland-Pfalz,07,9181249,3238512,3100228,2591096,369940,79.0,48.6,24.0,76.3,87.7,83.8,94.8,75.6,44.6,21.8,70.2,84.3,80.3,91.3,63.2,33.1,73.4,66.3,86.4,9.0,0.6,10.7,2.7,25.3
2022-08-22,Baden-Württemberg,08,23802606,8403065,8270250,6754325,643153,75.7,44.1,19.7,71.0,84.8,81.8,90.8,74.5,40.8,17.4,66.5,83.8,80.6,90.3,60.8,30.3,71.2,64.4,85.0,5.8,0.4,6.9,1.8,17.5
2022-08-22,Bayern,09,27994208,9898757,9884534,7728557,773101,75.3,46.2,21.5,74.4,83.8,81.1,89.4,75.2,43.4,19.7,70.2,84.1,81.4,89.6,58.8,27.2,68.7,61.2,83.9,5.9,0.4,7.0,1.8,17.7
2022-08-22,Saarland,10,2368087,822378,808339,677902,93098,83.6,47.2,19.0,78.7,92.3,90.4,95.2,82.1,44.0,17.1,73.7,91.0,88.5,95.0,68.9,33.9,78.9,72.0,90.0,9.5,0.6,11.1,3.0,24.1
2022-08-22,Berlin,11,8258129,2895050,2863373,2311356,292301,79.0,46.2,26.3,72.7,88.5,84.3,98.1,78.1,43.3,24.4,68.2,87.8,83.4,98.2,63.1,30.7,73.8,66.6,90.7,8.0,0.5,9.5,2.6,25.6
2022-08-22,Brandenburg,12,4890963,1721478,1725488,1400078,138885,68.0,33.5,11.1,60.2,76.3,72.3,82.1,68.2,30.2,9.4,55.1,76.9,71.9,84.4,55.3,20.1,64.6,53.8,80.7,5.5,0.3,6.5,1.9,13.5
2022-08-22,Mecklenburg-Vorpommern,13,3462798,1217688,1202458,959862,124241,75.6,34.4,10.7,63.3,84.7,79.8,91.8,74.7,31.1,8.7,58.1,84.0,78.6,92.0,59.6,21.7,69.1,58.3,84.8,7.7,0.7,9.1,1.9,19.6
2022-08-22,Sachsen,14,7381467,2677567,2625514,2021116,129938,66.0,25.4,7.7,47.6,75.0,68.0,85.5,64.7,23.8,6.9,44.8,73.7,66.6,84.3,49.8,14.9,58.4,47.5,74.5,3.2,0.3,3.8,0.8,8.3
2022-08-22,Sachsen-Anhalt,15,4520192,1618412,1604409,1251032,116225,74.2,31.3,8.8,58.3,83.2,77.4,91.2,73.6,28.8,7.7,53.8,82.7,76.6,91.3,57.4,18.0,66.3,54.4,83.0,5.3,0.5,6.3,1.4,13.1
2022-08-22,Thüringen,16,4153905,1507232,1479297,1132137,84134,71.1,30.9,11.5,54.8,79.8,73.9,88.3,69.8,29.6,10.8,52.6,78.5,71.6,88.3,53.4,19.3,61.9,50.7,77.9,4.0,0.3,4.7,1.4,9.3
2022-08-22,Bundesressorts,17,536041,201981,189618,143029,1413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
