Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-03-11,Deutschland,00,170977292,63567052,62950453,48068160,76.4,41.5,21.3,65.1,85.8,79.3,88.8,75.7,38.3,17.7,62.3,85.4,83.6,88.7,57.8,28.5,67.3,61.5,78.1
2022-03-11,Schleswig-Holstein,01,6580264,2339197,2341762,2033076,80.4,53.9,29.3,81.3,90.1,84.8,91.4,80.4,50.3,26.6,76.7,90.7,89.5,92.8,69.8,40.5,76.9,70.2,88.7
2022-03-11,Hamburg,02,4050410,1536216,1531753,1090825,82.9,44.6,27.0,66.8,93.6,89.5,91.1,82.7,40.8,21.6,65.0,93.8,94.9,91.2,58.9,26.2,69.2,65.6,78.4
2022-03-11,Niedersachsen,03,17027699,6270553,6192132,4997759,78.3,46.9,25.9,70.4,87.3,78.8,91.5,77.4,43.0,21.4,67.3,86.7,84.5,90.7,62.4,36.5,72.5,67.6,81.5
2022-03-11,Bremen,04,1602826,613028,604218,433771,90.1,43.2,21.8,68.3,102.0,100.4,97.1,88.8,40.0,17.9,66.0,100.9,103.1,96.3,63.8,25.1,74.8,69.2,86.1
2022-03-11,Nordrhein-Westfalen,05,38516912,14394687,14101042,10830688,80.3,47.2,26.7,70.6,89.8,83.1,92.1,78.7,43.2,21.9,67.6,88.4,86.9,91.2,60.4,31.9,70.5,64.9,81.4
2022-03-11,Hessen,06,12739264,4822485,4677213,3491454,76.6,42.3,22.5,65.2,86.1,80.4,88.8,74.3,37.8,18.1,60.6,83.9,82.5,86.8,55.5,28.4,64.8,60.0,74.4
2022-03-11,Rheinland-Pfalz,07,8453586,3174471,3068072,2378307,77.5,43.2,22.6,67.1,86.6,78.9,91.2,74.9,39.7,19.4,63.3,84.0,81.4,88.6,58.0,31.1,67.4,61.9,77.2
2022-03-11,Baden-Württemberg,08,22187947,8200244,8208724,6260219,73.9,38.8,18.6,61.8,83.3,77.1,87.6,73.9,35.9,15.3,59.3,83.8,82.2,87.2,56.4,29.0,65.9,61.2,75.6
2022-03-11,Bayern,09,26276979,9711363,9793615,7276784,73.9,41.5,20.6,66.0,82.8,77.1,86.6,74.5,39.1,17.6,64.3,83.9,82.5,86.6,55.4,25.2,64.7,58.8,76.8
2022-03-11,Saarland,10,2207987,810533,806868,640109,82.4,42.2,18.1,69.4,91.5,84.6,92.4,82.0,39.0,15.2,66.0,91.4,90.7,92.7,65.1,32.9,74.5,69.0,83.3
2022-03-11,Berlin,11,7674713,2840530,2813455,2151018,77.5,41.9,24.8,64.5,87.2,80.6,91.5,76.8,39.2,21.7,62.3,86.7,84.6,91.8,58.7,28.5,68.7,62.7,82.8
2022-03-11,Brandenburg,12,4673158,1754543,1741545,1289918,69.3,28.8,10.3,51.6,78.1,68.3,82.2,68.8,26.3,7.8,49.1,78.2,74.1,84.3,51.0,18.0,59.5,51.8,71.1
2022-03-11,Mecklenburg-Vorpommern,13,3224605,1195939,1194067,900518,74.2,30.6,10.0,55.8,83.6,76.1,87.4,74.1,27.2,7.0,52.1,83.9,80.7,88.6,55.9,19.4,64.8,55.7,78.2
2022-03-11,Sachsen,14,7067181,2648353,2607741,1912557,65.3,23.3,7.3,43.6,74.4,66.4,81.0,64.3,21.8,5.8,41.9,73.5,67.3,82.6,47.1,14.1,55.2,45.8,69.2
2022-03-11,Sachsen-Anhalt,15,4210019,1567073,1589557,1161352,71.9,27.3,8.1,50.8,80.9,72.0,84.6,72.9,24.9,6.3,47.7,82.4,78.2,88.3,53.3,16.1,61.6,51.1,76.3
2022-03-11,Thüringen,16,3954674,1486034,1483949,1079139,70.1,28.6,10.9,50.6,79.0,70.8,84.3,70.0,27.5,9.7,49.5,79.0,74.0,86.1,50.9,17.7,59.0,49.1,73.3
2022-03-11,Bundesressorts,17,529068,201803,194740,140666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
