Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-10-26,Deutschland,00,111159129,57562198,55191607,1697713,69.2,45.5,80.0,72.0,86.6,66.4,40.6,76.9,72.6,85.1
2021-10-26,Schleswig-Holstein,01,4178799,2145963,2071433,90630,73.7,59.4,85.6,78.9,89.7,71.2,54.2,82.9,79.4,89.2
2021-10-26,Hamburg,02,2635156,1368291,1322067,33092,73.9,46.1,86.0,80.4,88.0,71.4,41.6,83.3,82.2,86.3
2021-10-26,Niedersachsen,03,10906997,5739533,5461173,117901,71.7,53.1,82.5,72.5,89.9,68.2,46.9,78.8,73.9,87.6
2021-10-26,Bremen,04,1055787,550019,528899,20518,80.9,50.4,93.6,89.5,94.2,77.8,45.1,90.3,89.3,92.1
2021-10-26,Nordrhein-Westfalen,05,25372806,13203568,12516505,411858,73.7,53.4,85.0,77.0,90.2,69.8,48.1,80.7,76.9,88.1
2021-10-26,Hessen,06,8349023,4340488,4119681,119231,69.0,45.8,79.9,72.6,86.6,65.5,40.2,76.0,72.2,83.7
2021-10-26,Rheinland-Pfalz,07,5556230,2902859,2716315,90830,70.8,48.2,81.6,72.4,89.4,66.3,40.7,76.6,71.6,85.7
2021-10-26,Baden-Württemberg,08,14360676,7377551,7170209,238433,66.4,41.6,77.1,69.5,85.3,64.6,37.7,75.2,71.1,83.6
2021-10-26,Bayern,09,16929828,8697772,8439240,243642,66.2,42.0,76.6,69.3,84.4,64.2,37.8,74.5,70.5,82.8
2021-10-26,Saarland,10,1436373,743435,717781,19325,75.6,49.4,85.8,77.0,90.6,72.9,43.2,83.1,79.1,89.7
2021-10-26,Berlin,11,4981962,2527885,2434253,131574,69.0,42.7,80.2,72.5,88.9,66.4,39.0,77.4,73.1,87.6
2021-10-26,Brandenburg,12,3038936,1587504,1524283,29966,62.7,32.5,72.2,60.5,80.1,60.2,27.9,69.9,62.8,80.6
2021-10-26,Mecklenburg-Vorpommern,13,2085920,1078258,1043649,24634,66.9,32.1,77.1,66.9,85.3,64.8,27.4,74.9,68.1,84.8
2021-10-26,Sachsen,14,4622569,2385677,2290651,42192,58.8,27.9,68.2,58.2,78.1,56.5,24.7,65.7,57.1,78.4
2021-10-26,Sachsen-Anhalt,15,2715275,1406645,1369296,39953,64.5,29.7,74.0,62.1,82.4,62.8,25.2,72.3,64.1,83.7
2021-10-26,Thüringen,16,2561568,1313276,1280820,43419,61.9,30.8,71.3,60.5,81.0,60.4,27.6,69.7,61.3,81.6
2021-10-26,Bundesressorts,17,371224,193474,185352,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
