Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-01-18,Deutschland,00,159732231,62530950,60652751,40139877,75.2,36.5,14.5,62.3,85.0,78.3,88.5,72.9,29.3,5.7,56.9,83.3,80.9,87.8,48.3,14.7,56.9,49.6,70.5
2022-01-18,Schleswig-Holstein,01,5988441,2297462,2253628,1570896,78.9,45.5,16.9,77.5,89.6,84.1,91.1,77.4,37.2,7.9,69.9,88.9,87.1,92.1,54.0,15.7,63.4,54.7,78.7
2022-01-18,Hamburg,02,3674966,1490513,1451007,840767,80.5,37.4,17.7,62.1,91.6,87.3,89.7,78.3,28.4,4.4,58.4,90.3,90.9,88.9,45.4,11.6,53.9,48.9,66.5
2022-01-18,Niedersachsen,03,15887504,6152957,5951611,4214597,76.9,39.9,15.2,67.6,86.6,77.8,91.2,74.4,32.1,5.2,62.3,84.7,81.8,90.0,52.7,18.0,62.0,55.4,74.2
2022-01-18,Bremen,04,1500368,602476,581389,364372,88.6,37.6,14.2,65.0,100.9,98.9,96.8,85.5,30.3,5.1,59.9,98.2,99.5,95.4,53.6,11.7,63.4,55.8,78.8
2022-01-18,Nordrhein-Westfalen,05,36076403,14179992,13616796,9086409,79.1,41.9,19.0,68.0,89.1,82.2,91.8,76.0,33.4,7.5,62.8,86.5,84.5,90.5,50.7,16.2,59.9,52.3,74.5
2022-01-18,Hessen,06,11835230,4735419,4504931,2846063,75.2,36.3,14.1,62.1,85.2,79.4,88.5,71.6,28.0,4.5,55.2,82.0,80.0,86.1,45.2,12.5,53.5,47.0,66.7
2022-01-18,Rheinland-Pfalz,07,7954314,3120981,2959686,2040210,76.2,37.5,14.4,64.3,85.8,77.9,90.9,72.2,29.8,5.5,57.9,82.2,79.0,88.0,49.8,16.0,58.5,51.5,71.1
2022-01-18,Baden-Württemberg,08,20944807,8080005,7919848,5422742,72.8,34.6,13.0,59.3,82.6,76.2,87.2,71.3,27.8,5.1,53.7,81.9,79.7,86.4,48.8,18.6,57.6,51.9,69.2
2022-01-18,Bayern,09,24625257,9565620,9441581,6121334,72.8,37.4,14.9,63.6,82.0,76.1,86.3,71.9,30.4,6.3,58.7,81.9,79.9,85.9,46.6,13.2,55.0,47.5,70.2
2022-01-18,Saarland,10,2090649,799906,778534,561344,81.3,38.0,12.7,66.6,90.7,83.6,92.1,79.1,30.1,3.4,60.2,89.2,87.5,91.9,57.0,20.1,65.8,58.4,77.7
2022-01-18,Berlin,11,7163881,2796039,2706768,1788338,76.3,37.7,19.6,61.7,86.3,79.6,91.1,73.9,30.6,10.4,57.2,84.4,81.8,90.6,48.8,16.5,57.6,49.8,75.8
2022-01-18,Brandenburg,12,4351331,1727538,1679553,1056622,68.3,25.5,6.8,48.5,77.3,67.2,81.9,66.4,21.2,2.8,43.9,76.0,71.1,83.4,41.7,8.8,49.1,40.5,62.1
2022-01-18,Mecklenburg-Vorpommern,13,3001200,1176708,1152165,737989,73.1,26.6,5.8,52.0,82.7,74.8,87.1,71.5,21.4,1.5,45.8,81.6,77.5,87.7,45.8,8.7,53.6,43.1,68.8
2022-01-18,Sachsen,14,6571777,2604153,2513273,1555480,64.2,20.8,4.9,40.8,73.4,65.1,80.6,61.9,17.1,1.6,36.8,71.3,64.5,81.5,38.3,6.4,45.2,35.7,59.4
2022-01-18,Sachsen-Anhalt,15,3870897,1539143,1523774,915697,70.6,23.6,4.8,46.6,79.8,70.5,84.3,69.9,19.5,1.7,41.0,79.6,74.2,87.1,42.0,6.9,48.9,37.5,64.8
2022-01-18,Thüringen,16,3691493,1461252,1426151,898007,68.9,25.4,8.0,47.1,78.0,69.4,83.9,67.3,21.9,4.6,43.3,76.5,70.7,84.9,42.4,9.6,49.4,39.3,63.9
2022-01-18,Bundesressorts,17,503713,200786,192056,119010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
