Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-01-20,Deutschland,00,161131839,62652995,60859244,41212549,75.3,37.1,15.3,62.6,85.1,78.4,88.5,73.2,30.0,6.5,57.4,83.5,81.2,87.9,49.6,16.1,58.3,51.2,71.7
2022-01-20,Schleswig-Holstein,01,6054985,2302202,2261209,1625131,79.1,46.5,18.3,78.0,89.6,84.2,91.2,77.7,38.0,8.9,70.5,89.1,87.4,92.2,55.8,18.4,65.4,57.0,80.3
2022-01-20,Hamburg,02,3714031,1493684,1456479,871268,80.6,38.2,19.1,62.4,91.7,87.4,89.7,78.6,29.5,6.0,59.0,90.5,91.2,88.9,47.0,13.0,55.8,51.0,67.8
2022-01-20,Niedersachsen,03,16033963,6168014,5975566,4322360,77.1,40.7,16.4,67.9,86.7,78.0,91.2,74.7,32.8,6.1,62.7,84.9,82.1,90.0,54.0,20.0,63.5,57.1,75.3
2022-01-20,Bremen,04,1512711,603548,583342,373724,88.7,38.2,15.0,65.4,101.0,99.0,96.8,85.8,31.0,5.9,60.4,98.4,99.9,95.5,54.9,13.1,65.0,57.6,79.9
2022-01-20,Nordrhein-Westfalen,05,36363277,14202683,13659363,9308264,79.2,42.5,19.9,68.3,89.2,82.3,91.8,76.2,34.1,8.6,63.3,86.7,84.7,90.6,51.9,17.8,61.2,53.8,75.5
2022-01-20,Hessen,06,11952113,4746225,4519558,2937592,75.4,37.1,15.2,62.5,85.3,79.5,88.6,71.8,28.6,5.3,55.7,82.2,80.2,86.2,46.7,14.4,55.2,48.8,67.9
2022-01-20,Rheinland-Pfalz,07,8011790,3126798,2967534,2084038,76.3,38.2,15.3,64.6,85.9,78.0,90.9,72.4,30.3,6.0,58.3,82.4,79.3,88.0,50.9,17.7,59.7,52.8,72.0
2022-01-20,Baden-Württemberg,08,21107798,8093382,7947850,5544651,72.9,35.1,13.6,59.6,82.6,76.3,87.3,71.6,28.5,5.9,54.3,82.1,79.9,86.5,49.9,19.7,58.8,53.2,70.2
2022-01-20,Bayern,09,24830641,9585981,9475072,6273127,73.0,37.9,15.6,63.9,82.1,76.3,86.4,72.1,31.1,7.2,59.2,82.1,80.2,86.0,47.7,14.2,56.3,48.9,71.3
2022-01-20,Saarland,10,2104710,801406,781123,571334,81.4,38.5,13.3,67.0,90.8,83.7,92.2,79.4,30.6,4.0,60.8,89.4,87.8,92.0,58.1,21.0,67.0,59.8,78.6
2022-01-20,Berlin,11,7225598,2800560,2715451,1836911,76.4,38.3,20.3,62.0,86.4,79.7,91.2,74.1,31.4,11.6,57.6,84.6,82.0,90.7,50.1,17.7,59.1,51.5,76.9
2022-01-20,Brandenburg,12,4402287,1731743,1685981,1096961,68.4,25.9,7.2,49.0,77.4,67.4,82.0,66.6,21.7,3.2,44.4,76.2,71.4,83.5,43.3,9.9,50.9,42.4,63.9
2022-01-20,Mecklenburg-Vorpommern,13,3031857,1179090,1156586,761878,73.2,27.1,6.4,52.4,82.8,75.0,87.1,71.8,21.9,1.9,46.5,81.9,77.8,87.8,47.3,9.8,55.3,44.8,70.5
2022-01-20,Sachsen,14,6636138,2609879,2520960,1606477,64.3,21.1,5.2,41.2,73.5,65.3,80.6,62.1,17.4,1.8,37.1,71.5,64.8,81.6,39.6,7.0,46.7,37.0,61.0
2022-01-20,Sachsen-Anhalt,15,3914227,1542647,1529812,949531,70.7,24.1,5.3,47.0,80.0,70.7,84.3,70.2,19.8,2.0,41.6,79.8,74.5,87.2,43.5,7.5,50.7,39.1,66.8
2022-01-20,Thüringen,16,3724373,1464134,1430691,923509,69.1,25.8,8.4,47.5,78.1,69.6,83.9,67.5,22.4,5.2,43.7,76.7,70.9,85.0,43.6,10.4,50.8,40.6,65.5
2022-01-20,Bundesressorts,17,511340,201019,192667,125793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
