Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-11-04,Deutschland,00,112823807,57886200,55724473,2531507,69.6,47.0,80.4,72.4,86.8,67.0,42.5,77.6,73.4,85.4,3.0,0.3,3.6,1.5,7.7
2021-11-04,Schleswig-Holstein,01,4246276,2158025,2087928,130225,74.1,61.1,86.1,79.5,89.8,71.7,56.0,83.6,80.2,89.5,4.5,0.1,5.3,1.9,11.4
2021-11-04,Hamburg,02,2683174,1378573,1338860,55517,74.4,48.4,86.5,81.0,88.2,72.3,44.2,84.3,83.3,86.7,3.0,0.3,3.6,1.8,8.2
2021-11-04,Niedersachsen,03,11082760,5765498,5512109,218328,72.0,54.5,82.8,72.9,90.0,68.9,48.9,79.4,74.7,87.9,2.7,0.3,3.3,1.4,6.7
2021-11-04,Bremen,04,1074470,552854,534511,31223,81.3,51.9,94.1,90.1,94.3,78.6,46.9,91.1,90.4,92.7,4.6,0.2,5.5,2.7,11.2
2021-11-04,Nordrhein-Westfalen,05,25735697,13266944,12633077,598855,74.0,54.8,85.3,77.4,90.3,70.5,50.1,81.4,77.8,88.3,3.3,0.4,4.0,1.8,8.1
2021-11-04,Hessen,06,8483060,4366568,4164443,184250,69.4,47.4,80.3,73.1,86.8,66.2,42.3,76.8,73.0,84.2,2.9,0.3,3.5,1.4,7.8
2021-11-04,Rheinland-Pfalz,07,5631287,2916062,2741481,128621,71.2,49.6,81.9,72.8,89.5,66.9,42.9,77.2,72.4,86.0,3.1,0.4,3.7,1.4,8.0
2021-11-04,Baden-Württemberg,08,14529148,7417597,7229831,311200,66.8,42.8,77.5,70.0,85.4,65.1,39.1,75.8,71.8,83.9,2.8,0.2,3.4,1.2,7.8
2021-11-04,Bayern,09,17183422,8754110,8524994,360103,66.6,43.7,77.0,69.8,84.5,64.9,39.6,75.2,71.3,83.1,2.7,0.2,3.3,1.5,6.9
2021-11-04,Saarland,10,1454368,746449,723323,29070,75.9,50.9,86.1,77.4,90.7,73.5,45.4,83.7,79.8,89.9,3.0,0.2,3.5,1.1,7.3
2021-11-04,Berlin,11,5092317,2550331,2466790,189105,69.6,44.8,80.8,73.2,89.1,67.3,41.4,78.3,74.2,88.1,5.2,0.3,6.2,1.4,17.3
2021-11-04,Brandenburg,12,3086412,1596852,1540813,52478,63.1,34.2,72.6,60.9,80.2,60.9,30.5,70.5,63.6,81.0,2.1,0.2,2.5,1.3,4.2
2021-11-04,Mecklenburg-Vorpommern,13,2116826,1085398,1052850,39758,67.4,34.0,77.5,67.5,85.4,65.4,29.1,75.4,68.8,85.1,2.5,0.1,2.9,1.3,5.3
2021-11-04,Sachsen,14,4693632,2400468,2313719,75886,59.2,29.1,68.5,58.7,78.3,57.0,26.3,66.3,57.8,78.8,1.9,0.2,2.2,0.6,4.6
2021-11-04,Sachsen-Anhalt,15,2751342,1415060,1381999,55452,64.9,31.2,74.4,62.6,82.6,63.4,26.9,72.8,64.8,84.0,2.5,0.3,3.0,1.2,5.4
2021-11-04,Thüringen,16,2607474,1321729,1292006,70598,62.3,32.4,71.7,61.0,81.1,60.9,28.9,70.2,62.0,82.0,3.3,0.1,3.9,1.4,7.5
2021-11-04,Bundesressorts,17,372142,193682,185739,838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
