Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-09-17,Deutschland,00,105407388,55773989,52340805,350000,67.1,38.5,77.9,69.3,85.9,62.9,28.1,73.6,68.2,83.8
2021-09-17,Schleswig-Holstein,01,3953735,2090451,1963444,22864,71.8,53.1,83.5,76.1,89.0,67.5,37.9,79.1,74.1,87.8
2021-09-17,Hamburg,02,2466058,1306253,1232920,3790,70.5,36.1,82.6,76.3,87.0,66.6,25.9,78.5,76.1,84.5
2021-09-17,Niedersachsen,03,10416936,5589821,5203862,11045,69.8,46.5,80.7,70.2,89.4,65.0,33.8,75.8,70.0,86.4
2021-09-17,Bremen,04,993018,528389,498281,5433,77.7,41.2,90.4,85.2,93.4,73.3,28.8,85.9,83.3,91.2
2021-09-17,Nordrhein-Westfalen,05,24020990,12832629,11806599,97212,71.6,46.8,82.9,74.4,89.5,65.9,32.5,77.0,72.0,86.8
2021-09-17,Hessen,06,7931342,4204054,3912139,29922,66.8,38.9,77.7,69.9,85.8,62.2,27.2,72.9,68.1,82.7
2021-09-17,Rheinland-Pfalz,07,5275200,2817773,2586886,12209,68.8,40.0,79.6,69.9,88.8,63.1,26.9,73.7,67.7,84.6
2021-09-17,Baden-Württemberg,08,13644808,7142070,6832369,62896,64.3,34.9,75.0,66.9,84.5,61.5,28.0,72.2,67.2,82.4
2021-09-17,Bayern,09,16015094,8389455,7993039,44037,63.8,34.6,74.3,66.3,83.6,60.8,26.9,71.2,66.1,81.5
2021-09-17,Saarland,10,1369162,721122,684899,3467,73.3,40.7,83.7,74.1,90.1,69.6,28.8,80.1,74.7,88.7
2021-09-17,Berlin,11,4664796,2442201,2304156,22211,66.7,35.2,77.8,70.0,87.7,62.9,26.8,73.9,68.7,85.9
2021-09-17,Brandenburg,12,2887813,1533412,1443815,5797,60.6,25.9,70.1,58.2,78.9,57.0,18.2,66.7,58.8,78.6
2021-09-17,Mecklenburg-Vorpommern,13,1985054,1045851,991188,3504,64.9,25.4,75.1,64.4,84.6,61.5,18.1,71.6,63.6,83.2
2021-09-17,Sachsen,14,4398814,2307158,2176224,6155,56.9,22.1,66.2,55.8,77.2,53.6,16.3,62.8,53.4,76.8
2021-09-17,Sachsen-Anhalt,15,2585226,1363709,1305249,10770,62.5,23.3,72.0,59.6,81.7,59.9,16.0,69.3,60.1,82.3
2021-09-17,Thüringen,16,2431215,1267261,1221954,8610,59.8,24.3,69.1,57.6,80.1,57.6,20.2,66.8,57.5,80.2
2021-09-17,Bundesressorts,17,368127,192380,183781,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
