Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-10-28,Deutschland,00,111685026,57665432,55387104,1932647,69.3,45.9,80.1,72.1,86.7,66.6,41.2,77.2,72.9,85.2
2021-10-28,Schleswig-Holstein,01,4202220,2150757,2078271,102717,73.9,60.0,85.8,79.2,89.7,71.4,54.9,83.2,79.7,89.3
2021-10-28,Hamburg,02,2649021,1371534,1327667,38471,74.0,47.0,86.2,80.6,88.1,71.7,42.5,83.7,82.5,86.5
2021-10-28,Niedersachsen,03,10952241,5746865,5476131,141410,71.8,53.5,82.6,72.6,89.9,68.4,47.4,78.9,74.2,87.7
2021-10-28,Bremen,04,1061138,550996,531155,22794,81.0,51.0,93.8,89.7,94.2,78.1,45.6,90.6,89.7,92.5
2021-10-28,Nordrhein-Westfalen,05,25499462,13227655,12562740,469863,73.8,53.9,85.1,77.1,90.2,70.1,48.9,81.0,77.3,88.2
2021-10-28,Hessen,06,8393256,4348564,4138600,137085,69.1,46.3,80.0,72.7,86.7,65.8,41.0,76.3,72.5,84.0
2021-10-28,Rheinland-Pfalz,07,5581438,2907036,2726304,102157,70.9,48.6,81.7,72.5,89.4,66.5,41.5,76.9,71.9,85.9
2021-10-28,Baden-Württemberg,08,14423030,7391522,7195317,262722,66.6,41.9,77.3,69.7,85.3,64.8,38.3,75.5,71.4,83.7
2021-10-28,Bayern,09,17015822,8714884,8471141,281982,66.3,42.4,76.8,69.5,84.4,64.5,38.4,74.8,70.8,83.0
2021-10-28,Saarland,10,1441537,744508,719663,21670,75.7,50.0,85.9,77.2,90.7,73.1,43.9,83.3,79.3,89.8
2021-10-28,Berlin,11,5010214,2532693,2442937,146723,69.1,43.2,80.3,72.7,88.9,66.7,39.7,77.6,73.3,87.8
2021-10-28,Brandenburg,12,3053578,1590721,1530432,35606,62.8,33.1,72.4,60.7,80.1,60.5,28.9,70.1,63.1,80.8
2021-10-28,Mecklenburg-Vorpommern,13,2095800,1080655,1047133,28782,67.1,32.6,77.3,67.1,85.4,65.0,28.0,75.1,68.3,84.9
2021-10-28,Sachsen,14,4639232,2389654,2297408,48277,58.9,28.2,68.2,58.4,78.1,56.6,25.0,65.8,57.3,78.6
2021-10-28,Sachsen-Anhalt,15,2722635,1408328,1372189,42829,64.6,30.0,74.1,62.2,82.5,62.9,25.5,72.4,64.2,83.8
2021-10-28,Thüringen,16,2572872,1315533,1284520,48935,62.0,31.2,71.4,60.6,81.0,60.6,27.9,69.9,61.5,81.8
2021-10-28,Bundesressorts,17,371530,193527,185496,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
