Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_05bis11_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-12-28,Deutschland,00,148010358,61537455,351952,59035690,31008690,74.0,59.5,84.3,77.4,88.2,71.0,52.2,81.7,78.8,87.2,37.3,5.2,44.3,35.8,60.5
2021-12-28,Schleswig-Holstein,01,5459172,2263388,12423,2192335,1136873,77.8,74.3,89.1,83.5,90.9,75.3,65.1,87.3,85.0,91.4,39.1,2.9,46.4,35.7,65.3
2021-12-28,Hamburg,02,3368510,1466164,7517,1422989,585604,79.1,59.8,91.0,86.6,89.5,76.8,54.7,89.1,89.4,88.3,31.6,4.4,37.8,31.1,54.5
2021-12-28,Niedersachsen,03,14687161,6063539,31375,5812533,3241764,75.8,65.4,86.1,77.2,91.0,72.6,58.3,83.2,79.8,89.4,40.5,6.5,48.2,40.4,62.5
2021-12-28,Bremen,04,1367919,591404,2995,563673,260103,87.0,61.6,99.7,97.3,96.4,82.9,55.6,95.7,96.3,94.6,38.2,2.3,45.6,35.8,65.5
2021-12-28,Nordrhein-Westfalen,05,33610268,13950726,99563,13276363,7185655,77.8,65.4,88.5,81.5,91.6,74.1,58.5,85.1,82.6,89.9,40.1,5.3,47.8,38.8,65.2
2021-12-28,Hessen,06,10903023,4644943,20948,4394468,2112485,73.8,58.9,84.4,78.3,88.3,69.8,51.2,80.5,78.0,85.6,33.6,4.9,40.0,32.2,55.8
2021-12-28,Rheinland-Pfalz,07,7358250,3072086,15857,2879047,1572597,75.0,61.5,85.2,77.1,90.6,70.2,52.6,80.6,76.8,87.4,38.4,5.4,45.5,36.8,61.3
2021-12-28,Baden-Württemberg,08,19409243,7945361,44263,7703214,4234792,71.6,56.2,81.8,75.3,87.0,69.4,48.4,80.3,77.6,85.7,38.1,7.1,45.5,38.1,60.5
2021-12-28,Bayern,09,22945900,9424656,65479,9171115,4851716,71.7,60.8,81.4,75.4,86.1,69.8,53.1,80.2,77.8,85.1,36.9,4.7,43.9,35.0,62.2
2021-12-28,Saarland,10,1933153,788134,3101,759232,434577,80.1,63.4,90.0,82.6,91.9,77.2,55.1,87.4,85.0,91.2,44.2,6.7,51.5,42.0,66.7
2021-12-28,Berlin,11,6620588,2748718,26438,2622021,1375752,75.0,58.8,85.6,78.8,90.8,71.6,52.6,82.7,79.6,89.9,37.5,5.3,44.7,35.2,67.0
2021-12-28,Brandenburg,12,4017361,1702757,5340,1628439,798033,67.3,45.7,76.6,66.2,81.6,64.3,38.8,74.1,68.4,82.6,31.5,3.6,37.3,28.5,50.6
2021-12-28,Mecklenburg-Vorpommern,13,2757259,1160255,2225,1117488,544906,72.0,48.8,82.0,73.7,86.9,69.4,39.5,79.5,74.5,86.9,33.8,3.8,39.7,29.1,55.2
2021-12-28,Sachsen,14,6097061,2560122,5279,2444447,1193102,63.1,38.1,72.5,63.9,80.2,60.3,33.1,69.7,62.3,80.6,29.4,3.6,34.8,25.4,48.6
2021-12-28,Sachsen-Anhalt,15,3595369,1518007,2808,1477152,707593,69.6,43.6,79.0,69.3,84.0,67.7,36.2,77.4,71.1,86.3,32.4,3.7,37.9,26.8,53.4
2021-12-28,Thüringen,16,3411669,1438585,6322,1381882,684468,67.9,43.9,77.2,68.3,83.5,65.2,38.5,74.7,68.1,84.0,32.3,2.4,38.0,27.7,52.6
2021-12-28,Bundesressorts,17,468452,198610,19,189292,88670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
