Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-09-24,Deutschland,00,106863393,56279314,53133924,585288,67.7,40.6,78.5,70.0,86.1,63.9,32.0,74.5,69.4,84.1
2021-09-24,Schleswig-Holstein,01,4026675,2109008,2005997,37637,72.5,55.2,84.2,77.0,89.2,68.9,45.5,80.4,76.0,88.2
2021-09-24,Hamburg,02,2496636,1317987,1251303,6463,71.1,38.7,83.2,77.0,87.2,67.5,29.6,79.5,77.3,85.0
2021-09-24,Niedersachsen,03,10549769,5633593,5292791,22322,70.4,48.2,81.2,70.9,89.5,66.1,38.7,76.8,71.3,86.8
2021-09-24,Bremen,04,1008650,534106,506382,8400,78.5,43.9,91.3,86.3,93.6,74.5,33.9,87.0,84.8,91.4
2021-09-24,Nordrhein-Westfalen,05,24394860,12947626,12027640,150064,72.2,48.9,83.6,75.2,89.7,67.1,38.0,78.1,73.5,87.1
2021-09-24,Hessen,06,8046698,4244074,3972986,50460,67.4,41.0,78.3,70.7,86.0,63.1,31.8,73.8,69.2,83.0
2021-09-24,Rheinland-Pfalz,07,5355688,2843280,2624487,33225,69.4,42.5,80.2,70.6,89.0,64.0,31.5,74.5,68.8,84.9
2021-09-24,Baden-Württemberg,08,13838199,7219466,6922424,101474,65.0,37.3,75.7,67.8,84.8,62.3,30.7,73.0,68.3,82.7
2021-09-24,Bayern,09,16198524,8463323,8087947,68860,64.4,36.6,74.8,67.0,83.8,61.6,28.9,71.9,67.0,81.8
2021-09-24,Saarland,10,1384058,726876,693077,5572,73.9,43.1,84.2,74.8,90.2,70.4,32.7,80.8,75.8,88.9
2021-09-24,Berlin,11,4732740,2460692,2335711,41665,67.2,37.0,78.3,70.6,87.8,63.7,30.3,74.7,69.7,86.2
2021-09-24,Brandenburg,12,2921513,1545814,1463808,9771,61.1,27.5,70.6,58.7,79.1,57.8,21.0,67.5,59.8,79.0
2021-09-24,Mecklenburg-Vorpommern,13,2008625,1053711,1004188,7469,65.4,27.3,75.6,65.0,84.8,62.3,20.2,72.4,64.7,83.6
2021-09-24,Sachsen,14,4456264,2332132,2205610,10980,57.5,24.5,66.8,56.5,77.5,54.4,18.5,63.6,54.4,77.2
2021-09-24,Sachsen-Anhalt,15,2618881,1376275,1322295,17104,63.1,25.1,72.6,60.3,81.9,60.6,18.6,70.1,61.1,82.6
2021-09-24,Thüringen,16,2456834,1278714,1233172,13670,60.3,26.2,69.6,58.3,80.3,58.2,21.5,67.4,58.3,80.5
2021-09-24,Bundesressorts,17,368779,192637,184106,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
