Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-02-07,Deutschland,00,166840373,63191233,61943072,45307550,76.0,40.0,19.3,64.2,85.4,78.9,88.6,74.5,34.0,11.9,59.8,84.5,82.5,88.3,54.5,23.9,63.7,57.5,75.4
2022-02-07,Schleswig-Holstein,01,6313218,2326183,2299021,1821703,79.9,51.5,25.9,80.1,89.9,84.5,91.3,79.0,42.7,15.5,73.0,90.0,88.6,92.5,62.6,32.7,72.5,65.5,84.9
2022-02-07,Hamburg,02,3865396,1507555,1482605,982861,81.4,42.0,24.7,63.6,92.1,87.8,89.9,80.0,34.7,13.8,61.0,91.5,92.4,89.4,53.1,20.9,62.6,58.6,72.4
2022-02-07,Niedersachsen,03,16584534,6228453,6081192,4707211,77.8,44.9,23.0,69.4,87.0,78.4,91.3,76.0,37.1,12.4,64.8,85.9,83.5,90.4,58.8,30.4,68.6,63.1,78.6
2022-02-07,Bremen,04,1568566,609057,593994,413565,89.6,41.4,19.4,67.3,101.5,99.7,97.0,87.3,35.0,11.1,63.1,99.8,101.7,95.9,60.8,21.1,71.5,65.4,83.8
2022-02-07,Nordrhein-Westfalen,05,37616265,14315201,13896730,10212586,79.9,45.4,24.2,69.7,89.5,82.7,91.9,77.5,38.8,15.6,65.3,87.6,85.9,90.9,57.0,26.5,66.7,60.5,78.8
2022-02-07,Hessen,06,12428819,4794845,4598042,3287504,76.2,40.6,20.2,64.3,85.8,80.1,88.7,73.1,32.7,10.9,58.0,83.1,81.5,86.5,52.2,23.7,61.2,56.0,71.7
2022-02-07,Rheinland-Pfalz,07,8255097,3153399,3017954,2250482,76.9,41.5,20.2,66.1,86.2,78.4,91.1,73.6,34.7,12.3,60.7,83.2,80.4,88.3,54.9,26.2,64.0,57.9,74.9
2022-02-07,Baden-Württemberg,08,21775484,8160019,8092708,6002585,73.5,37.6,17.1,61.0,83.0,76.8,87.4,72.9,32.4,10.7,57.0,83.1,81.2,86.9,54.1,25.6,63.4,58.4,73.6
2022-02-07,Bayern,09,25712451,9663811,9647895,6904936,73.5,40.3,19.0,65.3,82.5,76.8,86.5,73.4,35.4,12.7,62.0,83.1,81.5,86.3,52.5,21.2,61.6,55.2,74.6
2022-02-07,Saarland,10,2164327,806921,795173,611631,82.0,41.0,16.6,68.6,91.2,84.2,92.3,80.8,34.9,9.8,63.2,90.6,89.4,92.3,62.2,28.5,71.3,65.2,81.2
2022-02-07,Berlin,11,7504771,2825100,2772611,2036914,77.1,40.7,23.3,63.6,86.9,80.2,91.3,75.7,35.4,16.7,60.0,85.9,83.6,91.4,55.6,24.9,65.2,58.7,80.4
2022-02-07,Brandenburg,12,4548663,1744532,1712612,1204098,68.9,27.5,8.9,50.5,77.8,67.9,82.1,67.7,23.5,5.0,46.3,77.2,72.8,83.9,47.6,14.6,55.7,47.7,67.7
2022-02-07,Mecklenburg-Vorpommern,13,3147263,1188938,1175616,848529,73.8,29.3,8.7,54.4,83.3,75.6,87.3,73.0,24.3,4.0,49.1,82.9,79.3,88.2,52.7,15.5,61.3,51.6,75.3
2022-02-07,Sachsen,14,6882846,2632194,2563241,1788770,64.9,22.4,6.4,42.6,74.0,66.0,80.8,63.2,19.6,3.8,39.5,72.5,66.0,82.1,44.1,11.1,51.8,42.4,65.7
2022-02-07,Sachsen-Anhalt,15,4092701,1557518,1561832,1081214,71.4,26.0,6.8,49.3,80.5,71.5,84.5,71.6,22.0,3.7,44.4,81.3,76.6,87.8,49.6,12.3,57.5,46.6,72.7
2022-02-07,Thüringen,16,3856578,1476119,1458000,1016663,69.6,27.3,9.6,49.2,78.6,70.2,84.1,68.8,24.8,7.3,46.5,77.9,72.6,85.5,48.0,14.6,55.7,45.7,70.1
2022-02-07,Bundesressorts,17,523394,201388,193846,136298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
