Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-10-19,Deutschland,00,110223043,57326792,54807710,1357677,68.9,44.5,79.7,71.6,86.5,65.9,39.1,76.5,72.0,84.9
2021-10-19,Schleswig-Holstein,01,4138937,2137673,2057209,72702,73.4,58.3,85.3,78.5,89.6,70.7,52.5,82.3,78.6,89.0
2021-10-19,Hamburg,02,2600434,1357925,1305773,23559,73.3,44.2,85.4,79.7,87.9,70.5,38.1,82.5,81.1,86.0
2021-10-19,Niedersachsen,03,10828546,5722465,5432591,83324,71.5,52.4,82.3,72.3,89.8,67.9,45.8,78.4,73.5,87.4
2021-10-19,Bremen,04,1047189,547768,525482,17192,80.5,49.3,93.3,89.1,94.1,77.3,43.6,89.8,88.6,92.0
2021-10-19,Nordrhein-Westfalen,05,25177517,13161233,12436343,335896,73.4,52.6,84.7,76.7,90.1,69.4,46.7,80.3,76.3,87.9
2021-10-19,Hessen,06,8289219,4324235,4094286,99893,68.7,44.9,79.6,72.2,86.6,65.1,38.9,75.6,71.7,83.6
2021-10-19,Rheinland-Pfalz,07,5509732,2890912,2696079,74765,70.5,47.0,81.3,72.1,89.3,65.8,38.7,76.2,71.0,85.5
2021-10-19,Baden-Württemberg,08,14240237,7346587,7116995,198720,66.2,40.8,76.9,69.2,85.2,64.1,36.3,74.8,70.5,83.4
2021-10-19,Bayern,09,16754229,8650762,8366798,182782,65.8,40.9,76.3,68.8,84.2,63.7,36.0,74.0,69.8,82.6
2021-10-19,Saarland,10,1426459,740870,714070,15383,75.3,48.4,85.6,76.7,90.6,72.6,41.9,82.8,78.5,89.6
2021-10-19,Berlin,11,4932672,2516861,2417859,108642,68.7,41.5,79.9,72.2,88.8,66.0,37.4,77.0,72.5,87.4
2021-10-19,Brandenburg,12,3013736,1579045,1512576,24217,62.4,31.6,71.9,60.1,79.9,59.8,26.7,69.4,62.2,80.3
2021-10-19,Mecklenburg-Vorpommern,13,2066922,1072871,1035855,18186,66.6,30.8,76.8,66.5,85.2,64.3,25.8,74.4,67.4,84.6
2021-10-19,Sachsen,14,4592764,2376798,2277728,33768,58.6,27.2,67.9,58.0,78.0,56.1,23.9,65.3,56.6,78.3
2021-10-19,Sachsen-Anhalt,15,2695407,1401105,1360340,34062,64.3,28.8,73.7,61.8,82.3,62.4,24.0,71.8,63.5,83.5
2021-10-19,Thüringen,16,2538336,1306385,1272594,34191,61.6,29.6,71.0,60.1,80.9,60.0,26.6,69.3,60.8,81.4
2021-10-19,Bundesressorts,17,370707,193297,185132,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
