Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_05bis11_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-01-06,Deutschland,00,152496126,61930498,517580,59574879,34570045,74.5,60.6,84.6,77.8,88.3,71.6,53.9,82.3,79.6,87.4,41.6,7.9,49.3,41.1,64.6
2022-01-06,Schleswig-Holstein,01,5656251,2276915,19678,2212947,1299844,78.2,75.5,89.3,83.8,91.0,76.0,66.9,88.0,85.8,91.7,44.7,5.1,53.0,42.7,71.2
2022-01-06,Hamburg,02,3474553,1475449,12842,1432983,672773,79.6,60.8,91.2,86.8,89.6,77.4,56.1,89.6,90.0,88.5,36.3,5.9,43.4,37.1,59.0
2022-01-06,Niedersachsen,03,15178078,6096717,47248,5859380,3653119,76.2,66.2,86.3,77.4,91.1,73.2,59.7,83.8,80.6,89.6,45.6,9.4,54.2,46.7,67.8
2022-01-06,Bremen,04,1417724,596166,4556,569690,299373,87.7,62.8,100.2,97.9,96.6,83.8,57.0,96.6,97.5,94.9,44.0,3.4,52.5,43.2,71.4
2022-01-06,Nordrhein-Westfalen,05,34535095,14043342,149807,13381930,7913600,78.3,66.4,88.7,81.7,91.6,74.7,60.2,85.7,83.3,90.2,44.1,8.3,52.5,43.9,69.1
2022-01-06,Hessen,06,11250035,4681092,35295,4432356,2386615,74.4,60.1,84.8,78.7,88.4,70.4,52.5,81.1,78.8,85.8,37.9,6.6,45.2,37.6,60.4
2022-01-06,Rheinland-Pfalz,07,7585056,3086776,21658,2905561,1758405,75.3,62.4,85.4,77.4,90.7,70.9,54.6,81.2,77.7,87.6,42.9,7.4,50.8,42.7,65.6
2022-01-06,Baden-Württemberg,08,20047413,8000730,63220,7771045,4751338,72.1,57.5,82.1,75.7,87.1,70.0,50.2,80.8,78.3,86.0,42.8,11.8,50.7,44.2,64.1
2022-01-06,Bayern,09,23560870,9481752,91760,9256097,5325302,72.2,62.0,81.7,75.7,86.2,70.4,55.2,80.8,78.5,85.4,40.5,7.6,48.1,39.7,65.2
2022-01-06,Saarland,10,1999978,792791,4918,766358,489700,80.6,64.6,90.3,82.9,92.0,77.9,56.9,88.1,86.0,91.5,49.8,10.8,57.8,49.0,72.1
2022-01-06,Berlin,11,6820782,2770060,35979,2652277,1524973,75.6,59.9,85.9,79.1,91.0,72.4,54.4,83.5,80.6,90.2,41.6,8.7,49.4,40.4,70.5
2022-01-06,Brandenburg,12,4143181,1711652,7137,1647539,896086,67.6,46.7,76.9,66.6,81.7,65.1,40.8,74.8,69.5,82.9,35.4,4.8,41.8,33.0,55.1
2022-01-06,Mecklenburg-Vorpommern,13,2852761,1166433,3413,1131671,620161,72.4,50.0,82.3,74.2,86.9,70.3,42.1,80.4,75.8,87.2,38.5,5.0,45.1,34.4,60.9
2022-01-06,Sachsen,14,6281407,2577221,8215,2472540,1332531,63.5,39.2,72.8,64.4,80.3,60.9,34.6,70.4,63.2,81.0,32.8,4.4,38.8,29.3,53.0
2022-01-06,Sachsen-Anhalt,15,3685048,1525337,3721,1492213,775023,69.9,44.6,79.3,69.8,84.1,68.4,37.6,78.2,72.2,86.5,35.5,4.4,41.5,30.2,57.2
2022-01-06,Thüringen,16,3523401,1447777,8114,1399858,769294,68.3,45.2,77.5,68.8,83.6,66.0,40.5,75.5,69.3,84.4,36.3,4.3,42.6,32.3,57.2
2022-01-06,Bundesressorts,17,484493,200288,19,190434,101908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
