Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-10-18,Deutschland,00,110042256,57279438,54727282,1300402,68.9,44.3,79.7,71.5,86.5,65.8,38.8,76.4,71.9,84.9
2021-10-18,Schleswig-Holstein,01,4131119,2136004,2054106,69502,73.4,58.1,85.3,78.4,89.6,70.6,52.1,82.2,78.4,88.9
2021-10-18,Hamburg,02,2595731,1356681,1303444,22335,73.2,44.0,85.4,79.7,87.9,70.4,37.6,82.4,81.0,86.0
2021-10-18,Niedersachsen,03,10813125,5719009,5426571,77191,71.5,52.2,82.3,72.2,89.8,67.8,45.5,78.3,73.4,87.4
2021-10-18,Bremen,04,1045461,547220,524815,16558,80.5,49.1,93.2,89.0,94.1,77.2,43.3,89.7,88.5,92.0
2021-10-18,Nordrhein-Westfalen,05,25139098,13152020,12418407,323819,73.4,52.4,84.7,76.6,90.1,69.3,46.4,80.2,76.2,87.9
2021-10-18,Hessen,06,8275735,4319950,4087797,96761,68.6,44.7,79.6,72.1,86.5,65.0,38.5,75.5,71.5,83.6
2021-10-18,Rheinland-Pfalz,07,5502765,2889353,2693011,72320,70.5,46.8,81.3,72.0,89.3,65.7,38.4,76.1,70.9,85.5
2021-10-18,Baden-Württemberg,08,14215994,7340518,7105344,191693,66.1,40.6,76.8,69.1,85.1,64.0,35.9,74.6,70.4,83.3
2021-10-18,Bayern,09,16721570,8641399,8353014,172349,65.8,40.7,76.2,68.7,84.2,63.6,35.7,73.9,69.6,82.5
2021-10-18,Saarland,10,1424145,740215,713037,14712,75.2,48.1,85.5,76.6,90.6,72.5,41.5,82.7,78.4,89.6
2021-10-18,Berlin,11,4923491,2514507,2414687,104747,68.6,41.3,79.8,72.1,88.7,65.9,37.2,76.9,72.4,87.4
2021-10-18,Brandenburg,12,3010092,1577930,1510758,23391,62.3,31.4,71.9,60.1,79.9,59.7,26.4,69.3,62.1,80.3
2021-10-18,Mecklenburg-Vorpommern,13,2063645,1071866,1034396,17184,66.5,30.6,76.7,66.4,85.2,64.2,25.6,74.3,67.3,84.5
2021-10-18,Sachsen,14,4586781,2374870,2274812,32551,58.5,27.1,67.9,57.9,78.0,56.1,23.7,65.3,56.5,78.2
2021-10-18,Sachsen-Anhalt,15,2690524,1399930,1357763,32828,64.2,28.6,73.7,61.7,82.3,62.3,23.7,71.7,63.3,83.5
2021-10-18,Thüringen,16,2532494,1304735,1270293,32116,61.5,29.4,70.9,60.0,80.8,59.9,26.3,69.2,60.6,81.4
2021-10-18,Bundesressorts,17,370486,193231,185027,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
