Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-08-30,Deutschland,00,184661570,64762361,63431807,51555930,7205581,77.9,46.4,22.6,74.4,86.8,83.9,92.1,76.3,43.1,20.1,69.4,85.3,82.2,91.2,62.0,30.9,72.2,65.0,85.9,8.7,0.6,10.3,2.8,24.5
2022-08-30,Schleswig-Holstein,01,7124278,2354520,2324031,2037813,480411,80.9,60.8,31.1,93.7,88.0,84.7,93.9,79.8,57.9,30.3,88.0,87.2,83.9,92.9,70.0,47.2,80.3,73.6,92.1,16.5,0.7,19.7,4.8,45.9
2022-08-30,Hamburg,02,4507804,1604772,1561764,1220330,183604,86.6,53.0,30.0,80.6,96.9,96.2,98.7,84.3,47.4,24.5,75.8,94.9,93.5,98.3,65.9,28.9,77.4,71.7,91.9,9.9,0.8,11.9,3.8,32.3
2022-08-30,Niedersachsen,03,18627569,6397731,6221567,5339268,948227,79.9,53.0,27.4,81.2,88.4,84.9,94.7,77.7,48.9,24.5,75.6,86.3,82.9,92.7,66.7,39.0,77.4,70.9,89.4,11.8,0.8,14.2,3.7,33.4
2022-08-30,Bremen,04,1744767,620332,596045,451292,92491,91.2,49.1,23.2,78.9,102.5,104.2,98.9,87.6,44.4,19.9,73.0,98.8,99.1,98.3,66.4,28.2,77.6,70.9,91.3,13.6,0.6,16.2,5.0,39.1
2022-08-30,Nordrhein-Westfalen,05,42184280,14644593,14228893,11717769,2151669,81.7,51.4,28.4,80.6,90.8,89.0,94.4,79.4,48.4,24.7,75.2,88.5,86.0,93.2,65.4,35.2,76.2,69.6,89.0,12.0,0.7,14.4,4.1,34.1
2022-08-30,Hessen,06,13841342,4935745,4742128,3804498,521754,78.4,48.6,24.2,75.9,87.3,84.9,92.0,75.4,43.4,21.1,68.5,84.4,81.6,89.8,60.5,30.8,70.6,63.7,84.5,8.3,0.6,9.9,3.0,23.8
2022-08-30,Rheinland-Pfalz,07,9190143,3238728,3100501,2592285,377156,79.0,48.6,24.0,76.3,87.7,83.8,94.8,75.7,44.6,21.8,70.2,84.3,80.4,91.3,63.3,33.2,73.4,66.3,86.4,9.2,0.6,11.0,2.8,25.8
2022-08-30,Baden-Württemberg,08,23818376,8404027,8271470,6756957,654109,75.7,44.1,19.7,71.0,84.8,81.8,90.9,74.5,40.8,17.4,66.6,83.8,80.6,90.3,60.9,30.3,71.2,64.4,85.0,5.9,0.4,7.1,1.8,17.8
2022-08-30,Bayern,09,28012191,9899103,9885207,7731501,787121,75.3,46.2,21.5,74.4,83.8,81.1,89.4,75.2,43.4,19.7,70.2,84.1,81.4,89.6,58.8,27.2,68.7,61.3,83.9,6.0,0.4,7.2,1.8,18.0
2022-08-30,Saarland,10,2370509,822404,808415,678226,95094,83.6,47.2,19.0,78.7,92.3,90.4,95.2,82.2,44.0,17.2,73.7,91.0,88.5,95.0,68.9,33.9,78.9,72.0,90.1,9.7,0.6,11.3,3.0,24.6
2022-08-30,Berlin,11,8268500,2895305,2863729,2313311,300106,79.0,46.2,26.3,72.7,88.5,84.3,98.1,78.2,43.3,24.4,68.2,87.8,83.4,98.2,63.1,30.8,73.9,66.7,90.7,8.2,0.5,9.8,2.7,26.3
2022-08-30,Brandenburg,12,4897758,1721643,1725746,1401382,143953,68.0,33.5,11.2,60.3,76.3,72.4,82.1,68.2,30.2,9.4,55.2,76.9,71.9,84.5,55.4,20.1,64.6,53.9,80.8,5.7,0.4,6.7,1.9,14.0
2022-08-30,Mecklenburg-Vorpommern,13,3466811,1217791,1202663,960638,127170,75.6,34.4,10.7,63.3,84.7,79.8,91.8,74.7,31.2,8.8,58.2,84.0,78.6,92.0,59.6,21.8,69.1,58.4,84.8,7.9,0.7,9.3,1.9,20.0
2022-08-30,Sachsen,14,7387940,2677794,2625883,2022435,134496,66.0,25.4,7.7,47.6,75.0,68.0,85.5,64.7,23.8,6.9,44.9,73.7,66.6,84.3,49.9,14.9,58.4,47.6,74.5,3.3,0.3,3.9,0.8,8.5
2022-08-30,Sachsen-Anhalt,15,4525450,1618534,1604626,1252152,120024,74.2,31.4,8.8,58.3,83.2,77.4,91.2,73.6,28.8,7.7,53.8,82.8,76.6,91.3,57.4,18.0,66.4,54.5,83.0,5.5,0.5,6.5,1.4,13.5
2022-08-30,Thüringen,16,4157672,1507349,1479506,1132957,86755,71.1,30.9,11.5,54.8,79.8,73.9,88.3,69.8,29.6,10.9,52.7,78.5,71.6,88.3,53.4,19.3,61.9,50.7,78.0,4.1,0.3,4.8,1.5,9.6
2022-08-30,Bundesressorts,17,536180,201990,189633,143116,1441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
