Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-12-09,Deutschland,00,132159599,60241008,57729749,17710503,72.4,55.8,83.2,76.0,87.7,69.4,48.2,80.1,76.7,86.5,21.3,2.3,25.4,17.6,40.0
2021-12-09,Schleswig-Holstein,01,4924327,2223381,2154923,678989,76.4,69.2,88.3,82.5,90.6,74.0,61.9,86.0,83.2,90.9,23.3,1.0,27.8,17.8,45.3
2021-12-09,Hamburg,02,3062427,1440512,1396240,329693,77.8,56.8,90.0,85.4,89.1,75.4,51.2,87.6,87.5,87.8,17.8,2.3,21.3,15.5,35.9
2021-12-09,Niedersachsen,03,12923730,5957454,5692054,1700386,74.4,62.4,85.1,76.0,90.6,71.1,54.7,81.7,77.8,88.9,21.2,2.6,25.3,18.2,38.4
2021-12-09,Bremen,04,1216883,574387,550998,137925,84.5,57.7,97.5,94.6,95.4,81.0,52.6,93.7,93.6,93.8,20.3,0.9,24.2,15.0,43.0
2021-12-09,Nordrhein-Westfalen,05,30058624,13677304,13019727,4155215,76.3,62.2,87.6,80.3,91.2,72.6,55.2,83.6,80.7,89.3,23.2,2.4,27.7,19.5,43.5
2021-12-09,Hessen,06,9746365,4545167,4301426,1144985,72.2,55.4,83.1,76.7,87.7,68.4,47.7,79.0,76.0,85.1,18.2,2.3,21.7,15.1,35.0
2021-12-09,Rheinland-Pfalz,07,6533118,3013332,2821676,861390,73.5,57.9,84.2,75.8,90.2,68.8,48.8,79.2,74.9,86.9,21.0,2.7,25.0,17.1,39.1
2021-12-09,Baden-Württemberg,08,17066171,7748372,7496366,2286128,69.8,51.6,80.5,73.7,86.3,67.5,44.1,78.3,75.1,84.9,20.6,2.4,24.6,17.7,38.8
2021-12-09,Bayern,09,20530152,9200871,8907821,2915897,70.0,56.2,80.3,74.0,85.6,67.8,47.0,78.2,75.2,84.4,22.2,2.3,26.4,18.5,42.6
2021-12-09,Saarland,10,1719618,773963,744611,249125,78.7,59.4,88.9,81.1,91.5,75.7,51.4,85.9,82.8,90.7,25.3,3.7,29.5,20.2,44.5
2021-12-09,Berlin,11,6035896,2696303,2603487,859661,73.6,56.2,84.9,78.0,90.6,71.1,48.9,82.4,79.2,89.8,23.5,2.5,28.0,18.1,51.0
2021-12-09,Brandenburg,12,3615390,1666895,1591815,466723,65.9,42.3,75.4,64.6,81.2,62.9,35.5,72.6,66.3,82.0,18.4,1.9,21.8,14.4,33.0
2021-12-09,Mecklenburg-Vorpommern,13,2485231,1138617,1090319,321061,70.7,44.4,80.8,72.1,86.4,67.7,35.1,77.8,72.1,86.2,19.9,2.2,23.4,15.0,35.7
2021-12-09,Sachsen,14,5483737,2499457,2385626,698294,61.6,35.0,71.1,62.0,79.5,58.8,30.3,68.1,60.2,79.9,17.2,2.0,20.4,12.8,31.6
2021-12-09,Sachsen-Anhalt,15,3254224,1489754,1437535,433240,68.3,40.1,77.9,67.7,83.6,65.9,32.5,75.5,68.4,85.4,19.9,2.2,23.2,14.5,35.3
2021-12-09,Thüringen,16,3079976,1398127,1346905,425272,65.9,40.2,75.5,66.1,82.6,63.5,34.9,72.9,65.7,83.2,20.1,1.3,23.6,14.7,36.3
2021-12-09,Bundesressorts,17,423730,197112,188220,46519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
